"","fishery","species","management","MC","catchShare","illegalFishing","implementYear","npv1","npv2"
"42","Albacore single_stock","Albacore","openA",1,"no_CS","illegal_fishing",2,285012823.810623,0
"43","Albacore single_stock","Albacore","SQ",1,"CS","illegal_fishing",2,2316727699.89228,0
"44","Albacore single_stock","Albacore","FMSY",1,"CS","illegal_fishing",2,1522935605.65511,0
"45","Albacore single_stock","Albacore","minRec",1,"CS","illegal_fishing",2,1048231977.37128,0
"46","Albacore single_stock","Albacore","econOpt",1,"CS","illegal_fishing",2,1990681506.79467,0
"47","Albacore single_stock","Albacore","close",1,"CS","illegal_fishing",2,43607591.4699741,0
"48","Albacore single_stock","Albacore","openA",1,"CS","illegal_fishing",2,1334371809.65135,0
"49","Amberstripe scad single_stock","Amberstripe scad","SQ",1,"no_CS","illegal_fishing",2,633674736.448345,0
"50","Amberstripe scad single_stock","Amberstripe scad","FMSY",1,"no_CS","illegal_fishing",2,502459451.469484,0
"51","Amberstripe scad single_stock","Amberstripe scad","minRec",1,"no_CS","illegal_fishing",2,824667484.8179,0
"52","Amberstripe scad single_stock","Amberstripe scad","econOpt",1,"no_CS","illegal_fishing",2,787886654.732703,0
"53","Amberstripe scad single_stock","Amberstripe scad","close",1,"no_CS","illegal_fishing",2,-1603501.68259359,0
"54","Amberstripe scad single_stock","Amberstripe scad","openA",1,"no_CS","illegal_fishing",2,413962681.955719,0
"55","Amberstripe scad single_stock","Amberstripe scad","SQ",1,"CS","illegal_fishing",2,1315755647.11651,0
"56","Amberstripe scad single_stock","Amberstripe scad","FMSY",1,"CS","illegal_fishing",2,1341235872.38238,0
"57","Amberstripe scad single_stock","Amberstripe scad","minRec",1,"CS","illegal_fishing",2,1410444204.43286,0
"58","Amberstripe scad single_stock","Amberstripe scad","econOpt",1,"CS","illegal_fishing",2,1273870028.84662,0
"59","Amberstripe scad single_stock","Amberstripe scad","close",1,"CS","illegal_fishing",2,-1603501.68259359,0
"60","Amberstripe scad single_stock","Amberstripe scad","openA",1,"CS","illegal_fishing",2,1162808159.12185,0
"61","Antarctic krill nei single_stock","Antarctic krill nei","SQ",1,"no_CS","illegal_fishing",2,108360367.624498,0
"62","Antarctic krill nei single_stock","Antarctic krill nei","FMSY",1,"no_CS","illegal_fishing",2,219057215.555515,0
"63","Antarctic krill nei single_stock","Antarctic krill nei","minRec",1,"no_CS","illegal_fishing",2,117729528.633789,0
"64","Antarctic krill nei single_stock","Antarctic krill nei","econOpt",1,"no_CS","illegal_fishing",2,268373074.50509,0
"65","Antarctic krill nei single_stock","Antarctic krill nei","close",1,"no_CS","illegal_fishing",2,5830333.40486701,0
"66","Antarctic krill nei single_stock","Antarctic krill nei","openA",1,"no_CS","illegal_fishing",2,27769945.6947336,0
"67","Antarctic krill nei single_stock","Antarctic krill nei","SQ",1,"CS","illegal_fishing",2,549874048.322252,0
"68","Antarctic krill nei single_stock","Antarctic krill nei","FMSY",1,"CS","illegal_fishing",2,366018089.832778,0
"69","Antarctic krill nei single_stock","Antarctic krill nei","minRec",1,"CS","illegal_fishing",2,176734234.493962,0
"70","Antarctic krill nei single_stock","Antarctic krill nei","econOpt",1,"CS","illegal_fishing",2,481609042.586762,0
"71","Antarctic krill nei single_stock","Antarctic krill nei","close",1,"CS","illegal_fishing",2,5830333.40486701,0
"72","Antarctic krill nei single_stock","Antarctic krill nei","openA",1,"CS","illegal_fishing",2,310871795.327184,0
"73","Bastard halibut pacific_central_stock","Bastard halibut","SQ",1,"no_CS","illegal_fishing",2,-107403405.965521,0
"74","Bastard halibut pacific_central_stock","Bastard halibut","FMSY",1,"no_CS","illegal_fishing",2,98192000.0781214,0
"75","Bastard halibut pacific_central_stock","Bastard halibut","minRec",1,"no_CS","illegal_fishing",2,109976915.72688,0
"76","Bastard halibut pacific_central_stock","Bastard halibut","econOpt",1,"no_CS","illegal_fishing",2,108818098.984722,0
"77","Bastard halibut pacific_central_stock","Bastard halibut","close",1,"no_CS","illegal_fishing",2,2522574.49538881,0
"78","Bastard halibut pacific_central_stock","Bastard halibut","openA",1,"no_CS","illegal_fishing",2,-32308100.0633286,0
"79","Bastard halibut pacific_central_stock","Bastard halibut","SQ",1,"CS","illegal_fishing",2,47408561.6997206,0
"80","Bastard halibut pacific_central_stock","Bastard halibut","FMSY",1,"CS","illegal_fishing",2,185762708.955195,0
"81","Bastard halibut pacific_central_stock","Bastard halibut","minRec",1,"CS","illegal_fishing",2,186550047.855672,0
"82","Bastard halibut pacific_central_stock","Bastard halibut","econOpt",1,"CS","illegal_fishing",2,172684319.673354,0
"83","Bastard halibut pacific_central_stock","Bastard halibut","close",1,"CS","illegal_fishing",2,2522574.49538881,0
"84","Bastard halibut pacific_central_stock","Bastard halibut","openA",1,"CS","illegal_fishing",2,-5458815.69623047,0
"85","Bastard halibut pacific_north_stock","Bastard halibut","SQ",1,"no_CS","illegal_fishing",2,145146442.721526,0
"86","Bastard halibut pacific_north_stock","Bastard halibut","FMSY",1,"no_CS","illegal_fishing",2,314448456.885291,0
"87","Bastard halibut pacific_north_stock","Bastard halibut","minRec",1,"no_CS","illegal_fishing",2,332324767.008349,0
"88","Bastard halibut pacific_north_stock","Bastard halibut","econOpt",1,"no_CS","illegal_fishing",2,325503379.130096,0
"89","Bastard halibut pacific_north_stock","Bastard halibut","close",1,"no_CS","illegal_fishing",2,10261448.8382584,0
"90","Bastard halibut pacific_north_stock","Bastard halibut","openA",1,"no_CS","illegal_fishing",2,10833495.004783,0
"91","Bastard halibut pacific_north_stock","Bastard halibut","SQ",1,"CS","illegal_fishing",2,525540348.887184,0
"92","Bastard halibut pacific_north_stock","Bastard halibut","FMSY",1,"CS","illegal_fishing",2,575291961.551349,0
"93","Bastard halibut pacific_north_stock","Bastard halibut","minRec",1,"CS","illegal_fishing",2,561171798.763834,0
"94","Bastard halibut pacific_north_stock","Bastard halibut","econOpt",1,"CS","illegal_fishing",2,519720465.331128,0
"95","Bastard halibut pacific_north_stock","Bastard halibut","close",1,"CS","illegal_fishing",2,10261448.8382584,0
"96","Bastard halibut pacific_north_stock","Bastard halibut","openA",1,"CS","illegal_fishing",2,176130218.963577,0
"97","Bastard halibut sea_of_japan_north_central_stock","Bastard halibut","SQ",1,"no_CS","illegal_fishing",2,-353131269.506104,0
"98","Bastard halibut sea_of_japan_north_central_stock","Bastard halibut","FMSY",1,"no_CS","illegal_fishing",2,130585156.13055,0
"99","Bastard halibut sea_of_japan_north_central_stock","Bastard halibut","minRec",1,"no_CS","illegal_fishing",2,187734072.818873,0
"100","Bastard halibut sea_of_japan_north_central_stock","Bastard halibut","econOpt",1,"no_CS","illegal_fishing",2,181194256.770081,0
"101","Bastard halibut sea_of_japan_north_central_stock","Bastard halibut","close",1,"no_CS","illegal_fishing",2,-4798021.60693938,0
"102","Bastard halibut sea_of_japan_north_central_stock","Bastard halibut","openA",1,"no_CS","illegal_fishing",2,-85911521.4337033,0
"103","Bastard halibut sea_of_japan_north_central_stock","Bastard halibut","SQ",1,"CS","illegal_fishing",2,-19882111.0025696,0
"104","Bastard halibut sea_of_japan_north_central_stock","Bastard halibut","FMSY",1,"CS","illegal_fishing",2,311734087.979235,0
"105","Bastard halibut sea_of_japan_north_central_stock","Bastard halibut","minRec",1,"CS","illegal_fishing",2,324450635.469382,0
"106","Bastard halibut sea_of_japan_north_central_stock","Bastard halibut","econOpt",1,"CS","illegal_fishing",2,294653120.584518,0
"107","Bastard halibut sea_of_japan_north_central_stock","Bastard halibut","close",1,"CS","illegal_fishing",2,-4798021.60693938,0
"108","Bastard halibut sea_of_japan_north_central_stock","Bastard halibut","openA",1,"CS","illegal_fishing",2,-32923729.2823223,0
"109","Bastard halibut sea_of_japan_west_east_china_sea_stock","Bastard halibut","SQ",1,"no_CS","illegal_fishing",2,-204116832.239846,0
"110","Bastard halibut sea_of_japan_west_east_china_sea_stock","Bastard halibut","FMSY",1,"no_CS","illegal_fishing",2,83055209.4339861,0
"111","Bastard halibut sea_of_japan_west_east_china_sea_stock","Bastard halibut","minRec",1,"no_CS","illegal_fishing",2,127217569.644831,0
"112","Bastard halibut sea_of_japan_west_east_china_sea_stock","Bastard halibut","econOpt",1,"no_CS","illegal_fishing",2,122150164.701887,0
"113","Bastard halibut sea_of_japan_west_east_china_sea_stock","Bastard halibut","close",1,"no_CS","illegal_fishing",2,-3765798.41343463,0
"114","Bastard halibut sea_of_japan_west_east_china_sea_stock","Bastard halibut","openA",1,"no_CS","illegal_fishing",2,-49416579.3289448,0
"115","Bastard halibut sea_of_japan_west_east_china_sea_stock","Bastard halibut","SQ",1,"CS","illegal_fishing",2,20366553.2325134,0
"116","Bastard halibut sea_of_japan_west_east_china_sea_stock","Bastard halibut","FMSY",1,"CS","illegal_fishing",2,210682392.541433,0
"117","Bastard halibut sea_of_japan_west_east_china_sea_stock","Bastard halibut","minRec",1,"CS","illegal_fishing",2,220194139.971297,0
"118","Bastard halibut sea_of_japan_west_east_china_sea_stock","Bastard halibut","econOpt",1,"CS","illegal_fishing",2,199304774.891724,0
"119","Bastard halibut sea_of_japan_west_east_china_sea_stock","Bastard halibut","close",1,"CS","illegal_fishing",2,-3765798.41343463,0
"120","Bastard halibut sea_of_japan_west_east_china_sea_stock","Bastard halibut","openA",1,"CS","illegal_fishing",2,-3824640.92712614,0
"121","Bastard halibut seto_inland_sea_stock","Bastard halibut","SQ",1,"no_CS","illegal_fishing",2,10382198.4404147,0
"122","Bastard halibut seto_inland_sea_stock","Bastard halibut","FMSY",1,"no_CS","illegal_fishing",2,100637963.510668,0
"123","Bastard halibut seto_inland_sea_stock","Bastard halibut","minRec",1,"no_CS","illegal_fishing",2,118221662.520865,0
"124","Bastard halibut seto_inland_sea_stock","Bastard halibut","econOpt",1,"no_CS","illegal_fishing",2,115231158.457756,0
"125","Bastard halibut seto_inland_sea_stock","Bastard halibut","close",1,"no_CS","illegal_fishing",2,1457310.20104476,0
"126","Bastard halibut seto_inland_sea_stock","Bastard halibut","openA",1,"no_CS","illegal_fishing",2,-1954618.40902319,0
"127","Bastard halibut seto_inland_sea_stock","Bastard halibut","SQ",1,"CS","illegal_fishing",2,161498416.153496,0
"128","Bastard halibut seto_inland_sea_stock","Bastard halibut","FMSY",1,"CS","illegal_fishing",2,203331359.667381,0
"129","Bastard halibut seto_inland_sea_stock","Bastard halibut","minRec",1,"CS","illegal_fishing",2,201173327.261318,0
"130","Bastard halibut seto_inland_sea_stock","Bastard halibut","econOpt",1,"CS","illegal_fishing",2,185043990.3424,0
"131","Bastard halibut seto_inland_sea_stock","Bastard halibut","close",1,"CS","illegal_fishing",2,1457310.20104476,0
"132","Bastard halibut seto_inland_sea_stock","Bastard halibut","openA",1,"CS","illegal_fishing",2,57841519.0005399,0
"133","Bigeye tuna single_stock","Bigeye tuna","SQ",1,"no_CS","illegal_fishing",2,5616657806.271,0
"134","Bigeye tuna single_stock","Bigeye tuna","FMSY",1,"no_CS","illegal_fishing",2,5774379548.83768,0
"135","Bigeye tuna single_stock","Bigeye tuna","minRec",1,"no_CS","illegal_fishing",2,5458683030.35045,0
"136","Bigeye tuna single_stock","Bigeye tuna","econOpt",1,"no_CS","illegal_fishing",2,5893278407.28904,0
"137","Bigeye tuna single_stock","Bigeye tuna","close",1,"no_CS","illegal_fishing",2,142661452.442253,0
"138","Bigeye tuna single_stock","Bigeye tuna","openA",1,"no_CS","illegal_fishing",2,2802659584.13667,0
"139","Bigeye tuna single_stock","Bigeye tuna","SQ",1,"CS","illegal_fishing",2,9209578302.62151,0
"140","Bigeye tuna single_stock","Bigeye tuna","FMSY",1,"CS","illegal_fishing",2,9649925777.35608,0
"141","Bigeye tuna single_stock","Bigeye tuna","minRec",1,"CS","illegal_fishing",2,8774923737.48256,0
"142","Bigeye tuna single_stock","Bigeye tuna","econOpt",1,"CS","illegal_fishing",2,9880556990.33491,0
"143","Bigeye tuna single_stock","Bigeye tuna","close",1,"CS","illegal_fishing",2,142661452.442253,0
"144","Bigeye tuna single_stock","Bigeye tuna","openA",1,"CS","illegal_fishing",2,7928597277.88482,0
"145","Blackhead seabream single_stock","Blackhead seabream","SQ",1,"no_CS","illegal_fishing",2,121597725.217446,0
"146","Blackhead seabream single_stock","Blackhead seabream","FMSY",1,"no_CS","illegal_fishing",2,205680814.425754,0
"147","Blackhead seabream single_stock","Blackhead seabream","minRec",1,"no_CS","illegal_fishing",2,214909583.45868,0
"148","Blackhead seabream single_stock","Blackhead seabream","econOpt",1,"no_CS","illegal_fishing",2,213339672.269757,0
"149","Blackhead seabream single_stock","Blackhead seabream","close",1,"no_CS","illegal_fishing",2,7181469.96163192,0
"150","Blackhead seabream single_stock","Blackhead seabream","openA",1,"no_CS","illegal_fishing",2,13916399.3771864,0
"151","Blackhead seabream single_stock","Blackhead seabream","SQ",1,"CS","illegal_fishing",2,337894364.124632,0
"152","Blackhead seabream single_stock","Blackhead seabream","FMSY",1,"CS","illegal_fishing",2,365125364.516722,0
"153","Blackhead seabream single_stock","Blackhead seabream","minRec",1,"CS","illegal_fishing",2,362936896.030597,0
"154","Blackhead seabream single_stock","Blackhead seabream","econOpt",1,"CS","illegal_fishing",2,337206807.846035,0
"155","Blackhead seabream single_stock","Blackhead seabream","close",1,"CS","illegal_fishing",2,7181469.96163192,0
