部門名,耕種農業,畜産,農業サービス,林業,水産業,金属鉱物,石炭・石油・ガス,非金属鉱物,食肉・畜産食料品,水産食料品,精穀・製粉,めん・パン・菓子類,その他の食料品,飲料・たばこ,飼料・有機質肥料（別掲を除く。）,繊維工業製品,衣服・その他の繊維製品,木材・木製品,家具・装備品,パルプ・紙・板紙・加工紙,紙加工品,印刷・製版・製本,化学肥料,無機化学工業製品,有機化学工業製品,合成樹脂・化学繊維,医薬品,化学最終製品（医薬品を除く。）,石油・石炭製品,プラスチック製品,ゴム製品,なめし革・毛皮・同製品,ガラス・ガラス製品,セメント・セメント製品,陶磁器・その他の窯業・土石製品,銑鉄・粗鋼,鉄屑,鋼材,鋳鍛造品・その他の鉄鋼製品,非鉄金属精錬・精製,非鉄金属屑,非鉄金属加工製品,建設・建築用金属製品,その他の金属製品,はん用機械,生産用機械,業務用機械,電子デバイス,その他の電子部品,産業用電気機械,民生用電気機器,電子応用装置・電気計測器,その他の電気機械,通信機械・同関連機器,電子計算機・同附属装置,自動車,船舶・同修理,その他の輸送機械・同修理,その他の製造工業製品,再生資源回収・加工処理,建築,建設補修,土木,電力,ガス・熱供給,水道,廃棄物処理,卸売,小売,金融・保険,不動産仲介及び賃借,住宅賃貸料,住宅賃貸料（帰属家賃）,鉄道輸送,道路輸送（自家輸送を除く。）,自家輸送,水運,航空輸送,貨物利用運送,倉庫,運輸附帯サービス,郵便・信書便,通信,放送,情報サービス,公務,教育,研究,医療・保健衛生,社会保険・社会福祉,介護,その他の非営利団体サービス,物品賃借サービス,広告,自動車整備・機械修理,その他の対事業所サービス,宿泊業,飲食サービス,洗濯・理容・美容・浴場業,娯楽サービス,その他の対個人サービス,事務用品,分類不明
銑鉄・粗鋼,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000007,0,0,0,0,0,0,0,0,0,0.588895,0.091116,0,0,0.000007,0,0.000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000004,0,0.000089
鉄屑,0,0,0,0,0,0,0,-0.000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000005,0.00001,0,0,0,0,0,0,0,0,0,-0.000004,-0.000003,0,0,-0.006995,0.002188,0,0,0,-0.00094,-0.003339,-0.001024,-0.001215,-0.000673,0,-0.000006,-0.001295,-0.000971,-0.000002,-0.00021,-0.000162,-0.000008,-0.000299,-0.004365,-0.000848,-0.000324,0,0,-0.000726,-0.000147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鋼材,0.000028,0.000009,0.000002,0.000005,0.000076,0,0,0.000409,0,0,0,0,0,0,0,0.000063,0.000053,0.000541,0.021917,0,0,0,0,0,0,0,0,0,0,0.001098,0.006182,0,0,0.008146,0.004697,0,0,0.041923,0.119134,0.000133,0,0.000112,0.190207,0.098158,0.063778,0.055735,0.010768,0.000004,0.005286,0.039805,0.040624,0.004503,0.019924,0.006528,0.00228,0.032888,0.135799,0.048502,0.006507,0,0.014393,0.012182,0.024352,0,0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001631,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000261,0,0,0,0,0,0.00013,0,0.005367
鋳鍛造品・その他の鉄鋼製品,0,0,0,0,0.00008,0,0,0.000025,0,0,0,0,0,0,0,0,0,0.000044,0.038363,0,0,0,0,0,0,0,0,0.000021,0,0.000044,0,0,0.000085,0.002692,0.005084,0,0,0,0.006705,0,0,0.000697,0.121946,0.078046,0.066164,0.045362,0.007548,0.000226,0.004937,0.016721,0.030786,0.00152,0.012752,0.004793,0.002051,0.011108,0.054557,0.065029,0.001268,0,0.000489,0.000922,0.003311,0,0,0.000354,0,0,0,0,0,0,0,0,0,0,0.000007,0,0,0,0,0,0,0,0,0.000004,0,0,0.000001,0.000007,0.000008,0.000004,0,0,0.000422,0,0.000025,0.000028,0,0.000002,0.000031,0.000027,0.004891
非鉄金属精錬・精製,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000004,0,0.000027,0.000564,0.000386,0,0.000022,0,0.008039,0,0,0,0.008988,0,0.00041,0,0,0.000262,0,0.008235,0,0,0.001413,0.00159,0.039866,0,0.423964,0.001899,0.020772,0.001737,0.002506,0.011902,0.041345,0.020987,0.020211,0.001113,0.000871,0.039144,0.001976,0.000042,0.001382,0.000353,0.000081,0.008345,0,0.000054,0,0,0,0,0.000014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000074,0,0,0.000066,0,0,0,0,0,0,0,0,0,0,0,0,0.000013,0,0.002782
非鉄金属屑,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000001,0,0,-0.000473,0,0.000037,-0.000038,0,0,0,0,-0.000007,-0.000029,0,0,0,-0.000001,0,0,-0.000001,-0.000001,0.065778,0,0.00186,-0.000986,-0.004058,-0.001615,-0.000077,-0.000209,-0.020028,-0.000543,-0.001283,-0.000181,-0.000059,-0.001619,-0.000038,-0.00006,-0.000012,-0.000001,-0.000007,-0.00006,0,0,0,-0.000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
非鉄金属加工製品,0,0,0,0,0,0,0,0.000102,0.000193,0.000089,0,0.003238,0.00223,0.005454,0,0.000008,0,0.001005,0.011914,0.000002,0.000149,0.002527,0,0.000007,0,0,0.001131,0.005681,0,0.001326,0.001139,0.000091,0.000813,0.000341,0.002573,0,0,0.000361,0.00013,0.002616,0,0.066862,0.039751,0.036252,0.047455,0.023958,0.018254,0.016844,0.053725,0.076304,0.050507,0.022954,0.070552,0.071407,0.017543,0.012438,0.015609,0.014527,0.013022,0,0.006321,0.009041,0.013364,0.000177,0,0.000117,0.000021,0.000019,0.00001,0,0,0,0,0,0,0,0.000189,0,0,0,0.000026,0,0,0,0.000163,0.000059,0,0.000134,0.00121,0.000129,0.000306,0.000215,0,0,0.002472,0.000033,0.000738,0.000365,0.000608,0,0.000406,0.000949,0.005328
建設・建築用金属製品,0,0,0,0.000305,0.000237,0,0,0,0,0,0,0,0,0,0,0,0,0.000068,0.001445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000122,0,0,0,0,0.00004,0,0,0,0.02753,0.001653,0.000417,0.000191,0,0,0.000053,0,0,0,0,0.000166,0,0,0.007937,0.008925,0.00412,0,0.05063,0.086893,0.036386,0,0,0,0,0,0,0,0,0.000119,0.000007,0.000034,0,0,0.001333,0,0,0,0.000002,0,0,0,0,0,0,0,0,0,0,0,0.000118,0,0.000188,0,0,0,0,0,0,0,0.001163
その他の金属製品,0.001326,0.001305,0.00004,0.002729,0.001029,0,0,0.018856,0.001496,0.022364,0.000013,0.0023,0.005351,0.026022,0.001062,0.000083,0.000943,0.010312,0.056609,0.00211,0.004097,0.000612,0.000022,0.015494,0.006331,0.002058,0.012476,0.012062,0.000068,0.001407,0.032248,0.003579,0.015709,0.005756,0.015206,0,0,0.000031,0.008948,0.000024,0,0.001653,0.049045,0.080296,0.054128,0.037076,0.031875,0.011903,0.026095,0.039898,0.029588,0.01912,0.006181,0.039331,0.032586,0.005745,0.034572,0.012548,0.016064,0.000169,0.017493,0.064779,0.007412,0.000348,0.000785,0.000719,0.00025,0.004439,0.001788,0.000102,0.000026,0.000372,0.000346,0.00028,0.00145,0,0.003658,0.000064,0.000645,0.003203,0.003817,0.000035,0.000529,0.000056,0.000272,0.0025,0.000147,0.000162,0.00023,0.000509,0.00045,0.002336,0.00076,0.000001,0.004603,0.000214,0.000941,0.002734,0.003094,0.000155,0.004752,0.000352,0.003196
はん用機械,0,0,0,0.000008,0,0,0,0.001625,0,0,0,0,0,0,0,0,0,0.000123,0.005026,0,0,0,0,0,0,0,0,0.000231,0,0.000343,0,0,0.001912,0.000686,0.001416,0,0,0,0.001714,0,0,0,0.001538,0.000574,0.157247,0.049519,0.010871,0.001757,0.002318,0.012611,0.023848,0.002592,0.001421,0.003209,0.001161,0.002958,0.030125,0.021429,0.008128,0,0.007133,0.000654,0.005652,0,0,0.004371,0,0.000004,0.000004,0,0,0,0,0.00011,0.000002,0,0.000004,0.000059,0.000021,0.000155,0.000523,0.000061,0,0.000003,0.000008,0.000102,0,0,0,0.000001,0,0,0.000005,0,0.036473,0.000065,0,0,0,0,0.000106,0,0
