部門名,米,耕種農業（米を除く）,畜産,農業サービス,林業,漁業,石炭・原油・天然ガス,その他の鉱業,食肉・畜産食料品,水産食料品,精穀・製粉,その他の食料品,飲料,飼料・有機質肥料（別掲を除く。）,たばこ,繊維製品,木材・木製品,家具・装備品,パルプ・紙・板紙・加工紙,紙加工品,印刷・製版・製本,化学製品,石油・石炭製品,プラスチック製品,ゴム製品,なめし革・革製品・毛皮,ガラス・ガラス製品,セメント・セメント製品,陶磁器,その他の窯業・土石製品,銑鉄・粗鋼,鋼材,鋳鍛造品（鉄）,その他の鉄鋼製品,非鉄金属,建設用・建築用金属製品,その他の金属製品,はん用機械,生産用機械,業務用機械,電子デバイス,その他の電子部品,産業用電気機器,民生用電気機器,電子応用装置・電気計測器,その他の電気機械,通信・映像・音響機器,電子計算機・同附属装置,乗用車,自動車部品・同附属品,船舶・同修理,その他の輸送機械・同修理,その他の製造工業製品,再生資源回収・加工処理,建築,建設補修,公共事業,その他の土木建設,電力,ガス・熱供給,水道,廃棄物処理,卸売,小売,金融・保険,不動産仲介及び賃貸,住宅賃貸料,住宅賃貸料（帰属家賃）,鉄道輸送,道路輸送（自家輸送を除く。）,自家輸送,水運,航空輸送,貨物利用運送,倉庫,運輸附帯サービス,郵便・信書便,通信,放送,情報サービス,インターネット附随サービス,映像・音声・文字情報制作,公務,教育,研究,医療,保健衛生,社会保険・社会福祉,介護,他に分類されない会員制団体,物品賃貸サービス,広告,自動車整備・機械修理,その他の対事業所サービス,宿泊業,飲食サービス,洗濯・理容・美容・浴場業,娯楽サービス,その他の対個人サービス,事務用品,分類不明
なめし革・革製品・毛皮,0.000056,0.000100,0.000000,0.000000,0.000125,0.000321,0.000000,0.003297,0.000011,0.000021,0.000014,0.000053,0.000000,0.000000,0.000000,0.000962,0.000107,0.000645,0.000053,0.000166,0.000089,0.000121,0.000027,0.000110,0.000070,0.131001,0.000000,0.000065,0.000795,0.000127,0.000000,0.000037,0.000315,0.000000,0.000031,0.000209,0.000024,0.000000,0.000625,0.001330,0.000304,0.000380,0.000092,0.000000,0.000273,0.000012,0.000605,0.000052,0.000099,0.000077,0.000000,0.000000,0.001704,0.000065,0.000000,0.000016,0.000009,0.000062,0.000058,0.003641,0.000117,0.000166,0.000067,0.000117,0.000107,0.000000,0.000000,0.000000,0.000214,0.000037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000041,0.000601,0.003140,0.000253,0.000006,0.001698,0.000040,0.000263,0.000057,0.000754,0.000028,0.000263,0.000086,0.000046,0.001997,0.000713,0.000028,0.000012,0.000098,0.000464,0.000015,0.000399,0.000204,0.001304,0.000000,0.001097
ガラス・ガラス製品,0.000000,0.000000,0.000000,0.000000,0.000626,0.000000,0.000000,0.000000,0.000519,0.000834,0.000000,0.000534,0.012818,0.000000,0.000000,0.000855,0.000030,0.014398,0.000006,0.000000,0.000000,0.003247,0.000000,0.003445,0.000237,0.000000,0.039528,0.000013,0.000000,0.000765,0.000000,0.000000,0.000000,0.000000,0.018003,0.000597,0.000623,0.000289,0.000352,0.019104,0.001494,0.006606,0.000229,0.002168,0.000455,0.008974,0.000546,0.000104,0.010882,0.000013,0.000674,0.006079,0.012607,0.000000,0.003685,0.001992,0.000045,0.000072,0.000000,0.000000,0.000000,0.000090,0.000019,0.000140,0.000007,0.000000,0.000000,0.000000,0.000000,0.000019,0.000000,0.000044,0.000037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000013,0.000071,0.000400,0.002350,0.000325,0.002961,0.000218,0.000250,0.000344,0.000000,0.000028,0.003899,0.000009,0.000761,0.000437,0.000100,0.000530,0.000076,0.000000,0.001291
セメント・セメント製品,0.000000,0.000000,0.000000,0.000000,0.000063,0.000000,0.000000,0.000045,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000000,0.000000,0.000000,0.147653,0.000000,0.000595,0.000000,0.000000,0.000052,0.000000,0.000000,0.000000,0.000096,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000692,0.000000,0.029923,0.035851,0.060925,0.037945,0.000000,0.000000,0.000000,0.000154,0.000000,0.000000,0.000000,0.000000,0.000033,0.000102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000000,0.000024,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000694
陶磁器,0.000000,0.000125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000174,0.000000,0.000000,0.000000,0.000000,0.001343,0.000000,0.000000,0.000000,0.000035,0.000000,0.000055,0.000000,0.000000,0.000000,0.000052,0.006215,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000024,0.000000,0.000025,0.000276,0.006278,0.034004,0.006483,0.000000,0.000547,0.000836,0.002022,0.000000,0.000000,0.000106,0.000000,0.000000,0.000473,0.000065,0.005475,0.000840,0.000258,0.000764,0.000000,0.000000,0.000000,0.000294,0.000038,0.000086,0.000002,0.000000,0.000000,0.000000,0.000000,0.000019,0.000000,0.000087,0.000000,0.000000,0.000000,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000043,0.000094,0.000009,0.000166,0.000263,0.001000,0.000720,0.000207,0.000000,0.000000,0.000000,0.000009,0.001057,0.001170,0.000000,0.000009,0.000200,0.000000,0.001157
その他の窯業・土石製品,0.002399,0.003786,0.001325,0.003257,0.000000,0.000053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000089,0.000054,0.002243,0.000000,0.000000,0.000137,0.002095,0.001875,0.000000,0.000015,0.002035,0.000400,0.000138,0.000209,0.000000,0.012829,0.014360,0.023920,0.032924,0.000000,0.000303,0.014731,0.000000,0.001688,0.002428,0.002586,0.016442,0.004636,0.001001,0.011467,0.003362,0.004032,0.001301,0.002186,0.012050,0.002022,0.001252,0.001641,0.001446,0.001540,0.000118,0.001806,0.000000,0.009171,0.016466,0.006197,0.012351,0.000032,0.000073,0.004201,0.000000,0.000073,0.000055,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000066,0.000044,0.000987,0.000157,0.000039,0.000000,0.000000,0.000006,0.000000,0.000000,0.000000,0.000166,0.000001,0.000040,0.000079,0.000033,0.000734,0.000609,0.004999,0.001572
銑鉄・粗鋼,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.636359,0.113074,-0.004905,0.000000,-0.000527,-0.001844,-0.001042,-0.000642,-0.000461,0.000000,-0.000006,-0.000252,-0.000434,0.000000,-0.000824,-0.000059,0.000000,-0.000123,-0.000140,-0.001733,-0.000059,-0.000017,0.000000,0.000000,-0.000408,-0.000088,-0.000058,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
鋼材,0.000000,0.000075,0.000000,0.000000,0.000000,0.000080,0.000000,0.000980,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000267,0.000457,0.012894,0.000000,0.000000,0.000000,0.000000,0.000000,0.001433,0.001853,0.000000,0.000000,0.009356,0.000000,0.001699,0.000000,0.072783,0.103428,0.584921,0.001151,0.138774,0.089329,0.063510,0.040089,0.009664,0.000051,0.006438,0.039470,0.022979,0.004282,0.013552,0.008016,0.002400,0.034290,0.019277,0.120223,0.005725,0.003375,0.000000,0.019805,0.014144,0.019803,0.031228,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000430,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000259,0.000000,0.000000,0.000000,0.000000,0.000000,0.000095,0.000000,0.003436
鋳鍛造品（鉄）,0.000000,0.000000,0.000000,0.000000,0.000000,0.000147,0.000000,0.000089,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000078,0.002240,0.000212,0.000000,0.000000,0.007863,0.000000,0.000000,0.008328,0.008164,0.022926,0.014620,0.004687,0.000000,0.000477,0.010538,0.000867,0.002460,0.002458,0.000620,0.001305,0.000436,0.023780,0.014150,0.003777,0.001097,0.000000,0.000303,0.000262,0.001249,0.009971,0.000000,0.000000,0.000019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000020,0.000024,0.000000,0.000000,0.000019,0.000039,0.000841
その他の鉄鋼製品,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000046,0.017943,0.000000,0.000000,0.000000,0.000087,0.000000,0.000055,0.000000,0.000000,0.000000,0.001921,0.001156,0.001784,0.000000,0.000000,0.000891,0.000000,0.000384,0.102568,0.083391,0.018931,0.009185,0.002712,0.000228,0.004685,0.013424,0.021244,0.000000,0.010209,0.001963,0.000887,0.004965,0.006115,0.038502,0.005017,0.002886,0.000000,0.000264,0.000686,0.000308,0.000088,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000437,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000646
非鉄金属,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000045,0.000455,0.000406,0.000000,0.002690,0.003112,0.000000,0.000000,0.000000,0.000883,0.007682,0.000012,0.000276,0.001933,0.007013,0.000012,0.002467,0.002676,0.001372,0.002601,0.000039,0.033459,0.009219,0.000000,0.000817,0.002883,-0.000217,0.464039,0.101095,0.068188,0.048457,0.024149,0.019328,0.031466,0.068093,0.074565,0.048558,0.024050,0.153117,0.046842,0.017064,0.006237,0.050312,0.019251,0.001948,0.034816,0.000000,0.006881,0.009198,0.003990,0.020130,0.000271,0.000000,0.000282,0.000013,0.000015,0.000010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000087,0.000000,0.000000,0.000000,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000664,0.000230,0.000000,0.000194,0.001666,0.000000,0.000132,0.000372,0.000234,0.000000,0.000000,0.002040,0.000036,0.000642,0.000332,0.000643,0.000000,0.000400,0.000945,0.003801
