部門名,耕種農業,畜産,農業サービス,林業,水産業,金属鉱物,石炭・石油・ガス,非金属鉱物,食肉・畜産食料品,水産食料品,精穀・製粉,めん・パン・菓子類,その他の食料品,飲料・たばこ,飼料・有機質肥料（別掲を除く。）,繊維工業製品,衣服・その他の繊維製品,木材・木製品,家具・装備品,パルプ・紙・板紙・加工紙,紙加工品,印刷・製版・製本,化学肥料,無機化学工業製品,有機化学工業製品,合成樹脂・化学繊維,医薬品,化学最終製品（医薬品を除く。）,石油・石炭製品,プラスチック製品,ゴム製品,なめし革・毛皮・同製品,ガラス・ガラス製品,セメント・セメント製品,陶磁器・その他の窯業・土石製品,銑鉄・粗鋼,鉄屑,鋼材,鋳鍛造品・その他の鉄鋼製品,非鉄金属精錬・精製,非鉄金属屑,非鉄金属加工製品,建設・建築用金属製品,その他の金属製品,はん用機械,生産用機械,業務用機械,電子デバイス,その他の電子部品,産業用電気機械,民生用電気機器,電子応用装置・電気計測器,その他の電気機械,通信機械・同関連機器,電子計算機・同附属装置,自動車,船舶・同修理,その他の輸送機械・同修理,その他の製造工業製品,再生資源回収・加工処理,建築,建設補修,土木,電力,ガス・熱供給,水道,廃棄物処理,卸売,小売,金融・保険,不動産仲介及び賃借,住宅賃貸料,住宅賃貸料（帰属家賃）,鉄道輸送,道路輸送（自家輸送を除く。）,自家輸送,水運,航空輸送,貨物利用運送,倉庫,運輸附帯サービス,郵便・信書便,通信,放送,情報サービス,公務,教育,研究,医療・保健衛生,社会保険・社会福祉,介護,その他の非営利団体サービス,物品賃借サービス,広告,自動車整備・機械修理,その他の対事業所サービス,宿泊業,飲食サービス,洗濯・理容・美容・浴場業,娯楽サービス,その他の対個人サービス,事務用品,分類不明,内生部門計,家計外消費支出（列）,民間消費支出,一般政府消費支出,県内総固定資本形成（公的）,県内総固定資本形成（民間）,在庫純増,調整項,県内最終需要計,県内需要合計,移輸出,最終需要計,需要合計,（控除）移輸入,最終需要部門計,県内生産額,移入率,自給率,民間消費支出構成比,一般政府消費支出構成比
紙加工品,"2,174,549","222,986","912,112","119,089","17,564",0,0,0,"835,842","351,718","29,053","678,671","977,335","226,557","5,932","3,231","24,813","27,078","57,933","66,258","243,134","40,866","33,452",331,0,"1,018","738,386","13,648",572,"81,474","8,604","109,311","13,846","380,445","81,096",0,0,0,844,0,0,980,"2,375","206,038","63,532","44,664","231,496","57,582","411,401","115,189","21,623","5,200","2,930","48,215","5,986","73,363",379,463,"147,721","11,942","4,951","177,536",163,0,0,"7,030","41,134","1,581,820","2,573,209","365,538","1,211",0,0,"4,045","68,151",0,"7,792","2,169","1,545","37,519","481,620","6,599","28,679","7,187","73,513","106,793","178,392","95,425","413,393","483,255","502,084","88,344",924,"1,838",308,"454,859","44,398","424,740","20,659","38,575","64,381","3,520,023","37,386","21,876,015","661,302","3,090,968",0,0,0,"-106,973",963,"3,646,260","25,522,275","26,537,727","30,183,987","52,060,002","-19,549,472","10,634,515","32,510,530",0.765977 ,0.234023 ,0.001215 ,0.000000 
印刷・製版・製本,"8,938",0,"2,129","7,503","10,926",0,0,"4,503","628,633","140,955","289,286","520,045","786,019","18,902",254,187,"23,137","58,403","20,698","11,804","1,323,996","1,825,337","6,304",788,16,60,"88,421","12,979","2,369","12,305","6,682",948,"50,926","7,312","2,310",0,0,"1,145","35,203",418,0,"10,076","8,677","212,328","120,101","125,443","475,138","388,583","287,384","51,844","43,929","17,353",157,"274,702","29,183","869,710","15,002","6,591","162,339","29,399","149,699","79,051","380,714","77,314","45,802","79,555","346,302","1,034,318","3,097,574","4,574,059","10,830","4,099",0,"28,583","258,337",0,"10,987","2,824","25,500","8,706","345,322","146,276","873,845","67,420","1,725,490","4,760,286","2,095,565","2,650,141","1,085,467","745,433","156,731","2,031,929","108,111","162,879","126,616","1,317,685","34,017","80,144","98,904","883,195","204,299",0,"4,625","38,956,414","161,752","461,708",0,0,0,"39,733","10,776","673,969","39,630,383","16,407,142","17,081,111","56,037,525","-20,480,585","-3,399,474","35,556,940",0.516790 ,0.483210 ,0.000182 ,0.000000 
化学肥料,"5,632,734",0,"6,014","30,406",0,0,0,0,0,"2,613",0,0,0,"1,022",38,8,18,481,0,76,37,97,"1,557,377","2,007",232,"7,268","39,938","25,151",0,0,485,29,75,0,"3,156",0,0,710,0,22,0,2,0,0,0,"1,291",0,0,779,0,0,0,595,0,0,0,0,0,363,0,0,0,"287,920","1,382",935,0,0,0,0,0,155,0,0,0,0,0,0,0,0,78,0,0,0,0,0,"3,388",0,0,0,0,0,0,0,0,0,0,0,0,0,"10,929","34,328",0,"17,688","7,669,827",0,"64,509",0,0,0,"131,648",0,"196,157","7,865,984","5,091,781","5,287,938","12,957,765","-4,344,815","943,123","8,612,950",0.552355 ,0.447645 ,0.000025 ,0.000000 
無機化学工業製品,"104,433","46,906","9,381","10,280","15,957",0,0,"1,408","204,725","50,082",0,"249,825","136,237","18,724","2,102","11,367","3,210","12,639","2,378","410,258","105,689",387,"640,507","134,217","18,409","4,372","1,012,426","232,933","2,865","178,076","132,556","3,380","153,468","24,162","26,050",0,0,"45,313","24,614","2,616",0,"2,559","182,501","60,295","66,037","101,027","28,664","493,938","346,273","26,513","2,610","22,078","10,475","181,485","9,482","76,810","23,571",665,"60,960","4,688","34,108","23,884","510,905",49,87,"418,342","646,134",0,0,0,0,0,0,221,"7,079",0,0,0,0,"4,642","13,299",0,0,0,709,"110,058","2,021","363,131","249,189","20,984","21,893",0,0,960,"40,213",0,"4,825","24,643","84,397","3,142","3,109",0,"91,425","8,412,032",101,"103,648",0,0,0,"6,434",0,"110,183","8,522,215","400,838","511,021","8,923,053","-8,031,533","-7,520,512","891,520",0.942423 ,0.057577 ,0.000041 ,0.000000 
有機化学工業製品,0,5,"2,441","1,976",0,0,0,702,"295,513","48,884",0,"131,883","123,568","22,340","4,338","17,745",404,"101,877","7,131","699,273","45,126","26,023","208,662","2,549","17,057","214,080","2,221,002","834,529","12,587","1,223,595","631,744",474,"179,498","11,755","39,387",0,0,0,436,"1,268",0,"9,014","3,532","7,519","23,681","2,702","34,382","285,889","197,058","54,494","15,662","4,421","1,194","17,749",162,"58,133","2,837",6,"12,452",0,"16,896","17,137",65,0,"2,791","2,514",0,0,0,0,0,0,0,0,11,0,0,0,0,324,"22,091",54,0,0,"2,981","1,506","88,366","519,751","203,853",962,"6,873",0,101,0,"33,830",0,0,0,"33,964",0,"5,032",0,"58,254","8,876,095",0,"1,656",0,0,0,146,0,"1,802","8,877,897",0,"1,802","8,877,897","-8,798,757","-8,796,955","79,140",0.991086 ,0.008914 ,0.000001 ,0.000000 
合成樹脂・化学繊維,0,0,0,0,0,0,0,0,0,0,0,"5,904",0,0,0,"119,629","194,724","13,293","14,506","338,923","259,421","18,153",0,0,0,"1,664",0,"91,364","7,620","6,044,988","5,319","57,115","1,967",0,"13,040",0,0,261,0,0,0,"8,617",396,"12,926",319,"23,506","163,369","174,547","358,689","197,491","21,035",0,"26,978","89,403","7,870","446,159","73,438",241,"122,609",0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,28,0,0,"50,586",0,"1,501",0,0,0,0,0,0,0,0,0,0,0,"164,432","9,132,194",0,0,0,0,0,"-10,297",0,"-10,297","9,121,897",0,"-10,297","9,121,897","-8,775,927","-8,786,224","345,970",0.962073 ,0.037927 ,0.000000 ,0.000000 
医薬品,0,"1,621,295","243,391",0,"95,523",0,0,0,"2,068",248,0,"24,501","23,001",0,"6,835",0,235,0,0,0,0,0,0,0,0,0,"1,385,845",121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,"1,264","646,285",0,0,0,0,0,0,0,"2,112",0,335,9,0,0,0,"15,120",0,0,73,"131,214","16,035","45,302","79,326,324","727,397","377,574",0,0,0,0,0,"1,138",0,0,"1,254",136,0,"156,980","84,851,977","788,492","6,892,041",0,0,0,"-73,681","32,267","7,639,119","92,491,096","37,316,350","44,955,469","129,807,446","-92,491,076","-47,535,607","37,316,370",1.000000 ,0.000000 ,0.002710 ,0.000000 
化学最終製品（医薬品を除く。）,"4,083,916","280,311","137,157","160,874","73,924",0,0,"185,425","77,090","8,766","1,106","195,000","105,360","14,881",43,"17,406","36,907","1,620,595","138,929","780,408","460,377","1,103,557","37,848","4,116","1,629","5,492","506,145","651,469","336,177","263,623","95,838","63,648","12,550","272,550","228,031",0,0,"26,823","100,055",135,0,"40,972","264,815","354,590","241,439","573,106","813,675","133,932","626,627","121,252","11,497","32,542","38,324","316,762","25,216","4,152,772","215,893","8,647","422,824","2,234","1,504,724","619,212","1,303,576","3,603","25,360","25,233","300,270","2,370","6,152","5,058",494,"3,100","14,659","1,182","55,718","9,296","1,570",964,719,"1,807","34,779",135,0,"14,878","352,418","338,722","7,724","669,622","859,188","234,716","278,424","116,846","265,072","20,486","699,898","679,859","196,751","337,455","972,972","132,839","417,445","151,806","159,351","31,311,733","659,776","16,652,853",0,0,0,"-7,908","2,371","17,307,092","48,618,825","2,993,021","20,300,113","51,611,846","-47,722,796","-27,422,683","3,889,050",0.981570 ,0.018430 ,0.006548 ,0.000000 
石油・石炭製品,"3,255,475","1,161,139","248,025","2,899,016","2,888,461",0,0,"2,085,339","244,321","306,301","64,491","223,713","1,060,847","77,965","85,978","19,586","29,145","662,223","36,382","522,094","324,047","282,748","845,022","18,943","1,207",669,"169,390","65,058","3,226,983","68,207","45,107","60,679","370,640","1,960,532","463,081",0,0,"930,898","443,273","35,721",0,"72,010","220,216","666,812","355,520","458,667","269,391","495,566","403,848","106,648","6,717","12,014","52,670","69,719","14,275","1,541,978","43,251","9,956","233,003","178,011","2,708,724","1,021,184","30,020,233","3,375,614","1,407,977","823,233","2,447,878","2,177,456","3,745,732","703,678","239,780","226,995","4,762","142,793","15,749,800","29,705,775","831,526","910,419","229,554","23,525","256,920","172,054","126,083","40,379","359,434","7,477,889","1,599,308","1,003,499","2,655,178","508,966","1,040,058","417,074","465,626","27,888","731,925","1,010,519","595,193","2,279,814","1,062,257","1,478,823","628,797",0,"2,556,395","153,383,695","227,605","75,017,463",0,0,0,"-174,985",0,"75,070,083","228,453,778","1,518,813","76,588,896","229,972,591","-220,141,191","-143,552,295","9,831,400",0.963614 ,0.036386 ,0.029498 ,0.000000 
プラスチック製品,"705,295","173,324","104,561","513,970","484,337",0,0,"3,370","380,059","606,089","69,184","604,690","1,374,643","205,424",327,"4,497","66,305","420,903","185,759","404,718","2,626,056","1,780,692","78,292","1,699",0,"2,258","1,317,868","56,014",3,"8,120,871","418,618","170,957","356,576","19,439","32,207",0,0,0,"7,634","1,478",0,"21,623","42,653","209,315","327,359","1,818,213","2,323,314","1,702,986","1,845,599","823,042","122,813","42,493","227,086","1,795,794","268,924","18,429,560","97,535","11,112","1,464,346","25,256","2,894,030","1,339,075","7,414,260",0,0,"1,042,589","216,511","327,463","3,611,493","861,419","33,889","154,739","218,653",0,"57,945","2,595","2,567","3,261","11,409","30,797","178,689",0,"3,385","24,877","648,507","633,858","43,945","1,029,308","553,568","10,394","26,288","124,604","33,380","17,053","701,710","278,134","118,782","122,205","162,278","368,791","53,939","531,122","384,929","77,169,581","160,547","2,451,787","53,314",0,"-4,486","444,929","105,212","3,211,303","80,380,884","35,220,974","38,432,277","115,601,858","-71,720,608","-33,288,331","43,881,250",0.892260 ,0.107740 ,0.000964 ,0.000046 
ゴム製品,"120,071","55,400","58,483","100,037","40,941",0,0,"49,155","18,399","10,669",705,"8,795","36,682","1,778",125,330,"25,441","23,864","8,808","24,260","25,506","19,854","9,252",26,171,251,"47,020",427,"7,402","23,417","444,336","783,349","5,099","226,086","19,637",0,0,"21,032","4,001",68,0,"1,604","71,873","54,584","850,619","1,210,365","547,671","437,789","116,105","320,698","26,869","6,831","31,555","750,936","15,890","9,812,513","103,659","37,776","138,209","47,517","59,047","18,502","2,280,895",0,0,"29,150","1,224,384","20,505","48,808","2,167",0,0,0,"1,567","289,411","661,724","22,943",0,"5,106","4,738","3,434","6,529","26,347",270,"4,615","352,824","18,686","21,975","477,584","102,672","129,238","252,914","42,508",45,"4,598,003","16,231","86,928","22,683","21,839","70,524","52,245","133,447","30,196","27,944,624","66,896","2,758,631",0,0,0,"32,795","3,532","2,861,854","30,806,478","6,739,004","9,600,858","37,545,482","-30,698,882","-21,098,024","6,846,600",0.996507 ,0.003493 ,0.001085 ,0.000000 
なめし革・毛皮・同製品,"6,614",769,122,"6,517","10,227",0,0,"34,642","1,081",706,212,"1,828","2,901",63,3,145,"25,118","20,564","5,024","2,625","2,115","2,613",851,22,1,3,285,"2,095","6,791","2,318","3,823","2,245,066",16,"7,605","2,118",0,0,132,"4,133",5,0,661,"11,884","2,522","2,355","66,313","90,278","20,491","27,984","2,363",49,"2,060",9,"36,898",155,"67,182","1,401",261,"85,198",659,819,"1,137","15,126","1,121","27,785","2,785","13,228","15,063","38,719","35,012",65,22,0,"1,764","3,933",0,172,16,32,140,"1,811","11,163","304,550","7,316","18,320","184,357","14,535","34,038","15,928","6,045","3,774","70,973","55,499",37,"1,121","13,721","32,792","2,596","18,808","13,288","70,748",0,"74,551","3,930,786","315,260","6,774,263",0,0,0,"64,563",0,"7,154,086","11,084,872","6,972,462","14,126,548","18,057,334","-10,286,384","3,840,164","7,770,950",0.927966 ,0.072034 ,0.002664 ,0.000000 
ガラス・ガラス製品,0,0,0,"18,012",0,0,0,0,"35,225","59,358",0,600,"111,724","111,625",0,476,"4,308","3,654","111,622","8,749",0,219,62,360,0,6,"275,765","4,844",0,"181,537","7,236",0,"357,984",883,"8,443",0,0,0,0,0,0,105,"7,160","57,977","7,159","30,434","701,812","100,541","1,222,040","7,334","6,994","10,359","53,013","23,254","1,026","6,690,691","14,403","19,971","222,792",211,"1,063,120","160,302","40,893",0,0,778,"4,580","4,252","54,071","1,106",0,0,0,60,"2,510",0,800,170,8,0,2,0,0,0,233,"66,706","97,399","163,848","187,654","15,219","20,421","12,513",0,89,"457,812","1,115","47,869","54,794","4,460","38,548","5,709",0,"85,614","13,072,623","82,053","239,789",0,0,0,"-20,565",321,"301,598","13,374,221","7,988,805","8,290,403","21,363,026","-12,794,866","-4,504,463","8,568,160",0.956681 ,0.043319 ,0.000094 ,0.000000 
セメント・セメント製品,0,0,0,"19,177",0,0,0,535,0,0,0,0,0,0,0,0,0,481,0,0,0,0,0,0,0,0,0,106,"2,348",0,0,0,0,"5,618,451","15,506",0,0,0,0,0,0,0,170,"7,621",56,0,0,0,0,0,0,0,0,0,0,0,0,22,"8,586",0,"6,670,273","2,834,140","39,534,724",0,91,0,"10,290",0,0,0,30,"5,244","54,070",0,0,0,0,0,0,0,0,0,0,0,0,177,0,"4,454",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"75,632","54,862,184",0,"13,453",0,0,0,"-395,648",0,"-382,195","54,479,989","21,970,606","21,588,411","76,450,595","-16,657,875","4,930,536","59,792,720",0.305761 ,0.694239 ,0.000005 ,0.000000 
陶磁器・その他の窯業・土石製品,"415,130","194,855","73,183","8,022","2,020",0,0,0,154,0,0,"6,649","14,892","6,618","8,515",0,0,"9,914","14,942","101,604","2,825",561,"35,797","4,436",163,59,"42,382","2,687","113,151","6,826","2,296",29,"53,047","886,148","229,652",0,0,"12,944","284,910","2,883",0,"27,588","99,497","178,718","637,891","583,736","161,892","1,339,276","10,531,577","205,672","5,102","12,071","46,152","196,750","9,279","1,223,322","22,209","3,350","40,295",745,"3,852,000","1,444,729","5,983,785","5,402",585,"149,778","39,710","28,398","58,146","1,182",0,0,0,0,"2,738",0,895,2,58,8,553,0,0,0,"1,677","87,240","289,663","1,266","98,699","78,797","67,418","8,372",10,0,"17,696","3,391","79,092","205,653","1,846","52,708","42,530","75,128","206,740","30,748,311","53,941","850,652",0,0,0,"79,855",15,"984,463","31,732,774","5,183,014","6,167,477","36,915,788","-28,305,118","-22,137,641","8,610,670",0.891984 ,0.108016 ,0.000334 ,0.000000 
銑鉄・粗鋼,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,"28,247,711","2,396,458",0,0,86,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,"4,449","30,649,101",0,0,0,0,0,0,0,0,"30,649,101",0,0,"30,649,101","-30,649,101","-30,649,101",0,1.000000 ,0.000000 ,0.000000 ,0.000000 
鉄屑,0,0,0,0,0,0,0,-51,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-42,9,0,0,0,0,0,-11,0,0,0,-223,-29,0,0,"-335,554","57,554",0,0,0,"-25,636","-214,599","-81,064","-163,609","-41,209",0,-974,"-40,456","-2,747",-21,"-1,284","-6,852",-55,"-190,532","-60,810","-1,835","-12,287",0,0,"-68,291","-111,461",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,302,070",0,"-460,141",0,"-766,539","-1,829,358",0,0,"-3,056,038","-4,358,108","4,358,108","1,302,070",0,0,"1,302,070",0,0.000000 ,1.000000 ,-0.000181 ,0.000000 
鋼材,"3,290","1,242",30,168,"2,481",0,0,"6,330",0,0,0,0,0,0,0,120,"1,224","30,690","138,670",0,0,0,0,0,0,0,0,0,0,"48,167","42,325",0,0,"487,067","40,444",0,0,"2,010,925","3,133,371",321,0,"1,349","5,186,813","6,308,781","5,049,806","7,504,628","659,622",294,"808,391","1,243,848","114,902","40,825","121,938","275,792","16,102","20,985,283","1,891,929","104,994","246,916",0,"4,648,083","1,146,223","18,416,601",0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"82,623",0,0,0,0,54,0,0,0,0,0,0,0,0,"29,073",0,0,0,0,0,"7,088",0,"269,665","81,108,531",0,0,0,0,0,"1,649,149","239,187","1,888,336","82,996,867","37,813,237","39,701,573","120,810,104","-72,842,794","-33,141,221","47,967,310",0.877657 ,0.122343 ,0.000000 ,0.000000 
鋳鍛造品・その他の鉄鋼製品,0,0,0,0,"2,590",0,0,392,0,0,0,0,0,0,0,0,0,"2,468","242,719",0,0,0,0,0,0,0,0,80,0,"1,939",0,0,730,"160,952","43,777",0,0,0,"176,359",0,0,"8,389","3,325,374","5,016,129","5,238,731","6,107,946","462,380","15,037","754,998","522,513","87,077","13,777","78,041","202,464","14,488","7,088,071","760,084","140,771","48,131",0,"157,956","86,769","2,504,119",0,0,"16,952",0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,"1,687",0,0,295,563,823,220,0,0,"47,057",0,"1,584","4,272",0,128,"1,688",356,"245,723","33,586,642",0,301,0,0,0,"-102,022","169,721","68,000","33,654,642","23,063,715","23,131,715","56,718,357","-30,417,067","-7,285,352","26,301,290",0.903800 ,0.096200 ,0.000000 ,0.000000 
非鉄金属精錬・精製,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,"1,505","3,566","11,953",0,800,0,"7,167",0,0,0,"34,956",0,"17,994",0,0,"2,249",0,"70,908",0,0,"67,782","41,815","95,972",0,"5,099,214","51,772","1,335,040","137,519","337,380","729,111","2,754,076","3,209,756","631,556","3,148","7,901","239,563","83,461",294,"881,776","4,919",176,"316,695",0,"17,517",0,0,0,0,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,211",33,0,"6,622",0,0,0,0,0,0,0,0,0,0,0,0,707,0,"139,761","16,351,547",0,"1,865,268",0,0,0,"-111,547",0,"1,753,721","18,105,268","1,781,862","3,535,583","19,887,130","-17,479,780","-13,944,197","2,407,350",0.965453 ,0.034547 ,0.000733 ,0.000000 
非鉄金属屑,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,"-16,836",0,33,-3,0,0,0,0,-325,-201,0,0,0,-5,0,0,-45,-36,"158,350",0,"22,368","-26,888","-260,816","-127,834","-10,321","-12,811","-1,334,114","-83,028","-40,086",-513,-537,"-9,911","-1,599",-421,"-7,440",-18,-15,"-2,281",0,0,0,"-3,579",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,758,917",0,"-54,404",0,0,"-1,371,961",0,0,"-1,426,365","-3,185,282","3,185,282","1,758,917",0,0,"1,758,917",0,0.000000 ,1.000000 ,-0.000021 ,0.000000 
非鉄金属加工製品,0,0,0,0,0,0,0,"1,580","29,533","4,522",0,"156,607","191,131","56,438",0,15,0,"56,986","75,376",73,"4,836","89,862",0,6,0,0,"42,211","22,093",0,"58,185","7,801",704,"6,965","20,389","22,155",0,0,"17,311","3,426","6,297",0,"804,186","1,083,995","2,329,988","3,757,420","3,225,860","1,118,210","1,122,042","8,216,682","2,384,418","142,856","208,120","431,783","3,016,615","123,914","7,936,539","217,456","31,447","494,172",0,"2,041,461","850,649","10,106,475","16,013",0,"5,614","1,242","4,435","4,225",0,0,0,0,0,0,0,"1,132",0,0,0,"1,327",0,0,0,"13,744","26,909",0,"13,573","579,804","10,159","29,851","11,164",0,0,"275,435","7,328","46,257","56,366","29,803",0,"22,052","12,595","267,699","51,955,517","11,345","222,642",0,0,0,"-488,190",432,"-253,771","51,701,746","8,966,884","8,713,113","60,668,630","-48,641,170","-39,928,057","12,027,460",0.940803 ,0.059197 ,0.000088 ,0.000000 
建設・建築用金属製品,0,0,0,"11,133","7,694",0,0,0,0,0,0,0,0,0,0,0,0,"3,882","9,142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,269",0,0,0,0,"1,058",0,0,0,"750,726","106,244","33,049","25,719",0,0,"8,036",0,0,0,0,"7,028",0,0,"110,583","19,320","156,360",0,"16,350,697","8,175,650","27,517,417",0,0,0,0,0,0,0,0,"14,506","3,757",614,0,0,"7,992",0,0,0,79,0,0,0,0,8,0,0,0,0,0,0,"11,295",0,"20,994",0,0,0,0,0,0,0,"58,432","53,418,684",0,"234,804","9,059","10,103","148,744","-35,914",368,"367,164","53,785,848","20,016,767","20,383,931","73,802,615","-46,533,325","-26,149,394","27,269,290",0.865159 ,0.134841 ,0.000092 ,0.000008 
その他の金属製品,"158,294","178,873",771,"99,633","33,418",0,0,"291,785","228,755","1,130,325",637,"111,277","458,660","269,266","4,850",159,"21,976","584,565","358,160","65,254","133,181","21,764",186,"13,813",501,712,"465,560","46,908",664,"61,759","220,787","27,815","134,596","344,138","130,933",0,0,"1,469","235,356",57,0,"19,880","1,337,418","5,160,766","4,285,737","4,992,222","1,952,643","792,880","3,990,966","1,246,752","83,689","173,357","37,829","1,661,567","230,174","3,665,747","481,647","27,164","609,616","1,725","5,649,394","6,094,923","5,605,636","31,423","10,647","34,454","14,805","1,036,311","734,929","26,433","1,309","45,450","174,584","5,095","198,007",0,"21,932",358,"3,115","20,438","193,361",541,"60,728","1,327","22,969","1,136,524","36,827","16,312","110,208","39,986","43,913","121,235","72,791",28,"512,867","47,217","58,989","422,641","151,765","11,080","258,164","4,667","160,560","59,782,579","260,033","2,253,607",0,"30,160","1,675,420","568,996","70,516","4,858,732","64,641,311","51,439,679","56,298,411","116,080,990","-51,809,190","4,489,221","64,271,800",0.801487 ,0.198513 ,0.000886 ,0.000000 
はん用機械,0,0,0,280,0,0,0,"25,144",0,0,0,0,0,0,0,0,0,"6,962","31,796",0,0,0,0,0,0,0,0,899,0,"15,068",0,0,"16,381","41,025","12,191",0,0,0,"45,089",0,0,0,"41,929","36,885","12,450,454","6,667,727","665,929","117,058","354,560","394,088","67,451","23,498","8,695","135,573","8,198","1,887,405","419,700","46,388","308,452",0,"2,303,481","61,527","4,274,316",0,0,"209,583",0,938,"1,747",0,0,0,0,"1,994",275,0,24,334,101,989,"26,500",962,0,60,699,"46,482",0,0,0,104,0,0,443,0,"4,063,917","14,359",0,0,0,0,"5,734",0,0,"34,843,394",0,"116,160",0,"3,244,216","32,868,781","65,854","26,466","36,321,477","71,164,871","75,453,460","111,774,937","146,618,331","-67,440,521","44,334,416","79,177,810",0.947666 ,0.052334 ,0.000046 ,0.000000 
生産用機械,0,0,0,"12,156",0,0,0,"25,906",0,0,0,0,0,0,0,0,0,"2,180","3,199",0,0,0,0,0,0,0,0,0,949,"126,723",0,0,"4,575","91,464","11,497",0,0,41,"41,043",4,0,"2,489","1,331","22,731","298,039","17,401,159","102,785","271,523","447,394","85,916","4,516","22,317","2,201","71,871","5,567","340,127","72,702","5,968","58,970",0,"6,140","10,125","79,041",0,323,"6,794",0,"1,159","1,139",0,0,0,0,286,"2,381",0,"1,808",223,"2,076",633,"8,354",745,454,0,237,"4,907",0,0,0,0,0,0,"7,866",0,"5,896,141",470,0,0,0,41,"4,346",0,0,"25,573,032",0,"165,811",0,"751,843","43,308,860","1,190,950","1,320,875","46,738,339","72,311,371","120,694,031","167,432,370","193,005,402","-58,356,422","109,075,948","134,648,980",0.807016 ,0.192984 ,0.000065 ,0.000000 
業務用機械,391,0,"30,629","10,443",127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,506",480,"208,215","674,672","6,503,560",91,0,"28,311",0,"7,078",0,"15,343",49,"163,494","44,000",146,"5,533",277,"83,496",0,"22,855",0,0,"2,703","3,550","474,495","117,553","2,686",0,0,0,0,"1,090",0,181,73,796,806,"1,288","1,166","1,703",594,"19,492","541,117",0,0,"5,496,974","198,758","275,792",0,"346,877",0,"2,523,747","23,718","1,828",0,443,"380,876","19,180","349,305",0,"18,587,492","21,039","2,033,918","2,009","1,904,819","24,036,563","-824,020","409,515","27,583,843","46,171,335","58,917,114","86,500,957","105,088,449","-43,829,229","42,671,728","61,259,220",0.949274 ,0.050726 ,0.000800 ,0.000002 
電子デバイス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"46,962","54,501","245,870","7,054,195","3,774,654","8,174,997","1,010,968","446,650","2,295,596","2,441,971","5,688,162","1,605,609","1,224,873",0,"3,522","1,188,457",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,"3,637",0,0,0,0,0,0,"1,356,358",0,0,0,0,0,0,0,0,"36,616,988",0,"9,538",0,0,0,"-443,003","651,313","217,848","36,834,836","61,169,512","61,387,360","98,004,348","-31,391,868","29,995,492","66,612,480",0.852233 ,0.147767 ,0.000004 ,0.000000 
その他の電子部品,0,0,0,0,111,0,0,236,27,44,0,39,6,4,0,0,2,114,65,18,"2,879","6,870",0,0,0,0,109,5,0,10,8,0,0,30,0,0,0,12,18,0,0,361,37,"222,112","79,630","954,342","3,581,865","12,746,613","35,791,603","633,377","70,241","1,657,254","18,489","4,460,440","664,083","739,582","15,600",638,"282,735",0,"96,587","11,996","27,638",91,9,160,0,"1,056","4,625","2,374",0,0,0,80,11,0,4,3,0,8,112,27,"9,953","18,760","36,132","107,869","1,893","78,462",105,575,11,0,163,3,"5,316,995","1,272",29,0,51,2,"4,333","340,831",0,"67,991,829","3,076","971,930",0,0,0,"650,165","19,326","1,644,497","69,636,326","151,749,034","153,393,531","221,385,360","-68,445,940","84,947,591","152,939,420",0.982906 ,0.017094 ,0.000382 ,0.000000 
