部門名,耕種農業,畜産,農業サービス,林業,水産業,金属鉱物,石炭・石油・ガス,非金属鉱物,食肉・畜産食料品,水産食料品,精穀・製粉,めん・パン・菓子類,その他の食料品,飲料・たばこ,飼料・有機質肥料（別掲を除く。）,繊維工業製品,衣服・その他の繊維製品,木材・木製品,家具・装備品,パルプ・紙・板紙・加工紙,紙加工品,印刷・製版・製本,化学肥料,無機化学工業製品,有機化学工業製品,合成樹脂・化学繊維,医薬品,化学最終製品（医薬品を除く。）,石油・石炭製品,プラスチック製品,ゴム製品,なめし革・毛皮・同製品,ガラス・ガラス製品,セメント・セメント製品,陶磁器・その他の窯業・土石製品,銑鉄・粗鋼,鉄屑,鋼材,鋳鍛造品・その他の鉄鋼製品,非鉄金属精錬・精製,非鉄金属屑,非鉄金属加工製品,建設・建築用金属製品,その他の金属製品,はん用機械,生産用機械,業務用機械,電子デバイス,その他の電子部品,産業用電気機械,民生用電気機器,電子応用装置・電気計測器,その他の電気機械,通信機械・同関連機器,電子計算機・同附属装置,自動車,船舶・同修理,その他の輸送機械・同修理,その他の製造工業製品,再生資源回収・加工処理,建築,建設補修,土木,電力,ガス・熱供給,水道,廃棄物処理,卸売,小売,金融・保険,不動産仲介及び賃借,住宅賃貸料,住宅賃貸料（帰属家賃）,鉄道輸送,道路輸送（自家輸送を除く。）,自家輸送,水運,航空輸送,貨物利用運送,倉庫,運輸附帯サービス,郵便・信書便,通信,放送,情報サービス,公務,教育,研究,医療・保健衛生,社会保険・社会福祉,介護,その他の非営利団体サービス,物品賃借サービス,広告,自動車整備・機械修理,その他の対事業所サービス,宿泊業,飲食サービス,洗濯・理容・美容・浴場業,娯楽サービス,その他の対個人サービス,事務用品,分類不明,内生部門計,家計外消費支出（列）,民間消費支出,一般政府消費支出,県内総固定資本形成（公的）,県内総固定資本形成（民間）,在庫純増,調整項,県内最終需要計,県内需要合計,移輸出,最終需要計,需要合計,（控除）移輸入,最終需要部門計,県内生産額,移入率,自給率,民間消費支出構成比,一般政府消費支出構成比
精穀・製粉,0,"134,088",0,"159,686",0,0,0,0,119,"1,559","30,207","3,154,122","3,095,209","256,773","117,927",3,0,"80,519",0,0,0,0,0,0,0,0,5,37,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,769",0,0,0,0,"1,521",0,0,"79,616","234,930","241,184","37,415",0,0,0,0,"708,808","2,052,246",0,0,"47,999",0,0,"10,435,858","31,376","31,525,972",0,0,0,"-566,739",0,"30,990,609","41,426,467","16,736,962","47,727,571","58,163,429","-7,219,668","40,507,903","50,943,761",0.174277 ,0.825723 ,0.012397 ,0.000000 
めん・パン・菓子類,0,0,0,0,0,0,0,0,0,0,0,"744,400","162,093",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,134",0,0,0,0,"18,868",0,0,"41,947","124,509","128,140","36,934",0,0,0,0,"416,488","3,150,017",0,0,"28,889",0,0,"4,854,419","946,119","36,592,285",0,0,0,"-146,731","9,016","37,400,689","42,255,108","31,861,689","69,262,378","74,116,797","-25,744,567","43,517,811","48,372,230",0.609265 ,0.390735 ,0.014389 ,0.000000 
その他の食料品,0,"1,285,530",0,"209,689","31,914",0,0,0,"1,323,618","831,429","4,357","5,397,953","12,501,866","250,272","997,389",51,0,0,0,"79,636",794,0,"1,078",89,0,196,"255,367","35,019",0,667,25,"1,312",182,0,"24,409",0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,873",0,0,0,33,"57,713",0,0,"340,673","608,374","588,691",0,0,0,0,0,"1,659,640","7,575,591",0,0,"123,974",0,0,"34,190,835","1,446,414","49,901,725","3,348,278",0,0,"-637,879","21,117","54,079,655","88,270,490","57,322,824","111,402,479","145,593,314","-59,881,735","51,520,744","85,711,579",0.678389 ,0.321611 ,0.019622 ,0.002893 
飲料・たばこ,0,"5,717",118,0,"407,758",0,0,0,"238,534","21,358",0,"55,323","142,214","267,940",0,0,0,0,0,0,0,0,0,0,0,0,"1,632",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"43,178","26,652",0,0,0,0,0,0,0,0,0,0,0,"11,999",0,0,0,12,"11,159",0,0,"98,027","179,537","177,223",0,0,0,0,"2,441","1,618,414","10,453,476",0,27,"86,784",0,"65,194","13,914,740","3,772,380","73,980,719",0,0,0,"-391,358","4,128","77,365,869","91,280,609","5,886,595","83,252,464","97,167,204","-86,819,694","-3,567,230","10,347,510",0.951130 ,0.048870 ,0.029090 ,0.000000 
飼料・有機質肥料（別掲を除く。）,"817,628","48,979,355","307,916","4,715","568,455",0,0,0,"-1,797",0,0,0,0,0,"25,809",-6,0,0,0,0,0,0,"2,489",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,673",0,0,0,0,0,"28,810",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"152,913","343,657","4,963","5,463","1,628",0,0,0,0,0,0,0,0,"40,258",0,0,0,"51,309,932",0,"1,853,516",0,0,0,"-8,444",0,"1,845,072","53,155,004","3,350,978","5,196,050","56,505,982","-51,940,242","-46,744,192","4,565,740",0.977147 ,0.022853 ,0.000729 ,0.000000 
繊維工業製品,"22,277","2,423","4,674","103,296","385,404",0,0,251,458,17,0,0,0,0,0,"161,884","4,567,966","23,953","35,442","95,105","120,819","22,241","8,131",0,0,0,11,601,0,"33,437","167,227","152,690","36,165",339,"10,358",0,0,0,575,0,0,"2,449","2,046","17,536","2,410","197,235","17,036","151,705","9,775",0,"8,429",0,0,"3,537",0,"554,112","50,726","1,772","52,587",342,"109,473","175,056","89,198",0,0,"3,512","4,212","55,067","117,303","1,476",94,0,0,"4,702","8,177","1,013","22,952",265,"5,368","2,374","25,044",786,170,139,"22,761","20,354","1,027",0,"57,403","5,024","5,706","6,444","15,071",0,"1,164","94,304","36,624",88,"8,528","132,582","47,094","180,979","14,333","8,303,308","10,143","625,032",0,"23,593","285,967","25,441","1,321","971,497","9,274,805","1,161,695","2,133,192","10,436,500","-8,525,230","-6,392,038","1,911,270",0.919182 ,0.080818 ,0.000246 ,0.000000 
衣服・その他の繊維製品,"424,388","104,472","17,096","31,826","221,822",0,0,"58,422","63,776","33,637","8,982","59,753","83,891","5,631",268,"2,721","67,304","115,612","9,903","48,229","74,590","10,921","28,204",131,315,699,"37,310","3,572","2,546","9,551","12,941","10,504","49,678","59,310","16,992",0,0,"14,534","23,446",147,0,"6,603","28,464","63,569","106,423","127,986","62,439","262,495","543,936","71,600","19,020","9,184","13,711","179,785","10,300","1,220,061","19,095",666,"112,111","15,956","848,572","143,006","903,984","10,465","3,053","20,825","192,025","832,191","1,600,033","360,432","11,407","2,261",0,"21,587","174,661","30,093","31,411","8,108","2,847","7,100","114,236","36,121","57,342","24,227","108,284","2,831,752","49,711","43,586","808,872","429,307","260,194","1,190,653","242,301","1,680","90,824","502,438","565,296","99,365","264,678","269,030","275,789","35,128","22,626","18,114,029","1,017,970","36,903,929",0,"3,051","732,112","82,122","3,677","38,742,861","56,856,890","19,320,077","58,062,938","76,176,967","-52,867,427","5,195,511","23,309,540",0.929833 ,0.070167 ,0.014511 ,0.000000 
木材・木製品,"4,604","136,389","1,705","252,067","50,063",0,0,"7,941","16,703","18,228",0,"7,598","19,667","8,256","46,947",70,"2,245","10,301,241","587,604","1,872,267","163,634","2,355","3,526",0,0,0,284,"2,356",0,"5,092",374,"39,936","90,127","11,412","37,346",0,0,909,"2,149",0,0,"9,300","24,461","37,835","17,379","20,365","61,634","4,968","30,825","6,235","1,452",717,732,"3,152",367,"67,116","88,851","5,736","528,061",0,"18,458,922","1,303,474","1,842,264","34,775",62,14,790,"239,818","137,922","18,665",3,147,"1,352",67,84,0,"1,256",20,8,"3,919","394,542",746,"4,069","3,364","4,397","4,973","7,706","7,433","7,570","2,237","2,136","6,122","3,566",2,"8,587","85,045","14,761","134,624","14,907","32,032","42,123",0,"1,014","37,427,799","47,585","237,462","16,857","15,035","104,741","-535,828","3,008","-111,140","37,316,659","45,547,916","45,436,776","82,864,575","-26,175,585","19,261,191","56,688,990",0.701445 ,0.298555 ,0.000093 ,0.000015 
家具・装備品,0,0,457,"19,857","11,964",0,0,"14,736","22,678","9,629","1,575","11,717","23,753","2,934",70,485,"4,319","17,021","126,911","34,223","40,977","10,754","1,951",922,37,310,"57,738","3,534",829,"30,116","7,935","3,828","8,686","30,285","16,864",0,0,"6,038","19,635",180,0,"5,047","6,992","13,451","26,894","65,895","34,448","92,724","158,847","31,212","4,635","8,864","6,923","117,841","16,031","197,980","119,545","2,894","121,365","1,428","3,802,333","1,908,528","55,093","40,670","9,443","65,861","351,158","328,916","419,708","703,431","16,552","149,483","83,883","5,818","62,842",0,"12,954","3,212","2,412","18,957","176,132","6,503","311,485","17,861","316,995","721,140","517,541","284,488","813,433","628,374","311,937","711,925","136,323","1,972","22,893","462,182","207,436","422,214","45,813","420,680","184,080",0,"8,721","16,347,346","191,357","1,396,810","9,634","362,678","1,706,857","-449,254",0,"3,218,082","19,565,428","906,595","4,124,677","20,472,023","-14,145,093","-10,020,416","6,326,930",0.722964 ,0.277036 ,0.000549 ,0.000008 
パルプ・紙・板紙・加工紙,"2,712",0,"3,162",0,"2,543",0,0,0,"2,954","3,829",0,"21,439",26,20,134,829,"16,782","455,701","70,366","10,352,890","11,184,796","4,117,390",0,615,0,0,"82,545","2,136",0,"133,952","27,893","6,641","8,348",0,"11,580",0,0,142,377,0,0,"10,649","2,520","36,961","14,785","40,705","22,783","82,850","605,593","69,916","6,391","1,552",831,"87,886","14,766","68,208",8,3,"180,071","1,214","1,120,815","203,291","1,038",0,0,20,"16,345",579,"-440,817","101,779",0,0,"34,703",0,"41,136",0,455,465,"29,131","35,617","313,508",0,"14,409",31,"2,911,546","96,038","486,270","336,555","39,002","92,320","92,333","94,099",0,8,"18,926","976,439","71,257",6,"28,995","43,767","4,824","1,806,413","61,378","36,390,175","-313,183","-835,677",0,0,0,"-113,848","170,566","-1,092,142","35,298,033","24,379,065","23,286,923","59,677,098","-28,746,238","-5,459,315","30,930,860",0.814386 ,0.185614 ,-0.000329 ,0.000000 
