"平成27年(2015年)
三重県産業連関表",穀類,いも・豆類,野菜,果実,その他の食用作物,非食用作物,畜産,農業サービス,育林,素材,特用林産物,海面漁業,内水面漁業,石炭・原油・天然ガス,砂利・砕石,その他の鉱物,畜産食料品,水産食料品,精穀・製粉,めん・パン・菓子類,農産保存食料品,砂糖・油脂・調味料類,その他の食料品,酒類,その他の飲料,飼料・有機質肥料（別掲を除く。）,たばこ,紡績糸,織物,ニット生地,染色整理,その他の繊維工業製品,織物製・ニット製衣服,その他の衣服・身の回り品,その他の繊維既製品,木材,その他の木製品,家具・装備品,パルプ,紙・板紙,加工紙,紙製容器,その他の紙加工品,印刷・製版・製本,化学肥料,ソーダ工業製品,その他の無機化学工業製品,石油化学系基礎製品,脂肪族中間物・環式中間物・合成染料・有機顔料,合成ゴム,その他の有機化学工業製品,合成樹脂,化学繊維,医薬品,油脂加工製品・界面活性剤,化粧品・歯磨,塗料・印刷インキ,農薬,その他の化学最終製品,石油製品,石炭製品,プラスチック製品,タイヤ・チューブ,その他のゴム製品,革製履物,なめし革・革製品・毛皮（革製履物を除く。）,ガラス・ガラス製品,セメント・セメント製品,陶磁器,建設用土石製品,その他の窯業・土石製品,銑鉄・粗鋼,鉄屑,熱間圧延鋼材,鋼管,冷延・めっき鋼材,鋳鍛造品（鉄）,その他の鉄鋼製品,非鉄金属製錬・精製,非鉄金属屑,電線・ケーブル,その他の非鉄金属製品,建設用金属製品,建築用金属製品,ガス・石油機器・暖房・調理装置,その他の金属製品,ボイラ・原動機,ポンプ・圧縮機,運搬機械,冷凍機・温湿調整装置,その他のはん用機械,農業用機械,建設・鉱山機械,繊維機械,生活関連産業用機械,基礎素材産業用機械,金属加工機械,半導体製造装置,その他の生産用機械,事務用機械,サービス用・娯楽用機器,計測機器,医療用機械器具,光学機械・レンズ,武器,電子デバイス,その他の電子部品,産業用電気機器,民生用電気機器,電子応用装置,電気計測器,その他の電気機械,通信機器,映像・音響機器,電子計算機・同附属装置,乗用車,トラック・バス・その他の自動車,二輪自動車,自動車部品・同附属品,船舶・同修理,鉄道車両・同修理,航空機・同修理,その他の輸送機械,がん具・運動用品,その他の製造工業製品,再生資源回収・加工処理,住宅建築,非住宅建築,建設補修,公共事業,その他の土木建設,電力,都市ガス,熱供給業,水道,廃棄物処理,卸売,小売,金融,保険,不動産仲介及び賃貸,住宅賃貸料,住宅賃貸料（帰属家賃）,鉄道旅客輸送,鉄道貨物輸送,道路旅客輸送,道路貨物輸送（自家輸送を除く。）,外洋輸送,沿海・内水面輸送,港湾運送,航空輸送,貨物利用運送,倉庫,こん包,その他の運輸附帯サービス,郵便・信書便,通信,放送,情報サービス,インターネット附随サービス,映像・音声・文字情報制作,公務（中央）,公務（地方）,学校教育,社会教育・その他の教育,学術研究機関,企業内研究開発,医療,保健衛生,社会保険・社会福祉,介護,他に分類されない会員制団体,物品賃貸業（貸自動車業を除く。）,貸自動車業,広告,自動車整備,機械修理,その他の対事業所サービス,宿泊業,飲食サービス,洗濯・理容・美容・浴場業,娯楽サービス,その他の対個人サービス,事務用品,分類不明
穀類,1.0043331247 ,0.0014372711 ,0.0022482662 ,0.0026052731 ,0.0057408140 ,0.0059365391 ,0.0089652192 ,0.0035402586 ,0.0000003100 ,0.0000007136 ,0.0030824345 ,0.0000529021 ,0.0001954507 ,0.0000000000 ,0.0000024782 ,0.0000026719 ,0.0017236051 ,0.0000227200 ,0.4487905220 ,0.0042183617 ,0.0001778111 ,0.0026750565 ,0.0045559581 ,0.0023498052 ,0.0002288782 ,0.0211517960 ,0.0000000000 ,0.0002460583 ,0.0000180998 ,0.0000022041 ,0.0000014708 ,0.0000355123 ,0.0000244602 ,0.0000163803 ,0.0000322323 ,0.0000541154 ,0.0000185290 ,0.0000073535 ,0.0000127552 ,0.0000053288 ,0.0000028456 ,0.0000004966 ,0.0000007195 ,0.0000004996 ,0.0000051504 ,0.0000006764 ,0.0000016585 ,0.0000002042 ,0.0000004358 ,0.0000009419 ,0.0000135366 ,0.0000004890 ,0.0000034033 ,0.0000119161 ,0.0000624303 ,0.0000012142 ,0.0000073178 ,0.0000006871 ,0.0000161863 ,0.0000000394 ,0.0000013087 ,0.0000006002 ,0.0001752465 ,0.0000133905 ,0.0000000000 ,0.0000000000 ,0.0000029022 ,0.0000009304 ,0.0000122846 ,0.0000040109 ,0.0000038992 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000017501 ,0.0000014940 ,0.0000030080 ,0.0000002973 ,0.0000013724 ,0.0000000000 ,0.0000012001 ,0.0000023727 ,0.0000004934 ,0.0000004112 ,0.0000002561 ,0.0000005477 ,0.0000001381 ,0.0000006511 ,0.0000006917 ,0.0000008979 ,0.0000007074 ,0.0000010313 ,0.0000024941 ,0.0000003061 ,0.0000007979 ,0.0000006139 ,0.0000025491 ,0.0000006804 ,0.0000012466 ,0.0000013766 ,0.0000006508 ,0.0000011431 ,0.0000015506 ,0.0000014797 ,0.0000000000 ,0.0000010247 ,0.0000016058 ,0.0000009654 ,0.0000007700 ,0.0000005343 ,0.0000033273 ,0.0000010303 ,0.0000030089 ,0.0000002586 ,0.0000010379 ,0.0000013181 ,0.0000036522 ,0.0000000000 ,0.0000007464 ,0.0000008013 ,0.0000002056 ,0.0000002820 ,0.0000014142 ,0.0000139042 ,0.0010812778 ,0.0000067447 ,0.0000028695 ,0.0000022989 ,0.0000149761 ,0.0000065994 ,0.0000057307 ,0.0000005143 ,0.0000008601 ,0.0000003326 ,0.0000015697 ,0.0000009259 ,0.0000001639 ,0.0000013030 ,0.0000007968 ,0.0000009844 ,0.0000003040 ,0.0000004372 ,0.0000002447 ,0.0000011643 ,0.0000010706 ,0.0000013437 ,0.0000003898 ,0.0000003034 ,0.0000017359 ,0.0000006153 ,0.0000000000 ,0.0000004818 ,0.0000010030 ,0.0000008790 ,0.0000003102 ,0.0000008082 ,0.0000021378 ,0.0000034525 ,0.0000027639 ,0.0000023495 ,0.0000015968 ,0.0000108816 ,0.0000010533 ,0.0000777119 ,0.0001300645 ,0.0000108184 ,0.0000257290 ,0.0000384851 ,0.0000009907 ,0.0000774456 ,0.0002591993 ,0.0000469823 ,0.0000053527 ,0.0000011181 ,0.0000028023 ,0.0000057382 ,0.0000010394 ,0.0000025760 ,0.0005150031 ,0.0011161047 ,0.0000026142 ,0.0000232610 ,0.0000926940 ,0.0000829472 ,0.0000017845 
いも・豆類,0.0000003072 ,1.0027139616 ,0.0005900256 ,0.0000002312 ,0.0000008539 ,0.0000001574 ,0.0000496059 ,0.0000013184 ,0.0000000016 ,0.0000000065 ,0.0000087508 ,0.0000032477 ,0.0000057159 ,0.0000000000 ,0.0000000607 ,0.0000000524 ,0.0000349250 ,0.0000152768 ,0.0000741953 ,0.0012829251 ,0.0004981042 ,0.0065210071 ,0.0026402989 ,0.0010199459 ,0.0000434001 ,0.0006070955 ,0.0000000000 ,0.0000004312 ,0.0000015235 ,0.0000000131 ,0.0000024165 ,0.0000002430 ,0.0000001745 ,0.0000001477 ,0.0000002785 ,0.0000000482 ,0.0000000640 ,0.0000000541 ,0.0000004110 ,0.0000070171 ,0.0000056643 ,0.0000003094 ,0.0000002591 ,0.0000001762 ,0.0000001026 ,0.0000001468 ,0.0000010110 ,0.0000000274 ,0.0000001782 ,0.0000009354 ,0.0000167991 ,0.0000002735 ,0.0000002577 ,0.0000101691 ,0.0001506826 ,0.0000017353 ,0.0000139279 ,0.0000004984 ,0.0000100033 ,0.0000000180 ,0.0000012057 ,0.0000001927 ,0.0000003778 ,0.0000004982 ,0.0000000000 ,0.0000000000 ,0.0000004679 ,0.0000001308 ,0.0000010690 ,0.0000016554 ,0.0000019874 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000054 ,0.0000000198 ,0.0000002142 ,0.0000000118 ,0.0000000415 ,0.0000000000 ,0.0000000309 ,0.0000000537 ,0.0000000319 ,0.0000000172 ,0.0000000175 ,0.0000000227 ,0.0000000068 ,0.0000000208 ,0.0000000389 ,0.0000000452 ,0.0000000477 ,0.0000000253 ,0.0000000327 ,0.0000000633 ,0.0000000354 ,0.0000000567 ,0.0000000306 ,0.0000000733 ,0.0000001004 ,0.0000002117 ,0.0000001117 ,0.0000000141 ,0.0000000655 ,0.0000000098 ,0.0000000000 ,0.0000000756 ,0.0000000760 ,0.0000000469 ,0.0000000412 ,0.0000000178 ,0.0000000610 ,0.0000000572 ,0.0000000423 ,0.0000000136 ,0.0000000458 ,0.0000000318 ,0.0000000442 ,0.0000000000 ,0.0000000468 ,0.0000000317 ,0.0000000071 ,0.0000000082 ,0.0000000577 ,0.0000000588 ,0.0000004717 ,0.0000000386 ,0.0000000362 ,0.0000000383 ,0.0000000293 ,0.0000000434 ,0.0000000424 ,0.0000000105 ,0.0000000108 ,0.0000000061 ,0.0000000234 ,0.0000000292 ,0.0000000029 ,0.0000000146 ,0.0000000071 ,0.0000000091 ,0.0000000075 ,0.0000000068 ,0.0000000030 ,0.0000000063 ,0.0000000074 ,0.0000000160 ,0.0000000072 ,0.0000000123 ,0.0000000223 ,0.0000000060 ,0.0000000000 ,0.0000000030 ,0.0000000216 ,0.0000000532 ,0.0000000046 ,0.0000000075 ,0.0000000105 ,0.0000000294 ,0.0000000166 ,0.0000000138 ,0.0000000996 ,0.0000001565 ,0.0000000490 ,0.0000154557 ,0.0000001282 ,0.0000001199 ,0.0000003133 ,0.0000049663 ,0.0000002150 ,0.0000197543 ,0.0000364187 ,0.0000002374 ,0.0000000405 ,0.0000000241 ,0.0000000369 ,0.0000000501 ,0.0000000266 ,0.0000000633 ,0.0001005006 ,0.0002107338 ,0.0000002394 ,0.0000001122 ,0.0000075485 ,0.0000002089 ,0.0000001051 
野菜,0.0000001167 ,0.0000001365 ,1.0000821585 ,0.0000001041 ,0.0000002450 ,0.0000001874 ,0.0000122761 ,0.0000008349 ,0.0000000077 ,0.0000001566 ,0.0000260457 ,0.0000078754 ,0.0000021432 ,0.0000000000 ,0.0000003999 ,0.0000004083 ,0.0005122391 ,0.0000943772 ,0.0000010665 ,0.0015188726 ,0.0440457529 ,0.0039030334 ,0.0085204882 ,0.0000337273 ,0.0002342436 ,0.0001288127 ,0.0000000000 ,0.0000004319 ,0.0000009362 ,0.0000000226 ,0.0000015110 ,0.0000001930 ,0.0000003868 ,0.0000003263 ,0.0000015038 ,0.0000001297 ,0.0000001695 ,0.0000002024 ,0.0000003374 ,0.0000045830 ,0.0000034992 ,0.0000003117 ,0.0000002549 ,0.0000002432 ,0.0000001167 ,0.0000002230 ,0.0000012068 ,0.0000001095 ,0.0000002050 ,0.0000007293 ,0.0000101995 ,0.0000002839 ,0.0000003522 ,0.0000067489 ,0.0000903720 ,0.0000013073 ,0.0000085366 ,0.0000004328 ,0.0000060799 ,0.0000000320 ,0.0000008925 ,0.0000002338 ,0.0000005030 ,0.0000003842 ,0.0000000000 ,0.0000000000 ,0.0000004703 ,0.0000003161 ,0.0000007966 ,0.0000011210 ,0.0000013100 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000807 ,0.0000000850 ,0.0000002875 ,0.0000001326 ,0.0000001004 ,0.0000000000 ,0.0000001611 ,0.0000001268 ,0.0000001842 ,0.0000000890 ,0.0000000910 ,0.0000001820 ,0.0000000277 ,0.0000003994 ,0.0000001665 ,0.0000004733 ,0.0000004289 ,0.0000000637 ,0.0000001234 ,0.0000001293 ,0.0000004908 ,0.0000003171 ,0.0000002383 ,0.0000003268 ,0.0000004096 ,0.0000003161 ,0.0000005171 ,0.0000001032 ,0.0000001066 ,0.0000000396 ,0.0000000000 ,0.0000001899 ,0.0000001805 ,0.0000001522 ,0.0000001122 ,0.0000001883 ,0.0000001610 ,0.0000002126 ,0.0000001422 ,0.0000000328 ,0.0000000981 ,0.0000000849 ,0.0000001351 ,0.0000000000 ,0.0000000879 ,0.0000001834 ,0.0000000489 ,0.0000000620 ,0.0000002037 ,0.0000002091 ,0.0000009937 ,0.0000000179 ,0.0000001675 ,0.0000002947 ,0.0000003530 ,0.0000002908 ,0.0000003582 ,0.0000001670 ,0.0000003611 ,0.0000001272 ,0.0000007693 ,0.0000002669 ,0.0000000782 ,0.0000003041 ,0.0000002493 ,0.0000004750 ,0.0000002753 ,0.0000002936 ,0.0000001207 ,0.0000001562 ,0.0000001744 ,0.0000005406 ,0.0000001486 ,0.0000002090 ,0.0000002632 ,0.0000003098 ,0.0000000000 ,0.0000000280 ,0.0000005421 ,0.0000002328 ,0.0000000999 ,0.0000000951 ,0.0000002664 ,0.0000022840 ,0.0000003781 ,0.0000004526 ,0.0000014567 ,0.0000235904 ,0.0000002186 ,0.0005984844 ,0.0000004372 ,0.0000004674 ,0.0000015731 ,0.0002599696 ,0.0000003588 ,0.0005527887 ,0.0010942606 ,0.0000938906 ,0.0000005033 ,0.0000011228 ,0.0000015532 ,0.0000002697 ,0.0000004638 ,0.0000004240 ,0.0022323591 ,0.0049339533 ,0.0000006665 ,0.0000596740 ,0.0003727457 ,0.0000002190 ,0.0000027346 
果実,0.0000000457 ,0.0000000597 ,0.0000000337 ,1.0000000452 ,0.0000000831 ,0.0000001207 ,0.0000040725 ,0.0000004560 ,0.0000000069 ,0.0000000768 ,0.0000138258 ,0.0000053310 ,0.0000007846 ,0.0000000000 ,0.0000004550 ,0.0000005181 ,0.0000078773 ,0.0000535942 ,0.0000001413 ,0.0014495807 ,0.0082679457 ,0.0001370029 ,0.0045245353 ,0.0012560143 ,0.0004185356 ,0.0000056406 ,0.0000000000 ,0.0000004195 ,0.0000000878 ,0.0000000183 ,0.0000001338 ,0.0000000786 ,0.0000003187 ,0.0000001767 ,0.0000000774 ,0.0000001074 ,0.0000001699 ,0.0000001875 ,0.0000001294 ,0.0000003902 ,0.0000002489 ,0.0000001842 ,0.0000001243 ,0.0000001439 ,0.0000000945 ,0.0000001769 ,0.0000009075 ,0.0000001300 ,0.0000001179 ,0.0000002295 ,0.0000005328 ,0.0000001590 ,0.0000001563 ,0.0000006835 ,0.0000033832 ,0.0000003768 ,0.0000004185 ,0.0000001632 ,0.0000003284 ,0.0000000264 ,0.0000002504 ,0.0000001410 ,0.0000003686 ,0.0000000917 ,0.0000000000 ,0.0000000000 ,0.0000002094 ,0.0000002825 ,0.0000001730 ,0.0000001733 ,0.0000001689 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000001041 ,0.0000000988 ,0.0000001768 ,0.0000001417 ,0.0000000752 ,0.0000000000 ,0.0000001295 ,0.0000000924 ,0.0000002092 ,0.0000000762 ,0.0000000961 ,0.0000002096 ,0.0000000272 ,0.0000005249 ,0.0000001697 ,0.0000006273 ,0.0000005495 ,0.0000000534 ,0.0000001272 ,0.0000001117 ,0.0000006140 ,0.0000002293 ,0.0000002780 ,0.0000003829 ,0.0000004957 ,0.0000002354 ,0.0000006245 ,0.0000001275 ,0.0000000849 ,0.0000000321 ,0.0000000000 ,0.0000001703 ,0.0000001565 ,0.0000001207 ,0.0000000702 ,0.0000002525 ,0.0000001714 ,0.0000001911 ,0.0000001223 ,0.0000000287 ,0.0000000868 ,0.0000000639 ,0.0000000974 ,0.0000000000 ,0.0000000525 ,0.0000001552 ,0.0000000345 ,0.0000000633 ,0.0000002285 ,0.0000002245 ,0.0000002829 ,0.0000000078 ,0.0000001041 ,0.0000002653 ,0.0000003946 ,0.0000002285 ,0.0000003083 ,0.0000001958 ,0.0000005219 ,0.0000001366 ,0.0000009954 ,0.0000003088 ,0.0000000429 ,0.0000002167 ,0.0000003037 ,0.0000006173 ,0.0000001527 ,0.0000002270 ,0.0000000641 ,0.0000001695 ,0.0000001423 ,0.0000005623 ,0.0000001463 ,0.0000002083 ,0.0000002603 ,0.0000003214 ,0.0000000000 ,0.0000000234 ,0.0000006941 ,0.0000001222 ,0.0000001168 ,0.0000000576 ,0.0000002315 ,0.0000005898 ,0.0000002029 ,0.0000002641 ,0.0000005957 ,0.0000080332 ,0.0000001241 ,0.0001916337 ,0.0000002150 ,0.0000002883 ,0.0000011415 ,0.0000803929 ,0.0000001885 ,0.0002193798 ,0.0004372306 ,0.0001444502 ,0.0000003671 ,0.0000010236 ,0.0000007115 ,0.0000002940 ,0.0000003732 ,0.0000003171 ,0.0008381832 ,0.0020082851 ,0.0000003171 ,0.0000007656 ,0.0001380632 ,0.0000000616 ,0.0000014447 
その他の食用作物,0.0000098104 ,0.0000095407 ,0.0000063618 ,0.0000070725 ,1.0000227909 ,0.0000058489 ,0.0008661409 ,0.0000381066 ,0.0000000033 ,0.0000000117 ,0.0000321722 ,0.0001249114 ,0.0002549232 ,0.0000000000 ,0.0000000998 ,0.0000000950 ,0.0002089250 ,0.0000458032 ,0.0020853941 ,0.0010649300 ,0.0002141349 ,0.0104541341 ,0.0005020160 ,0.0001979999 ,0.0273793608 ,0.0265952969 ,0.0000000000 ,0.0000052750 ,0.0000033833 ,0.0000000636 ,0.0000038738 ,0.0000011310 ,0.0000004275 ,0.0000003421 ,0.0000017400 ,0.0000003364 ,0.0000001883 ,0.0000001056 ,0.0000006908 ,0.0000113286 ,0.0000090847 ,0.0000004970 ,0.0000004225 ,0.0000002873 ,0.0000010682 ,0.0000002451 ,0.0000016732 ,0.0000000458 ,0.0000003332 ,0.0000015090 ,0.0000394587 ,0.0000004590 ,0.0000004233 ,0.0000164886 ,0.0002415887 ,0.0000028068 ,0.0000224401 ,0.0000008216 ,0.0000148997 ,0.0000000292 ,0.0000019346 ,0.0000003316 ,0.0000007957 ,0.0000008471 ,0.0000000000 ,0.0000000000 ,0.0000007880 ,0.0000002180 ,0.0000017940 ,0.0000026788 ,0.0000032366 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000270 ,0.0000000533 ,0.0000003611 ,0.0000000215 ,0.0000001385 ,0.0000000000 ,0.0000000629 ,0.0000001483 ,0.0000000585 ,0.0000000313 ,0.0000000314 ,0.0000000420 ,0.0000000140 ,0.0000000384 ,0.0000000716 ,0.0000000845 ,0.0000000834 ,0.0000000456 ,0.0000000600 ,0.0000001032 ,0.0000000627 ,0.0000000950 ,0.0000000581 ,0.0000001231 ,0.0000001661 ,0.0000003363 ,0.0000001877 ,0.0000000295 ,0.0000001137 ,0.0000000218 ,0.0000000000 ,0.0000001356 ,0.0000001360 ,0.0000000840 ,0.0000000822 ,0.0000000383 ,0.0000001117 ,0.0000001014 ,0.0000000825 ,0.0000000243 ,0.0000000784 ,0.0000000550 ,0.0000000778 ,0.0000000000 ,0.0000000781 ,0.0000000563 ,0.0000000129 ,0.0000000160 ,0.0000000971 ,0.0000001344 ,0.0000028909 ,0.0000004822 ,0.0000000679 ,0.0000000688 ,0.0000000575 ,0.0000001609 ,0.0000000777 ,0.0000000245 ,0.0000000314 ,0.0000000126 ,0.0000000425 ,0.0000000504 ,0.0000001513 ,0.0000004264 ,0.0000000149 ,0.0000000193 ,0.0000000105 ,0.0000000105 ,0.0000000038 ,0.0000000336 ,0.0000000290 ,0.0000000353 ,0.0000000126 ,0.0000000196 ,0.0000000405 ,0.0000000117 ,0.0000000000 ,0.0000000070 ,0.0000000404 ,0.0000000919 ,0.0000000096 ,0.0000000151 ,0.0000000449 ,0.0000000906 ,0.0000000391 ,0.0000000577 ,0.0000001587 ,0.0000004964 ,0.0000000836 ,0.0000043717 ,0.0000046939 ,0.0000032338 ,0.0000092259 ,0.0000050208 ,0.0000003475 ,0.0000090597 ,0.0000216740 ,0.0000003634 ,0.0000000765 ,0.0000000339 ,0.0000000699 ,0.0000000897 ,0.0000000457 ,0.0000001507 ,0.0000419035 ,0.0001735390 ,0.0000003877 ,0.0000014778 ,0.0000066847 ,0.0000005152 ,0.0000001253 
非食用作物,0.0000614078 ,0.0011716437 ,0.0035398301 ,0.0010380013 ,0.0008161220 ,1.0379849410 ,0.0118350408 ,0.0007257169 ,0.0000009384 ,0.0000223869 ,0.0000979582 ,0.0000222644 ,0.0000439385 ,0.0000000000 ,0.0000907485 ,0.0000657172 ,0.0022585647 ,0.0000096887 ,0.0000308383 ,0.0001511824 ,0.0001682045 ,0.0000896341 ,0.0001968322 ,0.0000072412 ,0.0000304730 ,0.0036763399 ,0.0000000000 ,0.0341707356 ,0.0011904321 ,0.0002988113 ,0.0000026619 ,0.0046790801 ,0.0001564459 ,0.0001099679 ,0.0025075786 ,0.0000296040 ,0.0000508900 ,0.0000093815 ,0.0015113030 ,0.0001416465 ,0.0000111855 ,-0.0000022782 ,0.0000125972 ,0.0000055658 ,0.0001092497 ,0.0000052074 ,0.0000078564 ,0.0000032537 ,0.0000089372 ,0.0000041941 ,0.0000609036 ,0.0000028896 ,0.0004770980 ,0.0010635611 ,0.0000057747 ,0.0000054630 ,0.0000034945 ,0.0000041499 ,0.0002311773 ,0.0000002819 ,0.0000092346 ,0.0000043713 ,0.0304835810 ,0.0022095623 ,0.0000000000 ,0.0000000000 ,0.0000172612 ,0.0000189479 ,0.0000301210 ,0.0000271345 ,0.0002414837 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000129703 ,0.0000152071 ,0.0000127076 ,0.0000025546 ,0.0000604521 ,0.0000000000 ,0.0000344026 ,0.0000477144 ,0.0000048838 ,0.0000053008 ,0.0000039700 ,0.0000054886 ,0.0000019719 ,0.0000059251 ,0.0000059224 ,0.0000060038 ,0.0000057005 ,0.0001167885 ,0.0003589296 ,0.0000036022 ,0.0000052886 ,0.0000055597 ,0.0000049347 ,0.0000052613 ,0.0000048134 ,0.0000078896 ,0.0000074604 ,0.0000030969 ,0.0000140897 ,0.0000032286 ,0.0000000000 ,0.0000049300 ,0.0000041649 ,0.0000058332 ,0.0000054885 ,0.0000017663 ,0.0000040599 ,0.0000058789 ,0.0000032979 ,0.0000007844 ,0.0000029966 ,0.0001248732 ,0.0004903717 ,0.0000000000 ,0.0000059552 ,0.0000049426 ,0.0000027595 ,0.0000024723 ,0.0000927727 ,0.0001178593 ,0.0003251686 ,0.0003228904 ,0.0001346391 ,0.0002374796 ,0.0000104442 ,0.0006669779 ,0.0005205788 ,0.0000051532 ,0.0000114674 ,0.0000023085 ,0.0000059612 ,0.0000105899 ,0.0000018417 ,0.0000686558 ,0.0000028012 ,0.0000028886 ,0.0000021518 ,0.0000026690 ,0.0000027659 ,0.0000028492 ,0.0000026881 ,0.0000391749 ,0.0000151586 ,0.0000016168 ,0.0000060682 ,0.0000043091 ,0.0000000000 ,0.0000036746 ,0.0000032245 ,0.0000067468 ,0.0000010693 ,0.0000058125 ,0.0000045437 ,0.0000147505 ,0.0000045317 ,0.0000054957 ,0.0000075671 ,0.0000089263 ,0.0000095892 ,0.0000113867 ,0.0002147568 ,0.0000148771 ,0.0000263640 ,0.0000670024 ,0.0000094308 ,0.0000318857 ,0.0000259925 ,0.0001954224 ,0.0000230520 ,0.0000498107 ,0.0000108626 ,0.0007699268 ,0.0000063994 ,0.0000039598 ,0.0001105449 ,0.0001908284 ,0.0000192919 ,0.0003292849 ,0.0013718371 ,0.0000388920 ,0.0000099015 
畜産,0.0025930940 ,0.0037818970 ,0.0016911510 ,0.0019439887 ,0.0116930395 ,0.0002625774 ,1.1059747818 ,0.0123599705 ,0.0000001990 ,0.0000004652 ,0.0002020983 ,0.0000125999 ,-0.0000038805 ,0.0000000000 ,0.0000023687 ,0.0000023682 ,0.2106583757 ,0.0001530404 ,0.0011846987 ,0.0059767660 ,0.0001631218 ,0.0054984829 ,0.0145462914 ,0.0001008204 ,0.0007523610 ,-0.0006456512 ,0.0000000000 ,0.0061896538 ,0.0013128112 ,0.0000559563 ,0.0000041957 ,0.0010046256 ,0.0001452066 ,0.0001019489 ,0.0017825357 ,0.0000384664 ,0.0000096543 ,0.0000073667 ,0.0000044310 ,0.0000955936 ,0.0000115105 ,0.0000016521 ,0.0000057596 ,0.0000026024 ,0.0004753250 ,0.0000018682 ,0.0000033870 ,0.0000033285 ,0.0000014483 ,0.0000023116 ,0.0000197715 ,0.0000012943 ,0.0000054541 ,0.0001576393 ,0.0001283669 ,0.0000033067 ,0.0000543701 ,0.0000026966 ,0.0002174515 ,0.0000001223 ,0.0000021402 ,0.0000035198 ,0.0000142550 ,0.0000112006 ,0.0000000000 ,0.0000000000 ,0.0000188674 ,0.0000070281 ,0.0000460272 ,0.0000223400 ,0.0000058183 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000211247 ,0.0000246272 ,0.0000143568 ,0.0000011321 ,0.0000986312 ,0.0000000000 ,0.0000079700 ,0.0000821109 ,0.0000006828 ,0.0000024008 ,0.0000012895 ,0.0000028976 ,0.0000006967 ,0.0000012416 ,0.0000008496 ,0.0000012980 ,0.0000008714 ,0.0000005329 ,0.0000007542 ,0.0000007008 ,0.0000008517 ,0.0000009092 ,0.0000018412 ,0.0000014581 ,0.0000013578 ,0.0000032407 ,0.0000008187 ,0.0000012536 ,0.0000022556 ,0.0000014022 ,0.0000000000 ,0.0000017756 ,0.0000027070 ,0.0000016631 ,0.0000023396 ,0.0000007211 ,0.0000022710 ,0.0000024511 ,0.0000021075 ,0.0000004384 ,0.0000012368 ,0.0000017908 ,0.0000018541 ,0.0000000000 ,0.0000025521 ,0.0000021508 ,0.0000004485 ,0.0000006120 ,0.0000011031 ,0.0000145959 ,0.0005689672 ,0.0005877731 ,0.0000023359 ,0.0000021000 ,0.0000027854 ,0.0000032337 ,0.0000025939 ,0.0000060153 ,0.0000164959 ,0.0000023345 ,0.0000010227 ,0.0000012401 ,0.0000002119 ,0.0000009871 ,0.0000005220 ,0.0000006224 ,0.0000003681 ,0.0000003355 ,0.0000001533 ,0.0000007270 ,0.0000008201 ,0.0000122027 ,0.0000002637 ,0.0000003655 ,0.0000018826 ,0.0000010260 ,0.0000000000 ,0.0000002927 ,0.0000009887 ,0.0000017337 ,0.0000002429 ,0.0000006690 ,0.0000011825 ,0.0000022373 ,0.0000017609 ,0.0000012564 ,0.0000025512 ,0.0000156363 ,0.0000015613 ,0.0004994253 ,0.0000448277 ,0.0008807299 ,0.0014330825 ,0.0001761766 ,0.0000021932 ,0.0004058257 ,0.0009507250 ,0.0000039035 ,0.0000042324 ,0.0000008875 ,0.0000022273 ,0.0000014722 ,0.0000009781 ,0.0000017124 ,0.0021200969 ,0.0074626559 ,0.0000030231 ,0.0000147768 ,0.0003257659 ,0.0000488940 ,0.0000022722 
