部門名,米,耕種農業（米を除く）,畜産,農業サービス,林業,漁業,金属鉱物,石炭・原油・天然ガス,非金属鉱物,食肉・畜産食料品,水産食料品,精穀・製粉,その他の食料品,飲料,飼料・有機質肥料（別掲を除く。）,たばこ,繊維工業製品,衣服・その他の繊維既製品,木材・木製品,家具・装備品,パルプ・紙・板紙・加工紙,紙加工品,印刷・製版・製本,化学肥料,無機化学工業製品,石油化学基礎製品,有機化学工業製品（石油化学基礎製品を除く。）,合成樹脂・化学繊維,化学最終製品,石油製品,石炭製品,プラスチック製品,ゴム製品,なめし革・毛皮・同製品,ガラス・ガラス製品,セメント・セメント製品,陶磁器,その他の窯業・土石製品,銑鉄・粗鋼,鋼材,鋳鍛造品,その他の鉄鋼製品,非鉄金属製錬・精製,非鉄金属加工製品,建設・建築用金属製品,その他の金属製品,はん用機械,生産用機械,業務用機械,電子デバイス,その他の電子部品,産業用電気機器,民生用電気機器,電子応用装置・電気計測器,その他の電気機械,通信機械・同関連機器,電子計算機・同附属装置,自動車（二輪自動車を含む）,自動車部品・同附属品,船舶・同修理,その他の輸送機械・同修理,その他の製造工業製品,再生資源回収・加工処理,建築,建設補修,公共事業,その他の土木建設,電力,ガス・熱供給,水道,廃棄物処理,卸売,小売,金融・保険,不動産仲介及び賃貸,住宅賃貸料,住宅賃貸料（帰属家賃）,鉄道輸送,道路輸送（自家輸送を除く。）,自家輸送,水運,航空輸送,貨物利用運送,倉庫,運輸附帯サービス,郵便・信書便,通信,放送,情報サービス,インターネット附随サービス,映像・音声・文字情報制作,公務,教育,研究,医療,保健衛生,社会保険・社会福祉,介護,その他の非営利団体サービス,物品賃貸サービス,広告,自動車整備・機械修理,その他の対事業所サービス,宿泊業,飲食サービス,洗濯・理容・美容・浴場業,娯楽サービス,その他の対個人サービス,事務用品,分類不明,行和,感応度係数
その他の金属製品,0.000315138,0.000259209,0.00018533,0.000112201,0.000128885,0.000267578,0,0,0.002042317,0.000483446,0.000958622,0.000167655,0.000305819,0.004385365,0.000260196,0,0.000175919,0.000538202,0.000683428,0.005496846,0.000352844,0.000202801,0.000159499,0.000133631,0.00175179,7.63136E-05,0.000277631,0.000340967,0.001140175,4.47954E-05,0.000223914,0.000286319,0.00144191,0.002120462,0.001354628,0.000894446,0.001806544,0.001451068,0.000266047,7.77597E-05,0.001319865,0.00010695,0.0001611,0.000343542,0.005226289,1.003861231,0.002354804,0.003159884,0.002835689,0.001181137,0.002738708,0.003414192,0.002517831,0.001723341,0.002132683,0.003400884,0.002356379,0.000465344,0.001121293,0.003164806,0.000468647,0.002213185,0.000126342,0.002073213,0.00662258,0.00086196,0.000732675,0.000369771,0.000553657,0.000685003,0.000123869,0.00044386,0.000286947,9.41121E-05,0.00019372,0.000283819,0.000398871,0.000311643,0.000186986,0.000342109,0.000500688,0.000137443,0.000166712,0.000508185,0.000436813,4.69387E-05,0.000188286,0.000180716,8.68234E-05,0.000226195,0.000136237,0.000662915,0.000150998,0.000142871,0.000125438,9.21606E-05,0.000174162,0.000147066,0.000314987,0.000194021,8.86565E-05,0.000547613,8.53911E-05,0.000257169,0.000465217,0.0004625,0.000141113,0.000579919,0.000223777,0.000511568,1.100111202,0.816148844
はん用機械,0.000106616,8.7859E-05,4.43662E-05,6.85799E-05,7.23425E-05,6.02847E-05,0,0,0.000304301,3.75076E-05,3.37676E-05,5.73022E-05,3.3099E-05,2.41263E-05,2.7454E-05,0,3.52788E-05,2.53906E-05,5.8932E-05,0.000426401,3.11038E-05,1.76239E-05,2.5949E-05,3.65155E-05,6.99806E-05,2.36992E-05,3.42482E-05,2.49818E-05,2.91094E-05,4.39881E-06,4.89468E-05,5.02426E-05,3.05727E-05,2.13209E-05,0.000361361,0.000101751,0.000283004,0.000158931,3.52947E-05,1.81122E-05,0.000162866,1.69474E-05,3.03439E-05,2.79621E-05,6.07279E-05,8.64167E-05,1.007746125,0.001885473,0.000956492,0.000135627,0.00016725,0.000777737,0.00113019,0.000151179,2.21879E-05,0.000215814,5.2294E-05,5.27237E-05,0.000566462,0.001892729,0.000159466,7.62874E-05,5.01907E-05,0.00053628,9.04792E-05,0.000517137,0.000409737,9.33316E-05,2.2469E-05,0.000375207,6.95622E-05,4.09873E-05,4.26904E-05,2.46073E-05,2.00215E-05,1.55791E-05,7.26734E-06,2.84657E-05,7.70846E-05,0.000481553,3.72317E-05,6.05652E-05,4.93022E-05,4.16484E-05,6.05662E-05,1.86207E-05,3.24685E-05,4.38801E-05,6.4617E-05,4.72753E-05,3.39806E-05,6.57714E-05,2.37791E-05,5.35876E-05,2.16342E-05,4.52463E-05,3.24233E-05,2.59136E-05,3.83526E-05,0.000214075,3.30922E-05,0.002044165,2.74357E-05,4.95328E-05,2.66044E-05,3.74305E-05,5.00098E-05,4.20307E-05,2.17557E-05,7.16785E-05,1.025601381,0.76087161
生産用機械,3.73825E-05,3.06708E-05,1.51838E-05,2.35464E-05,2.77175E-05,1.31725E-05,0,0,0.00010307,1.26715E-05,1.09557E-05,2.00088E-05,1.1243E-05,8.05652E-06,9.5063E-06,0,1.15015E-05,8.68037E-06,1.94385E-05,1.71562E-05,1.02725E-05,5.90351E-06,9.08264E-06,1.23334E-05,2.40424E-05,8.1949E-06,1.17577E-05,8.49625E-06,9.02908E-06,1.692E-06,1.86251E-05,6.81943E-05,1.05971E-05,7.69547E-06,2.20821E-05,3.50425E-05,5.13023E-05,4.58693E-05,1.1939E-05,6.1382E-06,4.53638E-05,1.17584E-05,1.02352E-05,1.04311E-05,1.36151E-05,3.43511E-05,6.05281E-05,1.001416597,4.14512E-05,7.44511E-05,5.44076E-05,4.16033E-05,1.9955E-05,4.43142E-05,1.43643E-05,3.18119E-05,1.85057E-05,1.17695E-05,2.02684E-05,0.000124993,6.81199E-06,2.06102E-05,1.73371E-05,1.31279E-05,1.99541E-05,2.57159E-05,1.79104E-05,3.23269E-05,7.34791E-06,3.07656E-05,2.31873E-05,1.39012E-05,1.41946E-05,8.19919E-06,6.26982E-06,4.87455E-06,1.884E-06,6.29162E-06,2.69883E-05,0.000168383,1.2768E-05,1.8019E-05,2.24563E-05,1.29144E-05,1.44259E-05,4.81194E-06,1.05097E-05,1.49235E-05,2.24613E-05,1.58446E-05,1.15469E-05,1.52107E-05,7.05212E-06,1.76263E-05,6.14956E-06,1.4877E-05,1.01503E-05,7.75813E-06,1.27868E-05,7.6417E-05,1.13433E-05,0.000722694,8.16955E-06,1.56412E-05,7.99339E-06,1.14055E-05,1.63366E-05,1.34925E-05,5.72892E-06,2.2917E-05,1.00448954,0.745209189
業務用機械,0.000476399,0.000378499,0.000227951,0.000947239,0.000304147,0.000162648,0,0,0.000856442,0.00019514,0.000171799,0.000262983,0.00016634,0.000107916,0.000136972,0,0.00016302,0.000142962,0.000244238,0.000139964,0.000139947,0.000107756,0.000143806,0.000151938,0.000281328,9.33692E-05,0.000136069,0.000119292,0.000132307,1.87157E-05,0.000211516,0.000129551,0.000158138,0.000139179,0.000187491,0.00038737,0.000185964,0.000267134,0.000139119,7.02665E-05,0.000169661,0.000119449,0.00012365,0.000130074,0.000167946,0.000149147,0.001130324,0.000991007,1.017478081,0.000170562,0.000147102,0.000527563,0.000105598,0.000284895,0.000116237,0.000256276,0.000100584,0.000125237,0.000175741,0.000217718,4.82467E-05,0.000348105,0.000234894,0.000271319,0.000235647,0.00034184,0.000252937,0.000345633,9.17875E-05,0.000334392,0.000282053,0.000561951,0.000255909,0.000129685,9.31997E-05,7.31054E-05,2.41443E-05,9.04999E-05,0.000296601,0.001813998,0.000137655,0.000278079,0.000233231,0.000239323,0.000191052,9.71192E-05,0.000162645,0.000257,0.000259675,0.000262177,0.000281303,0.002726993,9.79793E-05,0.000251131,0.002846645,0.001528226,0.000709946,0.000825649,0.000187353,0.001615992,0.000178142,0.00727563,0.000142497,0.000222642,0.000126682,0.000162881,0.001351864,0.000239406,0.00614526,0.000849077,1.066980973,0.79157024
電子デバイス,5.25594E-05,4.29348E-05,2.14757E-05,3.71458E-05,3.5573E-05,1.61979E-05,0,0,0.000108183,1.79674E-05,1.52929E-05,2.81267E-05,1.58381E-05,1.11714E-05,1.33698E-05,0,1.6217E-05,1.25811E-05,2.65219E-05,1.17688E-05,1.43153E-05,8.39753E-06,1.26436E-05,1.70479E-05,3.34623E-05,1.14428E-05,1.64526E-05,1.20467E-05,1.28438E-05,2.10843E-06,2.18809E-05,1.29364E-05,1.50193E-05,1.06177E-05,2.05024E-05,4.64064E-05,2.03821E-05,3.07443E-05,1.65174E-05,8.54331E-06,1.81606E-05,8.37997E-06,1.41799E-05,1.2754E-05,1.76335E-05,2.1335E-05,0.000152042,0.000108937,0.00648211,1.003788993,0.003665613,0.002090897,0.010133498,0.015178938,0.000299287,0.009944933,0.018663318,2.74004E-05,0.000503138,9.88933E-06,1.83355E-05,0.00010578,2.37822E-05,1.92984E-05,2.55634E-05,3.56899E-05,2.54978E-05,4.48614E-05,9.56774E-06,3.9097E-05,3.24681E-05,2.19642E-05,2.03679E-05,1.17117E-05,8.93223E-06,6.88026E-06,2.5197E-06,8.57187E-06,3.73968E-05,0.000234562,9.83538E-06,2.45394E-05,2.38719E-05,1.66968E-05,1.77827E-05,6.95875E-06,1.49566E-05,2.15602E-05,3.16723E-05,2.26026E-05,1.71541E-05,3.77628E-05,9.92407E-06,2.71623E-05,2.61099E-05,2.93532E-05,1.79318E-05,1.54401E-05,1.81673E-05,0.000109944,1.63172E-05,0.001005618,1.19317E-05,2.19833E-05,1.13955E-05,1.61049E-05,3.02228E-05,1.80763E-05,4.75877E-05,3.58045E-05,1.074415988,0.797086117
その他の電子部品,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.741878496
産業用電気機器,2.87328E-05,2.39613E-05,1.27797E-05,1.85661E-05,1.94215E-05,3.37183E-05,0,0,5.9435E-05,1.02758E-05,1.01637E-05,1.53965E-05,8.69615E-06,6.18634E-06,7.38342E-06,0,9.72825E-06,6.98407E-06,1.50886E-05,1.05523E-05,8.99754E-06,5.13918E-06,7.09819E-06,9.73931E-06,1.90736E-05,6.49928E-06,9.22495E-06,7.13823E-06,7.21991E-06,1.19908E-06,1.25558E-05,7.55882E-06,8.2981E-06,5.83299E-06,1.17564E-05,2.6007E-05,1.18391E-05,1.78052E-05,1.1148E-05,5.15608E-06,1.09603E-05,4.82291E-06,8.90716E-06,8.16026E-06,0.000106004,9.07244E-06,0.00040999,0.000348898,0.000455437,9.89223E-06,3.81158E-05,1.005330835,0.000608517,0.000454161,8.03316E-06,0.000424308,0.000333136,0.000654384,0.001036964,0.000592291,6.3581E-05,1.60524E-05,1.32731E-05,7.16328E-05,7.90055E-05,0.000101841,0.000102911,2.70208E-05,9.14693E-06,2.62661E-05,1.80572E-05,1.12124E-05,1.14776E-05,6.78447E-06,6.44362E-06,6.06396E-06,4.89557E-06,9.14288E-06,2.03493E-05,0.000127773,1.09256E-05,1.49879E-05,1.36613E-05,1.10057E-05,1.23689E-05,3.92407E-06,8.86005E-06,1.25448E-05,1.71391E-05,1.34574E-05,9.26749E-06,1.43296E-05,6.51724E-06,1.40547E-05,6.251E-06,1.22375E-05,8.61654E-06,6.67478E-06,1.0097E-05,5.69797E-05,9.04159E-06,0.000540985,6.60435E-06,1.24315E-05,6.53624E-06,9.21651E-06,1.35242E-05,1.07027E-05,6.97485E-06,2.63039E-05,1.012988396,0.751514308
民生用電気機器,2.12946E-06,1.74525E-06,8.74955E-07,1.35198E-06,1.44833E-06,6.58815E-07,0,0,4.4141E-06,7.33328E-07,6.17901E-07,1.14494E-06,6.44139E-07,4.61614E-07,5.43244E-07,0,6.52347E-07,5.00321E-07,1.08089E-06,4.72045E-07,5.80733E-07,3.40743E-07,5.16095E-07,6.95795E-07,1.3628E-06,4.67321E-07,6.67491E-07,4.8449E-07,5.18955E-07,8.57815E-08,9.09142E-07,5.24945E-07,6.05325E-07,4.28157E-07,8.37298E-07,1.90293E-06,8.31931E-07,1.25694E-06,6.76678E-07,3.4771E-07,7.4221E-07,3.35724E-07,5.81299E-07,5.19525E-07,7.04503E-07,6.37641E-07,5.48987E-07,6.33649E-07,5.0941E-07,7.24387E-07,6.40132E-07,4.93907E-07,1.00051065,4.40526E-07,3.96273E-07,3.85094E-07,3.96475E-07,3.06251E-07,3.7755E-07,2.83946E-07,2.76262E-06,1.03736E-06,1.02932E-06,1.95297E-05,1.03524E-06,1.40405E-06,1.01667E-06,1.83124E-06,3.97236E-07,1.59915E-06,1.32237E-06,8.00567E-07,8.23758E-07,4.88445E-07,3.76678E-07,2.96051E-07,1.03193E-07,3.83147E-07,1.70961E-06,9.56141E-06,3.94336E-07,1.08595E-06,9.71608E-07,6.77472E-07,7.37248E-07,2.8799E-07,6.36087E-07,1.07396E-06,1.30538E-06,9.64662E-07,2.36939E-06,4.25737E-06,4.13735E-07,1.02304E-06,3.56439E-07,8.67902E-07,5.95394E-07,4.54254E-07,7.55825E-07,4.75133E-06,8.6973E-07,4.08713E-05,6.34817E-07,8.96293E-07,4.61962E-07,6.58821E-07,1.72588E-06,7.73636E-07,3.10341E-07,2.08425E-06,1.000674596,0.742378965
電子応用装置・電気計測器,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.741878496
その他の電気機械,7.49242E-06,6.84078E-06,5.36499E-06,5.25328E-06,5.0605E-06,1.73955E-05,0,0,1.78239E-05,4.01776E-06,3.99897E-06,4.2871E-06,2.89847E-06,2.14337E-06,2.42243E-06,0,3.49947E-06,2.84319E-06,4.22141E-06,1.46464E-05,3.52519E-06,2.33811E-06,2.75451E-06,3.12965E-06,5.87416E-06,1.89752E-06,2.72629E-06,2.83373E-06,3.40801E-06,3.91585E-07,4.16012E-06,3.14936E-06,3.04407E-06,2.65916E-06,4.1217E-06,7.64091E-06,4.15081E-06,1.03241E-05,4.43817E-06,1.74596E-06,4.0226E-06,2.24465E-06,3.35753E-06,3.32374E-06,3.92486E-06,7.39464E-06,1.89833E-05,4.56019E-05,5.43286E-05,0.00097935,0.00020769,9.36083E-05,0.000216524,6.83111E-05,1.00123282,0.000231527,7.34072E-05,0.00032311,4.20439E-05,2.28405E-05,8.35032E-06,4.45591E-05,4.17705E-06,9.39263E-05,6.28828E-05,2.46103E-05,3.16888E-05,8.35791E-06,5.22796E-06,1.19221E-05,4.85722E-06,8.53598E-06,7.10982E-06,2.53566E-06,4.28146E-06,4.00527E-06,3.60502E-06,6.6749E-06,5.45312E-06,3.42765E-05,1.13853E-05,6.56138E-06,4.41908E-06,4.9745E-06,1.4409E-05,1.31481E-06,3.57643E-06,1.96105E-05,5.2895E-06,5.39844E-06,9.1908E-06,9.14749E-06,1.40319E-05,1.16174E-05,2.92944E-06,8.01125E-06,3.03482E-06,2.43228E-06,3.27792E-06,1.39164E-05,7.29967E-06,0.000118729,3.67691E-06,6.51559E-06,3.56834E-06,3.37251E-06,1.30732E-05,5.7693E-06,3.63163E-06,2.96268E-05,1.004545765,0.745250902
通信機械・同関連機器,4.68424E-06,4.50364E-06,2.92106E-06,3.90224E-06,6.07786E-06,4.85323E-06,0,0,1.06021E-05,4.34246E-06,3.859E-06,3.42735E-06,3.45213E-06,3.44339E-06,2.55898E-06,0,2.81542E-06,3.23625E-06,3.90382E-06,3.19018E-06,3.37145E-06,2.75191E-06,3.36322E-06,2.69988E-06,4.41448E-06,1.42947E-06,2.13338E-06,2.47299E-06,6.04501E-06,3.48416E-07,3.33101E-06,2.85704E-06,6.10703E-06,3.09927E-06,3.71808E-06,5.70026E-06,3.52917E-06,4.37749E-06,2.88405E-06,1.17305E-06,3.46273E-06,2.89615E-06,2.64806E-06,2.68997E-06,6.78658E-06,2.77791E-06,1.92372E-05,5.01645E-06,7.01245E-06,6.7582E-06,4.25878E-06,4.879E-06,2.85714E-06,5.23764E-06,6.36841E-06,1.00046433,1.63078E-05,0.000755144,3.0272E-06,6.67907E-05,4.54474E-05,6.61512E-06,9.85542E-06,6.45817E-05,2.10988E-05,0.000158442,9.05885E-05,5.8216E-06,3.195E-06,7.19375E-06,3.7213E-06,1.5863E-05,1.28572E-05,8.87972E-06,1.2391E-05,6.92964E-06,1.75208E-06,5.73997E-06,1.13341E-05,1.77147E-05,6.86498E-06,6.51454E-06,1.84941E-05,6.17485E-06,6.27049E-06,1.51054E-06,4.52801E-06,8.7015E-06,2.64065E-05,7.92034E-06,8.6324E-06,9.75978E-05,2.96652E-06,1.19944E-05,3.78219E-06,3.73455E-06,5.98967E-06,2.26055E-06,7.15819E-06,1.22621E-05,1.6073E-05,6.33771E-05,1.97214E-05,4.1281E-06,1.10965E-05,3.22209E-06,7.64767E-06,3.96592E-06,4.51422E-06,2.59759E-05,1.002445573,0.743692814
電子計算機・同附属装置,3.64818E-06,2.98966E-06,1.47987E-06,2.30519E-06,2.47712E-06,1.12421E-06,0,0,7.56476E-06,1.25087E-06,1.0615E-06,1.95197E-06,1.10955E-06,8.14125E-07,9.27443E-07,0,1.12146E-06,8.58466E-07,1.84551E-06,8.10632E-07,9.99901E-07,5.8147E-07,8.76398E-07,1.19882E-06,2.33542E-06,7.98817E-07,1.14663E-06,8.29419E-07,9.39876E-07,1.47814E-07,1.52189E-06,9.03102E-07,1.04701E-06,7.30751E-07,1.42131E-06,3.24362E-06,1.42194E-06,2.14408E-06,1.15348E-06,5.96593E-07,1.2608E-06,5.70971E-07,9.93718E-07,8.83442E-07,1.21253E-06,1.09079E-06,9.35003E-07,3.47508E-06,8.65931E-07,1.23727E-06,1.09599E-06,8.39782E-07,6.18902E-07,7.69177E-07,6.71508E-07,4.89779E-06,1.002678909,5.30449E-07,6.48945E-07,4.76674E-07,2.34703E-07,1.77774E-06,1.64811E-06,1.22995E-06,1.80576E-06,2.36619E-06,1.70187E-06,3.1471E-06,6.79601E-07,2.75362E-06,2.27475E-06,1.41011E-06,1.44719E-06,8.86419E-07,6.51879E-07,5.14452E-07,1.81206E-07,6.02905E-07,2.62364E-06,1.64058E-05,7.54772E-07,1.68125E-06,1.66362E-06,1.13716E-06,1.26034E-06,4.90001E-07,5.2933E-06,7.99374E-06,2.24427E-06,2.05908E-06,1.21103E-06,1.45955E-06,6.92159E-07,1.77087E-06,6.05458E-07,1.47693E-06,1.04371E-06,7.60719E-07,1.31843E-06,7.3418E-06,2.76963E-06,7.05065E-05,8.3464E-07,1.55183E-06,8.6014E-07,1.17937E-06,1.62516E-06,1.23969E-06,5.31871E-07,2.35948E-06,1.002929422,0.744051771
自動車（二輪自動車を含む）,1.75293E-05,1.43431E-05,7.10922E-06,1.1051E-05,1.18959E-05,5.35854E-06,0,0,3.62021E-05,5.93365E-06,5.00122E-06,9.3556E-06,5.20672E-06,3.69887E-06,4.41082E-06,0,5.33698E-06,4.02313E-06,8.82593E-06,3.76131E-06,4.72483E-06,2.71738E-06,4.13151E-06,5.6522E-06,1.11351E-05,3.8163E-06,5.47675E-06,3.9447E-06,4.15173E-06,7.00749E-07,7.30103E-06,4.25146E-06,4.91641E-06,3.43185E-06,6.80391E-06,1.55282E-05,6.76522E-06,1.02434E-05,5.52456E-06,2.84701E-06,6.01994E-06,2.69752E-06,4.71853E-06,4.21692E-06,5.74108E-06,5.18524E-06,4.43409E-06,5.12279E-06,4.10153E-06,5.85084E-06,5.19232E-06,3.96144E-06,2.86279E-06,3.5517E-06,3.16853E-06,3.07067E-06,3.17169E-06,1.000079606,3.053E-06,2.26398E-06,1.10729E-06,8.4325E-06,7.84275E-06,5.89701E-06,8.40408E-06,1.12264E-05,8.07877E-06,1.50432E-05,3.15895E-06,1.30465E-05,1.08089E-05,6.45321E-06,6.6002E-06,3.82745E-06,2.93889E-06,2.32723E-06,8.29406E-07,2.82293E-06,1.25159E-05,7.86077E-05,3.1558E-06,7.96352E-06,7.86624E-06,5.39844E-06,5.87238E-06,2.23328E-06,4.90514E-06,6.9486E-06,1.0495E-05,7.38603E-06,5.3811E-06,3.19305E-05,3.31549E-06,8.22134E-06,2.81915E-06,6.98648E-06,4.74548E-06,3.59978E-06,5.96649E-06,3.51094E-05,5.28549E-06,0.000338154,3.84893E-06,7.24398E-06,3.70273E-06,5.31228E-06,7.58016E-06,5.80186E-06,2.46412E-06,1.63146E-05,1.001207075,0.742773999
自動車部品・同附属品,0.000308094,0.000251852,0.000124346,0.000193193,0.000208752,9.32085E-05,0,0,0.000642304,0.000103613,8.79336E-05,0.000164453,9.15974E-05,6.45632E-05,7.75559E-05,0,9.40221E-05,7.06651E-05,0.000154905,6.60772E-05,8.30875E-05,4.77029E-05,7.2654E-05,9.95241E-05,0.000195829,6.7213E-05,9.64444E-05,6.93386E-05,7.26916E-05,1.2312E-05,0.000127544,7.47442E-05,8.62314E-05,5.91858E-05,0.000118953,0.000273863,0.000118338,0.00018001,9.68317E-05,5.00565E-05,0.000105373,4.71992E-05,8.28301E-05,7.36351E-05,0.000101028,9.10205E-05,7.7249E-05,9.06458E-05,7.15619E-05,0.000102906,9.12877E-05,6.94015E-05,5.01167E-05,6.23475E-05,5.56215E-05,5.3728E-05,5.55505E-05,0.022034722,1.01599792,3.92399E-05,0.000178652,0.000148707,0.000137816,0.000102754,0.00014706,0.00019706,0.000141377,0.000264621,5.54375E-05,0.000228892,0.000190393,0.000113758,0.000115988,6.70466E-05,5.09923E-05,3.93873E-05,1.45332E-05,5.00038E-05,0.000219865,0.001391969,5.50284E-05,0.00014274,0.000137857,9.37553E-05,0.000102417,3.93217E-05,8.53893E-05,0.000122182,0.000184487,0.000128986,9.4474E-05,0.000121273,5.74132E-05,0.00014423,4.94506E-05,0.000121654,8.27681E-05,6.29885E-05,0.000104696,0.000617957,9.29552E-05,0.005956529,6.68828E-05,0.000127567,6.49777E-05,9.31305E-05,0.000133542,0.000102126,4.33255E-05,0.000186976,1.057426461,0.784481953
船舶・同修理,1.7135E-05,2.16262E-05,3.55265E-05,1.00533E-05,7.6235E-06,0.015368338,0,0,3.11497E-05,1.66509E-05,0.0011346,2.76159E-05,2.56591E-05,9.98369E-06,4.16279E-05,0,1.46273E-05,4.54674E-06,2.28829E-05,1.10303E-05,2.38648E-05,1.68344E-05,7.88833E-06,2.65293E-05,2.29851E-05,1.5872E-05,1.0135E-05,1.45886E-05,1.1324E-05,3.26878E-05,2.21186E-05,1.03153E-05,1.11549E-05,4.80842E-06,1.77899E-05,5.90515E-05,2.41776E-05,3.80838E-05,4.30089E-05,8.53585E-06,6.27095E-05,3.97276E-05,0.000116057,1.56198E-05,1.90549E-05,1.63134E-05,1.22772E-05,9.39848E-06,1.01973E-05,7.3917E-06,7.494E-06,9.0798E-06,7.71585E-06,5.48188E-06,1.03256E-05,6.48309E-06,6.62857E-06,1.65195E-05,1.0859E-05,1.050388145,4.56407E-06,1.62368E-05,0.000589157,1.1895E-05,1.12964E-05,1.76856E-05,1.88465E-05,4.63763E-05,3.37978E-05,8.146E-06,6.58973E-06,5.7497E-06,6.6041E-06,4.37645E-06,4.28969E-06,5.58095E-06,1.07259E-06,7.05846E-06,1.93152E-05,4.11928E-05,0.008699605,2.57763E-05,5.90232E-06,6.49397E-06,7.47855E-05,1.03513E-05,5.56967E-06,4.31035E-06,5.41561E-06,5.6114E-06,9.00434E-06,0.000874464,2.25563E-05,2.32376E-05,4.08475E-06,6.0425E-06,1.21172E-05,1.10631E-05,5.56831E-06,6.35873E-06,4.52582E-06,8.96207E-06,4.75296E-06,3.61052E-05,4.99202E-05,4.71456E-06,9.3581E-06,9.42372E-06,1.91032E-05,0.000206957,1.079031881,0.800510549
その他の輸送機械・同修理,8.14351E-05,7.07853E-05,4.26801E-05,7.74746E-05,6.02682E-05,5.01448E-05,0,0,0.000176975,5.59983E-05,4.12418E-05,6.0392E-05,4.14477E-05,3.20343E-05,3.35154E-05,0,4.58455E-05,7.08946E-05,6.11043E-05,5.64835E-05,4.14647E-05,4.03102E-05,7.01276E-05,3.86696E-05,6.61381E-05,2.63823E-05,3.53733E-05,4.22166E-05,9.1422E-05,6.15308E-06,5.33651E-05,5.58494E-05,6.14975E-05,7.15799E-05,6.43627E-05,9.49662E-05,6.44875E-05,0.000103859,3.50164E-05,2.07785E-05,4.98305E-05,3.22749E-05,3.52776E-05,4.18841E-05,5.92073E-05,4.72069E-05,5.66566E-05,6.55912E-05,7.57924E-05,5.87197E-05,6.84626E-05,5.13586E-05,4.95167E-05,8.71261E-05,4.40661E-05,8.64882E-05,5.24505E-05,2.59176E-05,3.28802E-05,6.66646E-05,1.116021594,6.21363E-05,5.64068E-05,5.50369E-05,6.86215E-05,7.97011E-05,5.88697E-05,7.43115E-05,2.80061E-05,8.05458E-05,0.000160339,0.000145432,6.85952E-05,0.000103674,3.45814E-05,3.20733E-05,1.07093E-05,0.013049954,7.61223E-05,0.000318088,6.41982E-05,0.02850301,0.00011868,5.39805E-05,0.000375912,0.000226045,6.99596E-05,0.000131473,0.000104042,0.000100722,0.000227354,0.002741311,8.22867E-05,0.000154558,4.36807E-05,6.10073E-05,4.2136E-05,3.51724E-05,0.000110798,0.000167776,0.000108811,0.001185728,7.1337E-05,7.20028E-05,4.87394E-05,5.41951E-05,8.27437E-05,0.000138457,4.42652E-05,0.00076753,1.169802821,0.867851557
その他の製造工業製品,7.38936E-05,7.18806E-05,6.39161E-05,0.000103649,0.000119785,0.001042659,0,0,0.000381034,0.000112157,0.000219851,5.04678E-05,0.000119556,0.000428138,4.5963E-05,0,0.000108109,0.003189679,0.000230336,0.001464234,0.000107211,9.8814E-05,9.85932E-05,9.12919E-05,0.000158283,3.53064E-05,5.17793E-05,0.000231871,0.000234075,8.14935E-06,0.000137127,0.000110992,0.000230586,0.002054138,0.000656984,0.000186553,0.000745858,0.000251989,6.28974E-05,0.00024956,0.000639807,7.71792E-05,7.27831E-05,0.000213098,8.74286E-05,9.9667E-05,0.000106021,0.000442184,0.000325985,0.000193672,0.000373497,0.00022769,0.000137144,0.000430505,0.00022482,0.000347655,0.000263878,0.000182527,0.000156246,0.000107128,5.58753E-05,1.003887151,0.000136427,0.000290781,0.000820225,0.00052579,0.000508744,0.000106955,0.000111481,0.000258285,0.000273294,0.000166255,0.000210077,0.000221517,0.000169233,0.000108712,5.9466E-05,0.000122067,0.000109942,0.000244004,0.00028228,0.000194632,0.000212959,0.000196115,0.000228359,0.000101875,0.000409661,0.000658254,0.000737988,0.000481089,0.000837725,0.000368978,0.000480279,0.00131245,0.000137784,0.000253608,0.000570677,0.000519309,0.000859253,0.001063874,0.000569542,0.000254833,0.000909156,0.000393919,0.000356452,0.000744008,0.001001543,0.00133014,0.019051217,0.000251605,1.061492129,0.787498184
