部門名,耕種農業,畜産,農業サービス,林業,水産業,金属鉱物,石炭・石油・ガス,非金属鉱物,食肉・畜産食料品,水産食料品,精穀・製粉,めん・パン・菓子類,その他の食料品,飲料・たばこ,飼料・有機質肥料（別掲を除く。）,繊維工業製品,衣服・その他の繊維製品,木材・木製品,家具・装備品,パルプ・紙・板紙・加工紙,紙加工品,印刷・製版・製本,化学肥料,無機化学工業製品,有機化学工業製品,合成樹脂・化学繊維,医薬品,化学最終製品（医薬品を除く。）,石油・石炭製品,プラスチック製品,ゴム製品,なめし革・毛皮・同製品,ガラス・ガラス製品,セメント・セメント製品,陶磁器・その他の窯業・土石製品,銑鉄・粗鋼,鉄屑,鋼材,鋳鍛造品・その他の鉄鋼製品,非鉄金属精錬・精製,非鉄金属屑,非鉄金属加工製品,建設・建築用金属製品,その他の金属製品,はん用機械,生産用機械,業務用機械,電子デバイス,その他の電子部品,産業用電気機械,民生用電気機器,電子応用装置・電気計測器,その他の電気機械,通信機械・同関連機器,電子計算機・同附属装置,自動車,船舶・同修理,その他の輸送機械・同修理,その他の製造工業製品,再生資源回収・加工処理,建築,建設補修,土木,電力,ガス・熱供給,水道,廃棄物処理,卸売,小売,金融・保険,不動産仲介及び賃借,住宅賃貸料,住宅賃貸料（帰属家賃）,鉄道輸送,道路輸送（自家輸送を除く。）,自家輸送,水運,航空輸送,貨物利用運送,倉庫,運輸附帯サービス,郵便・信書便,通信,放送,情報サービス,公務,教育,研究,医療・保健衛生,社会保険・社会福祉,介護,その他の非営利団体サービス,物品賃借サービス,広告,自動車整備・機械修理,その他の対事業所サービス,宿泊業,飲食サービス,洗濯・理容・美容・浴場業,娯楽サービス,その他の対個人サービス,事務用品,分類不明, 行和, 感応度係数
自動車整備・機械修理,0.033043,0.017304,0.031584,0.078854,0.006729,0,0,0.064825,0.010308,0.010211,0.018977,0.010012,0.01082,0.011796,0.010789,0.005992,0.002356,0.038302,0.007274,0.015529,0.011129,0.008641,0.015258,0.044092,0.016852,0.009835,0.012864,0.006713,0.019899,0.009019,0.018938,0.008736,0.012909,0.037232,0.028337,0,0,0.006741,0.012644,0.009967,0,0.009109,0.015047,0.011063,0.014024,0.013298,0.012936,0.01696,0.014751,0.01441,0.008139,0.010051,0.010901,0.008844,0.009246,0.007836,0.006627,0.008926,0.00878,0.019456,0.011849,0.020643,0.020827,0.041542,0.013949,0.027834,0.051167,0.012574,0.010952,0.007517,0.008395,0.006455,0.001614,0.006995,0.045029,0.23393,0.007281,0.027042,0.028207,0.016832,0.020224,0.005642,0.012292,0.022607,0.026851,0.031183,0.007277,0.018111,0.00725,0.01171,0.009038,0.014362,0.096366,0.013097,1.0104,0.010438,0.019333,0.009185,0.0134,0.014668,0.011213,0.003684,0.03421,2.918092,2.246026
その他の対事業所サービス,0.004689,0.005429,0.010869,0.01159,0.00728,0,0,0.019465,0.008765,0.007954,0.003963,0.014671,0.010848,0.012823,0.005705,0.004816,0.008162,0.011993,0.013278,0.011964,0.014063,0.019131,0.010556,0.042771,0.013638,0.012155,0.026339,0.011933,0.009816,0.012054,0.016698,0.00964,0.032672,0.028681,0.023733,0,0,0.003156,0.008861,0.006773,0,0.007869,0.011673,0.013236,0.022353,0.018894,0.017595,0.020244,0.017978,0.022411,0.020019,0.022028,0.019564,0.025332,0.025075,0.013549,0.010971,0.017426,0.011111,0.015598,0.035862,0.017025,0.047387,0.024389,0.015676,0.054178,0.031432,0.03616,0.044319,0.053229,0.084385,0.041623,0.005068,0.02177,0.016498,0.022295,0.02493,0.034101,0.036952,0.068462,0.09991,0.011136,0.083533,0.073628,0.080282,0.05531,0.03052,0.050014,0.032738,0.027931,0.018067,0.04868,0.037931,0.064992,0.019772,1.065255,0.016622,0.014859,0.019325,0.018398,0.019426,0.006281,0.040162,3.460379,2.663419
宿泊業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.76969
飲食サービス,0.000005,0.000028,0.000011,0.00003,0.000007,0,0,0.000002,0.000031,0.000036,0.000003,0.000231,0.006382,0.000052,0.00045,0.000001,0,0.000008,0.000001,0.000007,0.000002,0.000001,0.000001,0.000002,0.000001,0.000002,0.000016,0.000019,0.000005,0.000001,0.000002,0.000008,0.000004,0.000003,0.000007,0,0,0,0.000002,0.000001,0,0.000001,0.000001,0.000001,0.000004,0.000003,0.000002,0.000001,0.000001,0.000003,0.000001,0.000001,0.000001,0.000001,0.000001,0,0.000003,0.000003,0.000001,0.000002,0.000004,0.000005,0.000004,0.000001,0.000002,0.000003,0.000001,0.000002,0.000003,0.000002,0.000003,0.000006,0,0.000006,0.000003,0.000002,0.000007,0.000005,0.000003,0.000116,0.000007,0.000001,0.000009,0.000003,0.000003,0.000001,0.000004,0.000002,0.004373,0.005069,0.015456,0.000002,0.000002,0.000002,0.000002,0.000004,0.007863,1.003887,0.000002,0.000001,0.000006,0.000001,0.000284,1.044555,0.803984
洗濯・理容・美容・浴場業,0.000045,0.000057,0.000232,0.00013,0.000082,0,0,0.000076,0.000148,0.000093,0.000087,0.000145,0.000077,0.000235,0.000067,0.000042,0.000026,0.000117,0.000046,0.000098,0.000096,0.000062,0.000048,0.000112,0.000066,0.00004,0.000128,0.000028,0.000078,0.000045,0.000082,0.000115,0.000045,0.000045,0.000038,0,0,0.000032,0.00006,0.000023,0,0.000028,0.000068,0.000053,0.000087,0.000073,0.000074,0.000181,0.000099,0.000092,0.000114,0.000069,0.000035,0.000063,0.000089,0.000063,0.000075,0.000077,0.000064,0.000059,0.000049,0.000066,0.000112,0.000032,0.000035,0.000069,0.000134,0.000119,0.000102,0.000136,0.000108,0.00009,0.000012,0.002601,0.000157,0.000055,0.000255,0.000264,0.000247,0.00034,0.000128,0.000406,0.000536,0.001264,0.000251,0.000165,0.000161,0.000061,0.009869,0.011947,0.012099,0.000119,0.000088,0.00071,0.000047,0.000125,0.008952,0.003093,1.021189,0.000099,0.000529,0.000028,0.001819,1.083081,0.833637
娯楽サービス,0.000043,0.000046,0.000073,0.000113,0.000053,0,0,0.000116,0.000087,0.000051,0.000035,0.000232,0.000118,0.000334,0.000042,0.000024,0.000028,0.000088,0.000144,0.000191,0.000174,0.000061,0.000111,0.00013,0.000098,0.000066,0.00068,0.000093,0.000051,0.000074,0.000117,0.00015,0.000103,0.000078,0.000101,0,0,0.00002,0.000049,0.000045,0,0.00004,0.000077,0.000058,0.000114,0.000127,0.000126,0.000157,0.000099,0.000168,0.000196,0.000166,0.000128,0.000196,0.000236,0.000141,0.000076,0.000129,0.000118,0.000059,0.000077,0.000063,0.000081,0.000081,0.000127,0.000201,0.000106,0.000186,0.000364,0.000577,0.000354,0.000274,0.000037,0.00013,0.000123,0.000106,0.000181,0.000249,0.000178,0.000141,0.000319,0.000091,0.000668,0.063727,0.009229,0.000187,0.000244,0.000189,0.000099,0.000149,0.000084,0.000341,0.000202,0.028555,0.000079,0.000292,0.00249,0.000777,0.000486,1.005539,0.00174,0.00005,0.000618,1.126219,0.866839
その他の対個人サービス,0.000137,0.000189,0.001025,0.000801,0.001043,0,0,0.000315,0.000189,0.000336,0.000106,0.000232,0.000169,0.000314,0.000146,0.000078,0.000071,0.00032,0.000174,0.000212,0.000245,0.000212,0.000227,0.00038,0.000342,0.00023,0.000645,0.000202,0.000224,0.000145,0.000223,0.000288,0.00026,0.000257,0.000219,0,0,0.000067,0.000155,0.000166,0,0.000157,0.000189,0.000141,0.000296,0.000337,0.000387,0.000346,0.000324,0.000461,0.000385,0.000354,0.00027,0.000381,0.000355,0.000234,0.000189,0.000293,0.000257,0.000284,0.000314,0.000252,0.000477,0.00015,0.000294,0.000403,0.000169,0.00122,0.000819,0.00042,0.002059,0.001025,0.000422,0.000285,0.000493,0.00039,0.000521,0.000493,0.000553,0.000646,0.000758,0.000394,0.000708,0.005039,0.002946,0.000601,0.000452,0.001969,0.000487,0.000349,0.000384,0.00303,0.001109,0.002828,0.000528,0.001381,0.002376,0.000578,0.001789,0.002894,1.009056,0.000157,0.000878,1.068074,0.822086
事務用品,0.000513,0.0008,0.001284,0.009263,0.00137,0,0,0.001611,0.00082,0.001121,0.000405,0.000733,0.001086,0.000795,0.000386,0.000568,0.000415,0.002879,0.00143,0.001221,0.001699,0.00118,0.001473,0.001816,0.002349,0.001995,0.002289,0.001222,0.00069,0.000396,0.000847,0.001708,0.001667,0.001499,0.001086,0,0,0.000192,0.000496,0.000485,0,0.000518,0.000779,0.00076,0.001284,0.002226,0.002004,0.001468,0.001356,0.002372,0.001756,0.001492,0.001956,0.001776,0.001777,0.000752,0.0011,0.002621,0.004055,0.001002,0.001076,0.000403,0.002242,0.000303,0.000581,0.00099,0.005658,0.002349,0.002795,0.004071,0.002671,0.001086,0.000259,0.002009,0.002021,0.001534,0.006038,0.001977,0.007957,0.002847,0.002413,0.004751,0.003306,0.003417,0.002181,0.004874,0.002284,0.007631,0.001573,0.003989,0.005111,0.00552,0.001376,0.001935,0.001424,0.002252,0.002963,0.001292,0.003982,0.001558,0.002925,1.000522,0.001973,1.198961,0.922828
分類不明,0.01432,0.014394,0.017014,0.058816,0.01423,0,0,0.006525,0.009013,0.004567,0.007381,0.001991,0.00306,0.008002,0.003736,0.001543,0.000965,0.018104,0.002866,0.00392,0.00503,0.002611,0.00164,0.007099,0.004704,0.002756,0.004159,0.002191,0.016231,0.001869,0.008481,0.026193,0.014461,0.011128,0.004889,0,0,0.001338,0.006979,0.003156,0,0.001922,0.00208,0.003727,0.012402,0.008941,0.006465,0.002468,0.002146,0.009281,0.004884,0.003564,0.004554,0.004762,0.003033,0.001394,0.009278,0.009937,0.002792,0.004926,0.014331,0.016807,0.013442,0.002454,0.005618,0.009142,0.004743,0.00783,0.009281,0.006337,0.010693,0.022266,0.001275,0.01881,0.008901,0.005444,0.009599,0.017704,0.011284,0.019152,0.018735,0.001597,0.013336,0.004142,0.008723,0.002749,0.013765,0.004933,0.003406,0.010503,0.005734,0.006254,0.007458,0.003121,0.007894,0.013047,0.0038,0.003792,0.006069,0.002373,0.003338,0.002172,1.002614,1.77859,1.368963
列和,1.287135,1.377615,1.23423,1.646751,1.159381,1,1,1.586727,1.653029,1.373959,1.625001,1.29914,1.334042,1.211781,1.436006,1.096747,1.073494,1.609548,1.230182,1.411517,1.338958,1.213371,1.366873,1.528155,1.306947,1.187303,1.429796,1.182855,1.268259,1.182374,1.225861,1.260017,1.299842,1.506606,1.324348,1,1,1.091566,1.260381,1.365746,1,1.145718,1.226409,1.174913,1.237037,1.281539,1.26475,1.25054,1.249166,1.321962,1.283519,1.284565,1.265806,1.268416,1.267055,1.280954,1.23429,1.269901,1.240963,1.437846,1.238325,1.259514,1.300403,1.221529,1.243096,1.315335,1.345568,1.273467,1.265167,1.271915,1.336471,1.294722,1.138534,1.254491,1.227571,1.686807,1.347502,1.552588,1.345359,1.384354,1.379508,1.164024,1.509504,1.527983,1.394506,1.347177,1.169191,1.247983,1.217248,1.240446,1.197397,1.327294,1.293237,1.809168,1.184015,1.212434,1.399215,1.326285,1.221909,1.22301,1.2367,1.314439,1.603834,1.299224,
影響力係数,0.990695,1.060337,0.949975,1.267488,0.892364,0.76969,0.76969,1.221288,1.27232,1.057523,1.250747,0.999935,1.026798,0.932695,1.105279,0.844155,0.826258,1.238853,0.946859,1.08643,1.030583,0.93392,1.052069,1.176206,1.005944,0.913855,1.1005,0.910431,0.976166,0.910061,0.943533,0.969822,1.000475,1.15962,1.019337,0.76969,0.76969,0.840168,0.970102,1.051201,0.76969,0.881848,0.943955,0.904318,0.952135,0.986387,0.973465,0.962528,0.961471,1.017501,0.987912,0.988717,0.974278,0.976287,0.975239,0.985937,0.950021,0.97743,0.955157,1.106695,0.953126,0.969435,1.000907,0.940199,0.956798,1.0124,1.03567,0.980174,0.973787,0.97898,1.028668,0.996534,0.876318,0.965569,0.944849,1.298318,1.037159,1.195012,1.035509,1.065523,1.061793,0.895938,1.16185,1.176073,1.073337,1.036908,0.899915,0.96056,0.936904,0.954759,0.921625,1.021605,0.995392,1.392499,0.911325,0.933198,1.076961,1.020829,0.940492,0.941338,0.951876,1.01171,1.234455,,
