部門名,米,耕種農業（米を除く）,畜産,農業サービス,林業,漁業,石炭・原油・天然ガス,その他の鉱業,食肉・畜産食料品,水産食料品,精穀・製粉,その他の食料品,飲料,飼料・有機質肥料（別掲を除く。）,たばこ,繊維製品,木材・木製品,家具・装備品,パルプ・紙・板紙・加工紙,紙加工品,印刷・製版・製本,化学製品,石油・石炭製品,プラスチック製品,ゴム製品,なめし革・革製品・毛皮,ガラス・ガラス製品,セメント・セメント製品,陶磁器,その他の窯業・土石製品,銑鉄・粗鋼,鋼材,鋳鍛造品（鉄）,その他の鉄鋼製品,非鉄金属,建設用・建築用金属製品,その他の金属製品,はん用機械,生産用機械,業務用機械,電子デバイス,その他の電子部品,産業用電気機器,民生用電気機器,電子応用装置・電気計測器,その他の電気機械,通信・映像・音響機器,電子計算機・同附属装置,乗用車,自動車部品・同附属品,船舶・同修理,その他の輸送機械・同修理,その他の製造工業製品,再生資源回収・加工処理,建築,建設補修,公共事業,その他の土木建設,電力,ガス・熱供給,水道,廃棄物処理,卸売,小売,金融・保険,不動産仲介及び賃貸,住宅賃貸料,住宅賃貸料（帰属家賃）,鉄道輸送,道路輸送（自家輸送を除く。）,自家輸送,水運,航空輸送,貨物利用運送,倉庫,運輸附帯サービス,郵便・信書便,通信,放送,情報サービス,インターネット附随サービス,映像・音声・文字情報制作,公務,教育,研究,医療,保健衛生,社会保険・社会福祉,介護,他に分類されない会員制団体,物品賃貸サービス,広告,自動車整備・機械修理,その他の対事業所サービス,宿泊業,飲食サービス,洗濯・理容・美容・浴場業,娯楽サービス,その他の対個人サービス,事務用品,分類不明,内生部門計,家計外消費支出,民間消費支出,一般政府消費支出,県内総固定資本形成（公的）,民間総固定資本形成（民間）,在庫純増,県内最終需要計,県内需要合計,移輸出,最終需要計,需要合計,（控除）移輸入,最終需要部門計,県内生産額
金融・保険,602,197,337,237,127,681,0,"1,127",357,697,56,"1,166",953,237,0,313,460,282,"1,200",172,631,"1,051","1,536",256,433,8,49,762,256,215,0,366,148,151,494,"1,469",342,120,"1,725",761,199,"2,385",250,33,58,748,740,156,943,824,140,32,"1,903",36,"9,437","2,766","12,433","8,255","2,849",229,"2,225","3,242","21,385","12,543","21,074","22,423","13,758","72,249","3,511","5,081","8,569","1,615",470,26,138,"1,160",17,"2,090",469,645,67,309,"21,921","5,951",690,"3,907","1,360","3,356",960,"1,733","10,200",140,"2,009","3,066","2,008","2,582",234,"1,074",502,0,234,"319,383",5,"227,316",0,0,0,0,"227,321","546,704","30,887","258,208","577,591","-146,673","111,535","430,918"
不動産仲介及び賃貸,0,26,0,351,15,51,0,144,310,348,125,749,243,39,0,87,112,118,323,36,331,332,178,250,154,3,19,384,42,66,0,149,78,23,77,520,103,68,622,132,63,845,118,11,25,557,201,37,252,179,30,16,97,2,"5,897","1,029","1,245","1,422",739,359,153,188,"39,451","18,178","6,908","9,708","21,891","7,613",152,"5,027","3,499","3,465",116,139,"2,246","2,885",323,"2,639",844,"5,624",832,"1,406","1,864",610,"5,289","15,520",782,694,"1,883","1,454","3,669",67,770,"6,603","1,114","4,721","2,615",881,"2,957",0,"2,714","207,226",0,"4,692",0,0,"43,785",0,"48,477","255,703",0,"48,477","255,703",0,"48,477","255,703"
住宅賃貸料,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"211,501",331,0,0,0,"211,832","211,832",0,"211,832","211,832",0,"211,832","211,832"
住宅賃貸料（帰属家賃）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"961,499",0,0,0,0,"961,499","961,499",0,"961,499","961,499",0,"961,499","961,499"
鉄道輸送,14,4,9,12,15,72,0,58,114,31,127,136,49,28,0,45,53,31,214,41,186,226,121,222,110,3,15,95,47,120,0,61,19,5,71,280,47,23,460,285,106,"1,606",97,12,37,125,670,69,134,132,22,30,80,27,"1,098",599,915,479,100,24,173,906,"9,002","2,072","4,675",174,21,1,45,614,64,102,21,9,54,260,48,598,366,123,55,170,"7,251","2,387","3,082","1,206",117,166,131,389,212,35,182,"1,255",138,"1,040",186,234,290,16,"1,264","48,945",375,"78,125",2,4,64,5,"78,575","127,520","43,249","121,824","170,769","-95,944","25,880","74,825"
道路輸送（自家輸送を除く。）,587,393,"3,353",171,520,725,0,223,"1,281","3,389","2,330","4,219",833,"1,705",0,161,"1,358",374,"2,517",452,938,"1,526","2,150",696,613,16,90,"3,210",266,543,0,245,572,485,874,"1,268",424,166,"1,894",677,392,"3,465",456,44,77,"1,058",500,217,"2,989","1,970",133,51,928,"5,958","16,003","7,728","13,273","12,753","2,020","1,029",770,"1,735","5,540","3,426","3,375",191,140,44,64,"1,524",700,124,116,3,63,491,"1,625","1,282",330,936,118,"1,088","6,332","1,594","2,888","6,041",151,741,596,857,727,219,"2,184","2,506",611,"6,378",274,387,"2,084","1,017","3,292","174,852","5,992","144,658",64,"2,192","18,075",734,"171,715","346,567","216,192","387,907","562,759","-132,701","255,206","430,058"
自家輸送,"2,506","1,892",816,322,408,"1,768",0,"5,522",577,"1,691",347,"1,407",492,184,0,119,890,140,679,59,573,255,173,90,90,15,36,"2,754",51,144,0,403,95,87,218,862,324,104,994,403,163,341,105,9,21,301,6,68,241,240,11,11,"2,122",177,"13,254","7,232","14,601","7,533",526,163,645,"1,683","39,904","26,096","3,354","1,251",575,664,169,779,0,192,35,4,62,423,162,"1,661",540,"2,040",30,843,"11,471","4,386","1,825","2,726",128,887,"1,099",829,"2,859",733,"1,064","5,035","2,885",692,"1,166","2,629","2,534",0,963,"199,638",0,0,0,0,0,0,0,"199,638","7,261","7,261","206,899",0,"7,261","206,899"
水運,155,90,393,12,8,138,0,8,37,118,232,167,52,273,0,5,149,21,417,29,53,248,"2,824",33,64,1,10,696,27,113,0,41,129,128,183,227,66,19,192,37,22,233,38,3,3,79,33,8,659,298,18,6,44,"1,652",722,281,"1,244","1,314",952,216,37,40,195,145,86,15,4,10,5,"1,227","1,259","13,110",57,0,3,16,35,14,10,52,1,38,184,96,141,146,11,29,33,24,24,4,244,115,22,219,20,25,31,67,63,"33,077",36,"3,022",0,83,368,57,"3,566","36,643","38,340","41,906","74,983","-29,123","12,783","45,860"
航空輸送,0,0,0,30,3,23,0,28,28,9,1,31,12,10,0,50,25,21,60,11,105,133,52,50,85,2,5,43,9,14,0,26,9,2,18,82,31,22,377,74,19,299,43,4,15,52,94,17,58,107,1,5,45,0,76,161,122,114,36,7,75,280,"6,436","1,128",463,62,21,0,3,199,0,19,121,3,9,48,503,377,316,692,32,"1,105",999,"1,477","1,585",546,5,22,50,281,444,189,94,"2,209",76,173,104,215,143,2,473,"23,735",238,"29,993",0,8,5,2,"30,246","53,981","17,646","47,892","71,627","-44,452","3,440","27,175"
貨物利用運送,54,34,239,11,4,71,0,7,89,454,267,339,60,128,0,11,90,25,209,35,99,143,398,46,42,1,7,292,20,42,0,14,42,34,61,81,28,10,102,42,21,198,26,3,6,72,36,11,262,146,8,4,62,22,929,439,759,787,183,83,24,16,121,146,46,10,5,5,235,519,148,14,23,7,3,15,223,15,8,49,1,79,121,73,118,480,11,47,45,31,27,56,163,111,47,497,19,19,28,82,13,"11,388",104,"4,032",0,153,66,56,"4,411","15,799","1,443","5,854","17,242","-15,799","-9,945","1,443"
