部門名,米,耕種農業（米を除く）,畜産,農業サービス,林業,漁業,石炭・原油・天然ガス,その他の鉱業,食肉・畜産食料品,水産食料品,精穀・製粉,その他の食料品,飲料,飼料・有機質肥料（別掲を除く。）,たばこ,繊維製品,木材・木製品,家具・装備品,パルプ・紙・板紙・加工紙,紙加工品,印刷・製版・製本,化学製品,石油・石炭製品,プラスチック製品,ゴム製品,なめし革・革製品・毛皮,ガラス・ガラス製品,セメント・セメント製品,陶磁器,その他の窯業・土石製品,銑鉄・粗鋼,鋼材,鋳鍛造品（鉄）,その他の鉄鋼製品,非鉄金属,建設用・建築用金属製品,その他の金属製品,はん用機械,生産用機械,業務用機械,電子デバイス,その他の電子部品,産業用電気機器,民生用電気機器,電子応用装置・電気計測器,その他の電気機械,通信・映像・音響機器,電子計算機・同附属装置,乗用車,自動車部品・同附属品,船舶・同修理,その他の輸送機械・同修理,その他の製造工業製品,再生資源回収・加工処理,建築,建設補修,公共事業,その他の土木建設,電力,ガス・熱供給,水道,廃棄物処理,卸売,小売,金融・保険,不動産仲介及び賃貸,住宅賃貸料,住宅賃貸料（帰属家賃）,鉄道輸送,道路輸送（自家輸送を除く。）,自家輸送,水運,航空輸送,貨物利用運送,倉庫,運輸附帯サービス,郵便・信書便,通信,放送,情報サービス,インターネット附随サービス,映像・音声・文字情報制作,公務,教育,研究,医療,保健衛生,社会保険・社会福祉,介護,他に分類されない会員制団体,物品賃貸サービス,広告,自動車整備・機械修理,その他の対事業所サービス,宿泊業,飲食サービス,洗濯・理容・美容・浴場業,娯楽サービス,その他の対個人サービス,事務用品,分類不明,内生部門計,家計外消費支出,民間消費支出,一般政府消費支出,県内総固定資本形成（公的）,民間総固定資本形成（民間）,在庫純増,県内最終需要計,県内需要合計,移輸出,最終需要計,需要合計,（控除）移輸入,最終需要部門計,県内生産額
研究,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,132","38,217","122,278","241,373",0,"406,000","406,000","11,298","417,298","417,298","-87,112","330,186","330,186"
医療,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,276",0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,"5,378","3,467","129,297","596,401",0,0,0,"729,165","734,543","24,040","753,205","758,583","-12,954","740,251","745,629"
保健衛生,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,33,0,22,28,66,5,4,0,7,2,0,14,0,0,724,130,1,337,36,7,7,22,30,9,7,"9,166","2,747",497,243,1,0,2,0,47,0,45,0,13,9,0,200,"14,555","7,343","3,037","4,564",0,0,0,"14,944","29,499","17,330","32,274","46,829","-1,229","31,045","45,600"
社会保険・社会福祉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,047","72,368","68,489",0,0,0,"143,904","143,904","7,150","151,054","151,054",-1,"151,053","151,053"
介護,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,673","156,206",0,0,0,"177,879","177,879",0,"177,879","177,879","-5,674","172,205","172,205"
他に分類されない会員制団体,0,1,0,20,1,587,0,50,84,87,31,108,148,143,0,17,62,41,161,19,44,159,74,35,113,0,5,139,9,8,0,68,12,17,27,55,43,38,491,77,31,256,28,0,8,102,28,9,56,26,5,8,61,26,537,847,766,706,145,155,"1,026",154,396,703,"1,248",213,200,0,72,663,0,58,3,1,131,251,1,262,240,150,16,184,3,152,"1,290",970,45,4,64,0,578,157,430,"1,634",151,696,129,862,239,0,395,"20,545",0,"48,928",0,0,0,0,"48,928","69,473","5,290","54,218","74,763","-2,159","52,059","72,604"
物品賃貸サービス,307,90,344,152,42,71,0,140,207,473,53,756,320,65,0,52,341,113,210,45,599,249,384,285,284,3,14,325,29,160,0,80,82,67,173,241,204,71,"1,643",221,430,"2,053",524,22,46,309,143,23,728,716,98,79,317,779,"14,107","3,860","30,348","32,020",564,291,208,457,"8,574","8,606","3,615",392,371,0,173,"4,310","26,476",144,"2,457",19,164,999,7,"2,905","1,199","1,532",823,666,"14,653","1,024","1,397","4,491",611,"1,547","3,314",497,745,110,"2,066","7,336",860,721,294,565,409,0,379,"201,468",518,"7,883",0,0,0,0,"8,401","209,869","76,336","84,737","286,205","-12,891","71,846","273,314"
広告,0,16,0,67,25,70,0,55,668,371,36,"2,278","3,064",10,0,122,70,118,265,53,74,"1,541",81,350,570,3,15,23,94,41,0,47,12,4,73,131,57,70,557,280,284,943,181,56,55,114,408,102,"1,847",947,13,28,333,2,"2,276",174,576,537,389,398,705,67,"4,624","14,369","13,337","3,421","2,742",0,357,"1,560",0,95,302,6,15,"1,587",20,"5,385","1,937","2,664",492,"2,751","1,285","1,640",734,"1,039",468,146,250,356,"2,152",54,623,"11,628",293,"4,929","1,183","1,301",957,0,414,"106,862",0,83,0,0,0,0,83,"106,945","3,917","4,000","110,862","-39,882","-35,882","70,980"
自動車整備・機械修理,"2,471",634,378,419,317,148,0,206,264,764,159,"1,170",428,144,0,90,591,24,945,38,214,679,"1,018",532,850,4,47,894,141,325,0,524,159,28,379,684,265,97,"1,597",261,330,"3,300",233,25,79,254,248,81,601,"1,001",17,6,98,32,"2,359","3,335","7,280","3,955","3,870",77,"2,274","1,501",438,605,"1,122",560,296,0,155,"14,546","41,243",63,223,19,216,"1,008",13,914,652,"2,369",73,267,"11,526","1,148","4,390","1,339",533,736,323,581,"29,982",118,"1,670","2,962",194,"1,923",608,606,147,0,260,"172,672",89,"36,715",0,0,0,0,"36,804","209,476","48,821","85,625","258,297",-5,"85,620","258,292"
その他の対事業所サービス,10,27,73,354,5,616,0,338,"1,264","2,263",73,"4,738",883,367,0,646,454,405,"1,047",196,"1,910","1,342",829,"1,525",978,34,286,"2,939",185,853,0,194,216,113,568,"1,265",972,452,"4,475","2,181",946,"8,183","1,028",58,218,"1,822","1,671",476,"2,604","3,786",111,435,660,296,"46,907","7,338","79,641","17,255","4,346",901,"9,500","2,538","59,027","68,266","31,574","18,769","7,912","1,436","1,756","5,674",128,384,413,52,"3,324","15,619",172,"23,136","6,814","27,839","2,244","3,398","66,149","17,094","31,509","23,745","2,218","7,589","4,203","4,592","17,239","4,015","8,920","101,475","1,226","6,896","2,374","2,805","1,994",0,"2,224","810,000",787,"12,895",0,"7,610","26,874",0,"48,166","858,166","50,869","99,035","909,035","-124,856","-25,821","784,179"
宿泊業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"31,732","45,978",0,0,0,0,"77,710","77,710","47,911","125,621","125,621","-24,390","101,231","101,231"
飲食サービス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,263",0,"1,165",0,222,905,0,0,0,0,0,"1,488","3,225",0,0,0,0,0,"8,268","129,627","295,215",0,0,0,0,"424,842","433,110","39,102","463,944","472,212","-16,708","447,236","455,504"
洗濯・理容・美容・浴場業,0,0,0,4,0,2,0,0,14,6,3,12,10,3,0,1,2,0,9,0,3,2,3,3,2,0,0,0,0,0,0,1,0,1,1,3,1,1,0,2,6,35,0,0,0,5,1,2,8,7,2,0,2,0,8,7,58,20,8,0,4,4,71,52,27,10,5,0,199,39,2,4,7,0,1,5,7,111,60,6,8,18,117,61,33,"7,064",171,"1,490","1,644",5,15,57,5,50,"1,104","1,303","1,905",19,55,0,65,"16,061",389,"73,800",0,0,0,0,"74,189","90,250","5,201","79,390","95,451","-5,184","74,206","90,267"
娯楽サービス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,32,"4,035",0,4,"2,361",0,55,3,0,0,0,0,0,0,189,0,0,264,105,0,"1,207",209,0,38,"8,559","13,460","106,263",0,0,0,0,"119,723","128,282","19,621","139,344","147,903","-40,321","99,023","107,582"
その他の対個人サービス,0,0,0,20,2,69,0,2,14,7,0,14,11,5,0,2,2,0,6,0,7,2,5,3,5,0,0,2,2,0,0,2,0,1,5,6,1,1,11,5,2,34,2,0,0,12,3,0,12,14,1,0,2,1,145,45,231,218,4,1,22,0,"1,006",513,59,294,110,293,12,119,0,7,4,0,5,29,4,75,104,264,3,313,397,167,739,231,9,27,49,185,265,188,113,864,259,174,179,351,"1,125",0,34,"9,531","1,280","89,503",0,0,0,0,"90,783","100,314","21,044","111,827","121,358","-16,272","95,555","105,086"
事務用品,7,10,60,50,30,87,0,14,72,126,6,239,36,1,0,24,49,25,130,15,65,67,13,9,21,2,8,48,17,29,0,7,5,14,29,35,19,13,211,52,27,236,45,4,7,99,67,16,32,100,7,12,55,4,558,10,"1,579",196,4,3,83,243,"1,892","1,984","1,498",303,106,0,118,648,166,118,41,8,54,326,78,664,182,104,31,176,"2,723",837,"2,126",868,88,576,922,374,237,74,309,"1,294",218,381,346,236,261,0,4,"25,403",0,0,0,0,0,0,0,"25,403",0,0,"25,403",0,0,"25,403"
分類不明,553,197,11,10,63,599,0,269,686,"1,669","1,585",250,396,"1,254",0,65,722,39,304,40,134,333,196,100,334,6,58,809,17,269,0,139,248,104,450,256,193,131,"1,081",171,21,232,54,7,7,168,132,23,96,157,171,30,79,29,"13,230","7,306","3,379","5,215",446,54,886,"1,325","6,370","6,895","1,970","1,900",193,78,633,"5,469",0,441,196,1,89,"1,216",27,863,"1,034",133,24,148,978,"5,666","2,360","1,336",627,"1,688",664,396,"1,643",17,593,"3,597",183,736,657,144,905,12,0,"96,670",0,196,0,0,0,0,196,"96,866",92,288,"96,958","-14,881","-14,593","82,077"
内生部門計,"32,178","18,862","59,891","8,036","5,482","31,703",0,"11,688","71,834","127,134","62,953","141,094","33,119","53,687",0,"10,580","38,777","10,961","119,141","10,110","31,442","82,094","330,576","46,602","41,313",857,"2,979","39,920","7,255","12,171",0,"87,792","11,318","16,942","50,633","59,926","20,361","9,343","116,222","45,304","23,090","232,758","27,101","3,113","6,518","53,035","41,517","13,088","209,139","172,278","6,741","11,824","34,541","10,409","427,813","212,368","358,376","277,598","98,431","28,250","49,727","27,273","301,088","289,740","140,851","69,172","55,327","93,799","24,804","104,001","206,899","27,862","22,307",453,"10,729","40,437","4,706","118,285","52,364","62,855","12,384","41,133","299,306","92,289","126,743","333,123","16,147","46,674","39,251","30,227","89,113","50,350","159,571","216,154","52,162","272,095","28,436","32,448","32,886","25,403","48,392","7,855,234","260,475","5,117,131","2,204,340","1,396,398","2,223,033","-6,944","11,194,433","19,049,667","5,378,967","16,573,400","24,428,634","-6,637,705","9,935,695","17,790,929"
家計外消費支出,98,102,92,216,148,"2,335",0,946,771,"3,226",310,"2,293",726,221,0,256,505,299,"3,214",380,"1,366","1,232","1,561","1,336",748,22,86,"1,032",202,414,0,305,135,62,700,"1,312",567,244,"4,811","1,001",825,"5,419",661,36,245,"1,409",800,567,"2,006","1,829",214,67,"1,375",138,"19,602","5,681","14,296","7,166","1,139",429,"1,344",362,"33,133","14,643","13,102","2,807","2,162",0,"1,275","6,456",0,"1,550",299,48,467,"3,380",663,"2,081","1,365","3,472",32,"3,375","8,376","2,820","5,084","5,335",618,"3,554","2,888","2,692","1,846","1,600","3,047","14,544","2,286","6,985","4,072","2,654","2,538",0,342,"260,475",,,,,,,,,,,,,,
雇用者所得,"4,222","3,793","4,317","7,593","4,048","13,985",0,"5,507","11,128","27,906","1,769","45,709","6,448","3,421",0,"4,957","10,414","4,847","14,922","4,096","18,166","9,200","5,901","16,221","12,259",338,"1,271","15,878","4,060","4,830",0,"5,543","3,595","2,114","8,265","23,074","14,343","4,977","53,464","18,239","5,747","94,445","9,986",524,"2,306","15,366","15,260","3,073","16,468","35,841","1,937","2,122","14,820","3,654","268,395","127,594","237,055","245,600","14,290","4,745","19,935","48,313","382,217","379,423","132,541","39,839","33,138",0,"18,981","226,585",0,"8,418","3,097",460,"6,680","31,573","14,351","17,631","11,928","55,902","2,696","18,179","460,561","305,037","125,644","323,497","23,695","94,786","109,387","35,684","34,324","9,891","72,784","349,857","24,827","128,279","23,927","24,712","29,469",0,"1,040","5,149,336",,,,,,,,,,,,,,
営業余剰,"20,655","14,498","4,711","2,846","5,023","11,919",0,"1,466","3,829","20,482","6,184","18,638","8,040","5,656",0,230,"8,677","1,046","10,299","1,812","6,516","7,371","21,812",-494,"3,308",140,624,"9,082",235,"3,405",0,"11,950","2,310","3,046","2,276","5,150",721,913,"31,465",921,-38,"-33,842","-2,018",135,-146,"1,904","-1,206","-1,734","8,016",690,302,710,"1,141",-68,"24,854","13,363","14,326","12,554","9,679","1,400","12,590",526,"241,014","69,716","110,017","45,435","55,066","474,144","3,229","21,159",0,"1,767",65,91,"1,456","28,631",114,"61,263","13,248","14,656",332,"6,898",0,"1,317","11,393","31,941","1,789","1,755","5,464",-665,"29,072","1,568","7,876","85,609","5,551","11,475","17,003","27,735","14,392",0,"27,256","1,748,732",,,,,,,,,,,,,,
資本減耗引当,"21,862","6,868","8,385","2,172","1,554","10,961",0,"1,779","5,354","5,931",506,"12,062","6,652","1,561",0,"1,828","5,026",919,"19,411","1,099","7,755","13,244","12,540","6,091","12,840",62,655,"7,186","1,771","2,249",0,"2,922",946,474,"2,789","8,078","4,399","1,645","34,263","9,642","9,463","59,663","7,703",785,"2,003","10,429","10,550","3,984","21,903","24,124",970,"1,708","6,846",322,"21,758","9,603","53,981","21,824","26,872","5,664","20,017","1,429","93,549","80,796","31,564","77,722","58,327","352,297","23,384","35,696",0,"5,652","3,782",244,"6,443","11,382","1,317","47,401","4,817","13,628",523,"4,264","243,725","107,243","56,441","51,551","2,070","3,593","13,096","4,358","115,093","5,812","8,801","66,850","13,595","21,837","12,051","15,008","17,760",0,"4,025","2,180,779",,,,,,,,,,,,,,
間接税（関税・輸入品商品税を除く。）,"4,413","1,867","1,336",632,428,"4,003",0,"1,062",721,"2,343",703,"5,130","37,234","1,060",0,866,"2,264",542,"2,646",605,"2,533","2,358","112,407","2,805","1,290",39,153,"3,433",315,470,0,359,772,401,491,"2,969","1,376",151,"1,364",846,416,"4,428",220,20,51,428,817,185,"-5,181",390,225,513,532,"1,013","30,058","13,345","28,421","17,152","4,455",770,"4,000",207,"47,235","34,791","9,474","20,731","8,154","41,259","3,660","36,767",0,801,"-2,375",147,"3,545","8,342",479,"9,398","3,206","4,956",522,"1,504","1,577","4,178","7,024","11,749","1,281",692,"2,769","2,412","3,867","1,759","6,215","51,220","2,811","14,835","4,778","5,025","8,041",0,"1,437","669,118",,,,,,,,,,,,,,
（控除）経常補助金,"-12,146","-5,840",-986,-1,-706,-76,0,0,"-1,235",-1,-13,-18,-5,-80,0,0,0,0,0,0,-1,0,"-1,896",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,-9,-14,"-1,930","-16,175",-1,-64,"-4,786",0,-588,-385,"-6,631",-3,-342,0,-508,-606,0,-190,0,0,0,-507,0,-1,0,-3,0,-2,0,-52,"-2,143","-11,567",0,-1,-650,"-2,104",-1,0,-2,-55,-1,-2,0,0,0,0,-415,"-72,745",,,,,,,,,,,,,,
粗付加価値部門計,"39,104","21,288","17,855","13,458","10,495","43,127",0,"10,760","20,568","59,887","9,459","83,814","59,095","11,839",0,"8,137","26,886","7,653","50,492","7,992","36,335","33,405","152,325","25,959","30,445",601,"2,789","36,611","6,583","11,368",0,"21,079","7,758","6,097","14,521","40,583","21,406","7,930","125,366","30,649","16,413","130,111","16,552","1,500","4,459","29,536","26,221","6,075","43,212","62,874","3,648","5,120","24,714","5,059","364,658","169,572","346,149","288,121","56,434","12,944","53,100","50,837","796,560","578,984","290,067","186,531","156,505","867,700","50,021","326,057",0,"17,998","4,868",990,"18,591","82,801","16,924","137,773","34,564","92,611","4,105","34,218","714,239","420,543","203,443","412,506","29,453","104,379","132,954","42,377","184,201","20,630","98,721","568,025","49,069","183,409","61,831","75,134","72,200",0,"33,685","9,935,695",,,,,,,,,,,,,,
県内生産額,"71,282","40,150","77,746","21,494","15,977","74,830",0,"22,448","92,402","187,021","72,412","224,908","92,214","65,526",0,"18,717","65,663","18,614","169,633","18,102","67,777","115,499","482,901","72,561","71,758","1,458","5,768","76,531","13,838","23,539",0,"108,871","19,076","23,039","65,154","100,509","41,767","17,273","241,588","75,953","39,503","362,869","43,653","4,613","10,977","82,571","67,738","19,163","252,351","235,152","10,389","16,944","59,255","15,468","792,471","381,940","704,525","565,719","154,865","41,194","102,827","78,110","1,097,648","868,724","430,918","255,703","211,832","961,499","74,825","430,058","206,899","45,860","27,175","1,443","29,320","123,238","21,630","256,058","86,928","155,466","16,489","75,351","1,013,545","512,832","330,186","745,629","45,600","151,053","172,205","72,604","273,314","70,980","258,292","784,179","101,231","455,504","90,267","107,582","105,086","25,403","82,077","17,790,929",,,,,,,,,,,,,,
