部門名,穀類,いも・豆類,野菜,果実,その他の食用作物,非食用作物,畜産,農業サービス,育林,素材,特用林産物,海面漁業,内水面漁業,石炭・原油・天然ガス,砂利・砕石,その他の鉱物,畜産食料品,水産食料品,精穀・製粉,めん・パン・菓子類,農産保存食料品,砂糖・油脂・調味料類,その他の食料品,酒類,その他の飲料,飼料・有機質肥料（別掲を除く。）,たばこ,紡績糸,織物,ニット生地,染色整理,その他の繊維工業製品,織物製・ニット製衣服,その他の衣服・身の回り品,その他の繊維既製品,木材,その他の木製品,家具・装備品,パルプ,紙・板紙,加工紙,紙製容器,その他の紙加工品,印刷・製版・製本,化学肥料,ソーダ工業製品,その他の無機化学工業製品,石油化学系基礎製品,脂肪族中間物・環式中間物・合成染料・有機顔料,合成ゴム,その他の有機化学工業製品,合成樹脂,化学繊維,医薬品,油脂加工製品・界面活性剤,化粧品・歯磨,塗料・印刷インキ,農薬,その他の化学最終製品,石油製品,石炭製品,プラスチック製品,タイヤ・チューブ,その他のゴム製品,革製履物,なめし革・革製品・毛皮（革製履物を除く。）,ガラス・ガラス製品,セメント・セメント製品,陶磁器,建設用土石製品,その他の窯業・土石製品,銑鉄・粗鋼,鉄屑,熱間圧延鋼材,鋼管,冷延・めっき鋼材,鋳鍛造品（鉄）,その他の鉄鋼製品,非鉄金属製錬・精製,非鉄金属屑,電線・ケーブル,その他の非鉄金属製品,建設用金属製品,建築用金属製品,ガス・石油機器・暖房・調理装置,その他の金属製品,ボイラ・原動機,ポンプ・圧縮機,運搬機械,冷凍機・温湿調整装置,その他のはん用機械,農業用機械,建設・鉱山機械,繊維機械,生活関連産業用機械,基礎素材産業用機械,金属加工機械,半導体製造装置,その他の生産用機械,事務用機械,サービス用・娯楽用機器,計測機器,医療用機械器具,光学機械・レンズ,武器,電子デバイス,その他の電子部品,産業用電気機器,民生用電気機器,電子応用装置,電気計測器,その他の電気機械,通信機器,映像・音響機器,電子計算機・同附属装置,乗用車,トラック・バス・その他の自動車,二輪自動車,自動車部品・同附属品,船舶・同修理,鉄道車両・同修理,航空機・同修理,その他の輸送機械,がん具・運動用品,その他の製造工業製品,再生資源回収・加工処理,住宅建築,非住宅建築,建設補修,公共事業,その他の土木建設,電力,都市ガス,熱供給業,水道,廃棄物処理,卸売,小売,金融,保険,不動産仲介及び賃貸,住宅賃貸料,住宅賃貸料（帰属家賃）,鉄道旅客輸送,鉄道貨物輸送,道路旅客輸送,道路貨物輸送（自家輸送を除く。）,外洋輸送,沿海・内水面輸送,港湾運送,航空輸送,貨物利用運送,倉庫,こん包,その他の運輸附帯サービス,郵便・信書便,通信,放送,情報サービス,インターネット附随サービス,映像・音声・文字情報制作,公務（中央）,公務（地方）,学校教育,社会教育・その他の教育,学術研究機関,企業内研究開発,医療,保健衛生,社会保険・社会福祉,介護,他に分類されない会員制団体,物品賃貸業（貸自動車業を除く。）,貸自動車業,広告,自動車整備,機械修理,その他の対事業所サービス,宿泊業,飲食サービス,洗濯・理容・美容・浴場業,娯楽サービス,その他の対個人サービス,事務用品,分類不明,内生部門計,家計外消費支出（列）,家計消費支出,対家計民間非営利団体消費支出,一般政府消費支出,一般政府消費支出（社会資本等減耗分）,県内総固定資本形成（公的）,県内総固定資本形成（民間）,在庫純増,県内最終需要計,県内需要合計,輸出,輸出（直接購入）,輸出計,移出,最終需要計,需要合計,（控除）輸入,（控除）輸入（直接購入）,（控除）関税,（控除）輸入品商品税,（控除）輸入計,（控除）移入,（控除）移輸入計,最終需要部門計,県内生産額,自給率,民間消費支出構成比
熱供給業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,2,6,1,23,20,1,9,0,0,1,4,0,0,3,1,0,1,1,1,0,0,72,14,3,9,2,1,3,20,14,71,38,19,100,1,61,2,22,2,1,13,5,0,414,17,2,0,0,2,3,0,1,2,0,0,0,0,0,0,1,6,0,5,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38,2,0,0,0,0,0,0,0,0,25,25,0,40,2,0,0,0,0,4,0,0,2,0,1,4,17,0,4,0,3,9,185,64,76,20,11,0,22,2,1,7,1,6,4,0,0,1,1,1,3,32,23,1,0,5,2,86,24,5,34,9,37,4,32,31,4,0,0,2,0,4,29,142,27,2,74,2,0,13,2239,0,11,0,0,0,0,0,0,11,2250,0,0,0,0,11,2250,0,0,0,0,0,-1884,-1884,-1873,366,0.162666667,
水道,4,0,8,6,0,5,46,22,0,0,1,12,0,0,60,14,157,237,12,109,13,192,207,62,40,0,0,6,2,0,0,16,14,4,11,7,10,35,11,111,32,14,51,25,6,28,646,94,639,298,241,444,15,404,32,39,12,29,159,424,5,477,50,72,0,0,101,113,10,21,66,0,0,0,1,6,31,9,42,0,84,51,61,50,1,145,0,33,1,16,206,1,2,2,15,3,114,15,34,40,51,3,3,0,0,6043,243,187,10,0,0,114,44,0,5,197,251,0,298,37,1,6,3,1,78,0,188,126,97,132,130,196,108,12,5511,938,53,2407,198,326,108,29,4,389,28,75,108,6,45,7,0,0,39,15,35,11,927,41,6,1,25,318,985,2249,472,987,702,2436,66,810,1103,145,10,8,3,72,69,350,1049,3423,950,450,288,0,132,43917,43,46691,0,-9588,5515,0,0,0,42661,86578,0,0,0,6551,49212,93129,-4,-11,0,0,-15,-2927,-2942,46270,90187,0.966019081,
廃棄物処理,0,0,0,0,0,1,14,27,0,0,1,0,1,0,28,9,101,95,2,289,1,50,17,12,3,-3,0,0,0,0,0,0,4,0,1,5,2,7,0,3,12,7,15,23,10,84,382,110,585,8,6,80,10,490,108,116,70,8,10,0,0,16,43,7,0,0,96,236,3,5,175,0,0,0,0,0,1,0,0,0,294,0,11,8,0,14,0,10,3,20,89,0,0,0,1,0,6,0,0,3,28,1,0,0,0,1621,108,42,0,0,0,89,28,0,3,16,48,0,42,65,11,0,1,0,7,0,105,59,1,786,895,3396,106,0,119,0,52,838,429,828,5,0,0,1305,246,66,324,46,81,57,0,1,35,37,68,25,1590,310,4,3,21,129,8610,2031,75,274,294,2114,138,519,662,2,5,18,4,68,52,68,4158,5882,441,1246,924,0,1056,46563,0,8069,0,6312,2458,0,0,0,16839,63402,0,0,0,56412,73251,119814,-3,0,0,0,-3,0,-3,73248,119811,0.999952683,
卸売,342,27,369,196,237,442,1196,547,5,13,30,1997,120,0,400,54,8350,8196,1001,7343,1200,4038,10206,1010,5453,182,0,256,312,10,2,1282,705,77,946,935,707,2372,341,1287,3784,1037,2313,2494,52,283,4896,760,4099,2309,4238,5903,139,4925,1650,1967,2137,397,8938,11122,445,26052,7585,4733,0,0,1899,2321,407,516,2387,0,0,0,35,121,1626,2389,2165,0,12177,3477,3846,4698,288,6644,9,1879,378,712,12052,121,150,46,554,129,5631,1566,1507,4466,9760,134,128,16,0,94246,6045,29479,1032,21,41,5536,3164,0,394,9848,3767,0,57573,3102,47,328,400,232,5887,0,13285,8426,4807,6604,6075,6763,1585,2,1350,1163,475,4395,634,913,50,121,208,94,21,422,1011,459,488,214,0,1,126,852,36,48,624,86,150,3,1150,796,1095,1924,256,703,2262,36247,305,2409,2606,1464,287,32,99,3900,6106,1516,3088,28901,891,1264,1010,4085,748,634455,6325,185558,0,29,0,4479,89311,2937,288639,923094,25891,806,26697,79617,394953,1029408,-11934,0,0,0,-11934,-781454,-793388,-398435,236020,0.140512234,
小売,459,36,393,217,296,281,1074,136,3,10,13,508,25,0,165,35,92,172,12,149,11,61,964,25,65,1,0,11,9,0,0,58,465,38,112,26,44,365,2,49,30,17,30,49,5,9,234,47,143,151,113,75,2,176,76,69,37,9,171,106,9,339,205,292,0,0,163,203,57,48,182,0,0,0,4,4,125,26,48,0,336,143,109,158,6,264,0,143,59,100,377,16,21,3,64,52,1768,119,157,517,502,33,8,2,0,5251,432,1247,24,1,4,187,298,0,33,1141,1574,0,1300,226,1,24,25,87,2363,0,996,757,421,1094,811,246,45,0,260,533,266,2691,399,500,51,239,340,75,14,155,631,27,91,85,0,1,46,37,31,69,407,89,92,2,71,510,1102,644,222,657,1725,1744,86,1236,1186,1134,350,22,39,308,259,1508,1841,16877,535,1016,1178,2160,112,76834,19662,481676,0,71,0,1386,9787,0,512582,589416,79,220,299,371529,884410,961244,0,0,0,0,0,-361681,-361681,522729,599563,0.38637397,
金融,41,2,26,15,14,25,135,90,8,5,3,395,10,0,581,49,369,190,33,304,52,372,458,860,247,6,0,39,121,3,2,174,201,27,185,85,66,326,33,216,239,107,187,314,10,52,544,396,1126,707,589,743,14,773,94,215,83,328,785,3168,10,1201,591,405,0,0,394,807,163,75,354,0,0,0,9,16,219,136,791,0,1348,432,1003,1482,106,1093,0,246,70,94,2145,11,27,12,76,17,797,238,374,607,635,52,39,9,0,13718,958,1799,121,4,3,509,890,0,71,1654,1644,0,2732,665,15,119,45,62,2365,0,2310,1980,529,2884,2098,9086,340,5,2360,2432,863,7379,11666,1423,4557,6465,43615,2752,377,115,530,406,495,591,0,1,101,126,277,10,1132,215,53,3,73,2957,3639,3363,380,11,325,3216,673,4145,604,1470,1317,112,22,590,577,802,1718,1577,103,585,136,0,217,195488,0,55660,0,0,0,0,0,0,55660,251148,2619,0,2619,2539,60818,256306,-9393,0,0,0,-9393,-26891,-36284,24534,220022,0.855527418,
保険,67,7,12,9,10,14,40,76,12,7,2,67,19,0,194,73,107,187,16,67,8,50,121,49,33,1,0,4,8,1,0,96,69,4,13,28,45,102,7,49,42,28,28,37,7,11,253,99,393,227,97,271,2,35,66,227,45,16,217,1004,8,444,278,125,0,0,96,170,26,11,212,0,0,0,1,3,116,77,39,0,385,95,74,132,11,316,0,29,8,8,216,4,2,2,16,10,345,58,74,74,243,7,4,0,0,828,217,769,9,2,2,284,217,0,24,578,338,0,938,66,0,62,14,19,313,0,312,262,56,380,390,318,31,0,41,79,136,802,362,892,191,500,8357,10,21,72,1204,163,1099,1048,0,2,7,53,27,4,565,138,24,1,42,48,120,104,22,14,43,170,5,72,247,113,160,197,17,73,22,402,165,423,22,459,160,0,37,33862,5,221716,0,0,0,0,0,0,221721,255583,664,0,664,4218,226603,260465,-5624,-7,0,0,-5631,-17990,-23621,202982,236844,0.907579925,
不動産仲介及び賃貸,2,0,4,3,2,40,2,295,1,2,2,57,2,0,99,12,338,185,36,307,9,118,218,91,34,1,0,7,9,0,0,54,73,5,66,17,37,133,7,74,67,24,76,174,2,16,284,187,325,336,194,445,9,516,28,132,31,85,298,408,13,1531,228,334,0,0,161,326,31,37,156,0,0,0,4,4,157,43,119,0,303,123,841,266,16,435,0,170,40,25,485,7,5,2,76,12,283,96,207,151,282,11,3,1,0,3213,286,740,59,1,2,374,117,0,24,583,307,0,489,125,0,11,30,11,176,0,1842,822,202,356,450,2624,548,12,97,191,1680,10716,2977,3056,1941,10771,5504,97,42,250,1574,29,79,7147,0,10,1634,638,354,234,1778,445,556,49,314,396,182,288,58,118,2530,12430,247,1081,1827,1234,429,205,20,299,163,3611,1016,3464,1548,804,1713,0,2409,114602,0,3154,0,0,0,0,65,0,3219,117821,10,0,10,54750,57979,172581,0,0,0,0,0,-46308,-46308,11671,126273,0.606963105,
住宅賃貸料,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112173,0,134,0,0,0,0,112307,112307,258,1,259,5,112571,112571,0,-36,0,0,-36,-1809,-1845,110726,110726,0.983571817,
住宅賃貸料（帰属家賃）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690827,0,0,0,0,0,0,690827,690827,0,0,0,0,690827,690827,0,0,0,0,0,0,0,690827,690827,1,
鉄道旅客輸送,0,0,0,0,0,0,0,10,0,0,2,34,0,0,34,28,103,6,1,87,2,7,13,23,3,0,0,3,6,0,0,55,34,3,23,3,16,33,2,40,20,26,45,78,3,9,154,45,173,179,123,329,3,546,64,100,51,15,291,277,5,1355,193,132,0,0,128,88,34,16,308,0,0,0,1,2,32,12,26,0,218,112,501,107,8,178,0,147,15,26,281,6,5,3,31,9,154,59,220,632,97,21,3,0,0,10999,592,486,41,4,4,99,645,0,45,257,178,0,411,42,2,13,18,14,142,0,266,237,104,236,129,264,37,0,172,1505,396,1242,1063,4103,35,9,0,4,6,18,55,15,32,176,0,1,40,37,75,15,413,210,12,3,50,936,1253,1061,485,1317,337,946,55,116,112,328,28,7,7,27,90,643,114,736,72,275,133,0,1165,43462,322,55702,0,0,0,0,0,0,56024,99486,26,220,246,46965,103235,146697,-111,-621,0,0,-732,-70383,-71115,32120,75582,0.285175804,
鉄道貨物輸送,2,0,2,1,1,1,5,1,0,0,0,6,0,0,2,1,6,8,29,40,4,18,23,2,10,0,0,0,0,0,0,1,2,0,2,0,1,2,1,6,52,6,20,21,1,1,27,84,33,17,18,43,1,13,6,9,7,2,35,24,1,38,12,9,0,0,6,28,2,4,16,0,0,0,0,0,7,1,6,0,30,5,4,5,0,6,0,2,0,1,9,0,0,0,1,0,5,1,1,2,6,0,0,0,0,75,5,21,0,0,0,7,3,0,0,60,62,0,63,3,0,0,0,0,13,0,16,11,7,12,11,13,1,0,4,26,1,20,3,3,2,0,1,13,18,2,156,6,2,1,0,1,0,3,0,22,2,0,1,0,10,4,4,11,0,3,8,85,2,10,7,2,1,0,0,5,4,8,7,66,2,3,4,19,2,1742,16,365,0,0,0,1,10,6,398,2140,335,1,336,6719,7453,9195,0,0,0,0,0,-1053,-1053,6400,8142,0.507943925,
