"Fishery","Country","Species","Scientific.x","Time","N","phi_lower","phi_expected","phi_upper","g_lower","g_expected","g_upper","K_lower","K_expected","K_upper","b0_lower","b0_expected","b0_upper","f0_total_lower","f0_total_expected","f0_total_upper","theta_domestic","theta_legal1_lower","theta_legal1_expected","theta_legal1_upper","theta_legal2_lower","theta_legal2_expected","theta_legal2_upper","p1_lower","p1_expected","p1_upper","p2_lower","p2_expected","p2_upper","beta_lower","beta_expected","beta_upper","c1_lower","c1_expected","c1_upper","c2_lower","c2_expected","c2_upper","disc_lower","disc_expected","disc_upper","gamma_p1","gamma_p2","gamma_c1","gamma_c2","lambda","split"
"Bastard halibut seto_inland_sea_stock","Japan","Bastard halibut","Paralichthys olivaceus",50,1,0.188,0.188,0.188,0.0351430099784947,0.0351430099784947,0.0351430099784947,50449.7208960282,50449.7208960282,50449.7208960282,0.594670165415092,0.594670165415092,0.594670165415092,1.7428237657902,1.7428237657902,1.7428237657902,1,1,1,1,0,0,0,12315.92893,14300.6698223077,16731.44402,12315.92893,14300.6698223077,16731.44402,1,1.3,1.5,124267035.418764,339045066.176345,701093591.93609,124267035.418764,339045066.176345,701093591.93609,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Bigeye tuna single_stock","Japan","Bigeye tuna","Thunnus obesus",50,1,0.188,0.188,0.188,0.0434314462550492,0.0434314462550492,0.0434314462550492,4024908.56993669,4024908.56993669,4024908.56993669,0.794178899569256,0.794178899569256,0.794178899569256,0.893372889696483,0.893372889696483,0.893372889696483,0.6,1,1,1,0,0,0,6541.665855,8276.92848546154,9845.73389,6541.665855,8276.92848546154,9845.73389,1,1.3,1.5,5265921392.29035,14691897938.9442,29607739433.804,5265921392.29035,14691897938.9442,29607739433.804,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Blackhead seabream, Goldlined seabream single_stock","Japan","Blackhead seabream, Goldlined seabream","Acanthopagrus schlegeli, Rhabdosargus sarba",50,1,0.188,0.188,0.188,0.0399395254519843,0.0399395254519843,0.0399395254519843,169378.258138278,169378.258138278,169378.258138278,0.860224659605095,0.860224659605095,0.860224659605095,1.36377551598238,1.36377551598238,1.36377551598238,1,1,1,1,0,0,0,4678.877709,5090.451238,5567.349998,4678.877709,5090.451238,5567.349998,1,1.3,1.5,158500031.278487,389930352.077389,734696582.419596,158500031.278487,389930352.077389,734696582.419596,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Blue marlin single_stock","Japan","Blue marlin","Makaira nigricans",50,1,0.188,0.188,0.188,0.0288803102905699,0.0288803102905699,0.0288803102905699,911926.976491803,911926.976491803,911926.976491803,0.336287246592738,0.336287246592738,0.336287246592738,0.786409597830824,0.786409597830824,0.786409597830824,0.6,1,1,1,0,0,0,3252.673597,3749.91569769231,4296.263153,3252.673597,3749.91569769231,4296.263153,1,1.3,1.5,593240159.765385,1704492046.52565,3589659815.10597,593240159.765385,1704492046.52565,3589659815.10597,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Broadbanded thornyhead hokkaido_east_hokkaido_south","Japan","Broadbanded thornyhead","Sebastolobus macrochir",50,1,0.188,0.188,0.188,0.035978320371745,0.035978320371745,0.035978320371745,100654.799598698,100654.799598698,100654.799598698,0.823461811479256,0.823461811479256,0.823461811479256,0.512226900425559,0.512226900425559,0.512226900425559,1,1,1,1,0,0,0,18775.36232,26020.8246838462,30888.70704,18775.36232,26020.8246838462,30888.70704,1,1.3,1.5,377966066.342508,1222185840,2552213836.3894,377966066.342508,1222185840,2552213836.3894,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Broadbanded thornyhead pacific_north","Japan","Broadbanded thornyhead","Sebastolobus macrochir",50,1,0.188,0.188,0.188,0.0348134026484616,0.0348134026484616,0.0348134026484616,127150.519497723,127150.519497723,127150.519497723,0.742471743995114,0.742471743995114,0.742471743995114,0.370445588541575,0.370445588541575,0.370445588541575,1,1,1,1,0,0,0,11959.85837,14172.4378053846,17517.11193,11959.85837,14172.4378053846,17517.11193,1,1.3,1.5,304140440.972938,849244464.569516,1858705954.71056,304140440.972938,849244464.569516,1858705954.71056,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Conger eels nei single_stock","Japan","Conger eels nei","Conger spp",50,1,0.188,0.188,0.188,0.0415745889009051,0.0415745889009051,0.0415745889009051,241083.753042063,241083.753042063,241083.753042063,1.01956282197754,1.01956282197754,1.01956282197754,0.928781411739426,0.928781411739426,0.928781411739426,1,1,1,1,0,0,0,6104.191116,7464.87301276923,8879.892355,6104.191116,7464.87301276923,8879.892355,1,1.3,1.5,294324260.706259,804147927.243585,1634801193.11641,294324260.706259,804147927.243585,1634801193.11641,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Crison seabream, Yellowback seabream single_stock","Japan","Crison seabream, Yellowback seabream","Evynnis japonica, Dentex tumifrons",50,1,0.188,0.188,0.188,0.0409933772792605,0.0409933772792605,0.0409933772792605,220074.493775392,220074.493775392,220074.493775392,1.06798886471411,1.06798886471411,1.06798886471411,1.73936804328161,1.73936804328161,1.73936804328161,1,1,1,1,0,0,0,3626.427093,4594.37099192308,5814.166434,3626.427093,4594.37099192308,5814.166434,1,1.3,1.5,159616821.341068,453707157.862924,984019272.185106,159616821.341068,453707157.862924,984019272.185106,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Cuttlefishes nei single_stock","Japan","Cuttlefishes nei","Sepia spp",50,1,0.188,0.188,0.188,0.041148801059312,0.041148801059312,0.041148801059312,529074.39188208,529074.39188208,529074.39188208,1.34961069761848,1.34961069761848,1.34961069761848,0.595579990705512,0.595579990705512,0.595579990705512,1,1,1,1,0,0,0,4532.819309,4982.7011255,5600.759714,4532.819309,4982.7011255,5600.759714,1,1.3,1.5,479639723.884106,1181594311.83779,2274512732.17504,479639723.884106,1181594311.83779,2274512732.17504,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Daggertooth pike conger single_stock","Japan","Daggertooth pike conger","Muraenesox cinereus",50,1,0.188,0.188,0.188,0.0355121074543593,0.0355121074543593,0.0355121074543593,451219.203448458,451219.203448458,451219.203448458,0.783171098374893,0.783171098374893,0.783171098374893,0.782013620891895,0.782013620891895,0.782013620891895,1,1,1,1,0,0,0,5739.281442,6152.96233775,6444.907636,5739.281442,6152.96233775,6444.907636,1,1.3,1.5,517934800.125151,1300627299.79114,2402809454.37362,517934800.125151,1300627299.79114,2402809454.37362,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
