"","alphabet_pref","fish_stock","harvest_FMSY","rank_number"
"91","tokyo","skipjack_single_stock",5530.94712515082,1
"92","tokyo","bigeye_tuna_single_stock",2930.99601052687,2
"93","tokyo","yellowfin_tuna_single_stock",2367.71211287521,3
"94","tokyo","mackerel_pacific_stock",2246.83308230684,4
"95","tokyo","japanese_sardine_pacific_stock",2112.50363096764,5
"96","tokyo","japanese_jack_mackerel_pacific_stock",576.425007488617,6
"97","tokyo","yellowtail_single_stock",511.588086069213,7
"98","tokyo","red_rock_fish_single_stock",496.461403181087,8
"99","tokyo","righteye_flounder_pacific_north",475.208410201829,9
"100","tokyo","pollock_pacific_stock",356.076446347457,10
"101","kanagawa","japanese_sardine_pacific_stock",14892.1398663339,1
"102","kanagawa","mackerel_pacific_stock",5848.06782624812,2
"103","kanagawa","skipjack_single_stock",2941.41372308943,3
"104","kanagawa","bigeye_tuna_single_stock",2918.91058803536,4
"105","kanagawa","yellowfin_tuna_single_stock",1910.71969153766,5
"106","kanagawa","neon_flying_squid_single_stock",1716.64115589979,6
"107","kanagawa","japanese_anchovy_pacific_stock",1465.71557446036,7
"108","kanagawa","japanese_common_squid_winter_stock",777.655869764058,8
"109","kanagawa","japanese_jack_mackerel_pacific_stock",647.784638419869,9
"110","kanagawa","round_herring_pacific_stock",622.766393551401,10
"111","niigata","pollock_sea_of_japan_north_stock",6498.15970217944,1
"112","niigata","japanese_sardine_tsushima_current_stock",5963.42482007463,2
"113","niigata","skipjack_single_stock",3108.32585164678,3
"114","niigata","yellowtail_single_stock",1389.79692612613,4
"115","niigata","righteye_flounder_sea_of_japan_stock",1389.39138870388,5
"116","niigata","japanese_jack_mackerel_tsushima_current_stock",1371.81155495257,6
"117","niigata","red_snow_crab_single_stock",1333.06109445114,7
"118","niigata","yellowfin_tuna_single_stock",1292.09702429183,8
"119","niigata","japanese_common_squid_winter_stock",1210.25334741891,9
"120","niigata","sea_cucumber_single_stock",967.010477905069,10
"121","toyama","saury_single_stock",4270.59978088558,1
