X,fishery,species,management,MC,catchShare,illegalFishing,implementYear,time,biomass,harvest1,harvest2,harvest_ill_for,profit1,profit2,BvBMSY,FvFMSY1,FvFMSY2,FvFMSYill,FvFMSYtotal,harvest,profit
28,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,18,55042.95173,1661.909689,0,0,47382853.63,0,0.895188432,0.828466244,0,0,0.828466244,1661.909689,47382853.63
29,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,18,65115.47354,1554.076553,0,0,52137426.96,0,1.059002412,0.654873351,0,0,0.654873351,1554.076553,52137426.96
30,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,18,50969.43824,1857.550947,0,0,46672311.78,0,0.828939038,1,0,0,1,1857.550947,46672311.78
31,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,19,55606.86136,1678.935791,0,0,48272377.44,0,0.904359549,0.828466244,0,0,0.828466244,1678.935791,48272377.44
32,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,19,65797.71284,1613.9582,0,0,54212915.2,0,1.070097978,0.673055067,0,0,0.673055067,1613.9582,54212915.2
33,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,19,51311.85677,1870.030187,0,0,47324286.12,0,0.834507946,1,0,0,1,1870.030187,47324286.12
34,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,2,44027.49417,1329.32041,0,0,30006821.62,0,0.716039061,0.828466244,0,0,0.828466244,1329.32041,30006821.62
35,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,2,44027.49417,320.5667977,0,0,10539987.47,0,0.716039061,0.199785371,0,0,0.199785371,320.5667977,10539987.47
36,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,2,44027.49417,1604.555913,0,0,33454658.39,0,0.716039061,1,0,0,1,1604.555913,33454658.39
37,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,20,56156.29804,1695.524911,0,0,49139071.3,0,0.913295286,0.828466244,0,0,0.828466244,1695.524911,49139071.3
38,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,20,66418.212,1669.205884,0,0,56134151.67,0,1.080189437,0.689591405,0,0,0.689591405,1669.205884,56134151.67
39,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,20,51644.48096,1882.152479,0,0,47957611.77,0,0.839917563,1,0,0,1,1882.152479,47957611.77
40,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,21,56691.39955,1711.68121,0,0,49983152.52,0,0.921997884,0.828466244,0,0,0.828466244,1711.68121,49983152.52
41,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,21,66981.50375,1720.00761,0,0,57906056.37,0,1.089350505,0.704603162,0,0,0.704603162,1720.00761,57906056.37
42,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,21,51967.49938,1893.924694,0,0,48572647.78,0,0.845170958,1,0,0,1,1893.924694,48572647.78
43,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,22,57212.31992,1727.409338,0,0,50804864.1,0,0.930469848,0.828466244,0,0,0.828466244,1727.409338,50804864.1
44,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,22,67491.99416,1766.579722,0,0,59534793.72,0,1.097652842,0.718207761,0,0,0.718207761,1766.579722,59534793.72
45,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,22,52281.10354,1905.353811,0,0,49169758.76,0,0.850271245,1,0,0,1,1905.353811,49169758.76
46,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,23,57719.2281,1742.714397,0,0,51604472.54,0,0.938713925,0.828466244,0,0,0.828466244,1742.714397,51604472.54
47,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,23,67953.9202,1819.274786,0,0,61312312.4,0,1.105165354,0.734603339,0,0,0.734603339,1819.274786,61312312.4
48,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,23,52585.48722,1916.446894,0,0,49749313.7,0,0.855221574,1,0,0,1,1916.446894,49749313.7
49,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,24,58212.3065,1757.601894,0,0,52382265.56,0,0.946733082,0.828466244,0,0,0.828466244,1757.601894,52382265.56
50,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,24,68361.2018,1870.271873,0,0,63012762.96,0,1.111789159,0.750696112,0,0,0.750696112,1870.271873,63012762.96
51,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,24,52880.84597,1927.211068,0,0,50311684.92,0,0.860025127,1,0,0,1,1927.211068,50311684.92
52,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,25,58691.74966,1772.077703,0,0,53138550.06,0,0.954530483,0.828466244,0,0,0.828466244,1772.077703,53138550.06
53,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,25,68715.6526,1915.042639,0,0,64507886.46,0,1.117553753,0.764701401,0,0,0.764701401,1915.042639,64507886.46
54,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,25,53167.37655,1937.653505,0,0,50857247.08,0,0.864685104,1,0,0,1,1937.653505,50857247.08
55,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,26,59157.76303,1786.148026,0,0,53873650.08,0,0.96210947,0.828466244,0,0,0.828466244,1786.148026,53873650.08
56,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,26,69023.64954,1954.239616,0,0,65818633.28,0,1.122562846,0.776871175,0,0,0.776871175,1954.239616,65818633.28
57,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,26,53445.2765,1947.781404,0,0,51386376.26,0,0.869204716,1,0,0,1,1947.781404,51386376.26
58,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,27,59610.56166,1799.819358,0,0,54587904.9,0,0.969473539,0.828466244,0,0,0.828466244,1799.819358,54587904.9
59,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,27,69290.92135,1988.475149,0,0,66964817.65,0,1.126909609,0.787431791,0,0,0.787431791,1988.475149,66964817.65
60,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,27,53714.74363,1957.601974,0,0,51899449.12,0,0.873587182,1,0,0,1,1957.601974,51899449.12
61,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,28,60050.36915,1813.098448,0,0,55281667.19,0,0.976626327,0.828466244,0,0,0.828466244,1813.098448,55281667.19
62,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,28,69522.58225,2018.31563,0,0,67964885.44,0,1.130677215,0.796585326,0,0,0.796585326,2018.31563,67964885.44
63,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,28,53975.97564,1967.122419,0,0,52396842.08,0,0.877835717,1,0,0,1,1967.122419,52396842.08
64,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,29,60477.41648,1825.992271,0,0,55955301.3,0,0.983571591,0.828466244,0,0,0.828466244,1825.992271,55955301.3
65,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,29,69723.1736,2044.278869,0,0,68835791.02,0,1.133939523,0.804511221,0,0,0.804511221,2044.278869,68835791.02
66,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,29,54229.16972,1976.349928,0,0,52878930.62,0,0.881953526,1,0,0,1,1976.349928,52878930.62
67,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,3,44822.20325,1353.31503,0,0,31260413.7,0,0.728963774,0.828466244,0,0,0.828466244,1353.31503,31260413.7
68,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,3,45830.95686,383.0311267,0,0,12584721.81,0,0.74536959,0.229321227,0,0,0.229321227,383.0311267,12584721.81
69,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,3,44546.96775,1623.487819,0,0,34443750.43,0,0.724487494,1,0,0,1,1623.487819,34443750.43
70,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,30,60891.94098,1838.507993,0,0,56609181.62,0,0.99031319,0.828466244,0,0,0.828466244,1838.507993,56609181.62
71,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,30,69896.70985,2066.833764,0,0,69592956.39,0,1.136761821,0.811368097,0,0,0.811368097,2066.833764,69592956.39
72,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,30,54474.52223,1985.291654,0,0,53346088.57,0,0.885943805,1,0,0,1,1985.291654,53346088.57
