"X","IdOrig","Fishery","SciName","CommName","SpeciesCat","SpeciesCatName","Res1","year","catch","BvBmsy","LogBvBmsy","YearsBack","ScaledCatch","ScaledCatch1Back","ScaledCatch2Back","ScaledCatch3Back","ScaledCatch4Back","MaxCatch","TimeToMaxCatch","InitialScaledCatchSlope","MeanScaledCatch","CatchToRollingMax","MaxLength","AgeMat","VonBertK","Temp","b_to_k_ratio","regression_LogBvBmsy","BvBmsySD","model","model_number","model_worked","Res","Value","id","MSY","phi","g","k","MSYLogSd","gLogSd","KLogSd","CatchMSYBvBmsy","CatchMSYBvBmsy_LogSd","FvFmsy","BMSY","Biomass","B_over_K"
161,"Japan-4","Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","Medium",1968,73048,1.54387121662968,0.450335097793517,48,0.57365324244679,0.769450656028334,0.834450764008458,1,0.90154764966536,127338.25,2,-0.0781855188276669,0.552676970739199,0.57365324244679,140,5.25,0.190363637,17.35000038,0.4,0.450335097793517,0.0794726318040302,"M1",1,TRUE,"Medium",1,"Japan-4",44532.4621192239,0.188005801001991,0.0364970610443509,3050414.25562378,0.0848142902386227,0.26567183221215,0.181648150730459,1.54387121662968,0.221190923978386,1.06247948251597,1220112.93330569,1883697.23876827,0.617521779310945
162,"Japan-4","Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","Medium",1969,79339,1.51497354972303,0.434703800592743,47,0.623057093999643,0.57365324244679,0.769450656028334,0.834450764008458,1,127338.25,2,-0.0781855188276669,0.552676970739199,0.623057093999643,140,5.25,0.190363637,17.35000038,0.4,0.434703800592743,0.0789759735603605,"M1",1,TRUE,"Medium",1,"Japan-4",44532.4621192239,0.188005801001991,0.0364970610443509,3050414.25562378,0.0848142902386227,0.26567183221215,0.181648150730459,1.51497354972303,0.221190923978386,1.17599361741283,1220112.93330569,1848438.8216331,0.605963212447391
163,"Japan-4","Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","Medium",1970,65849,1.48666093998803,0.308041769567948,46,0.51711877617291,0.623057093999643,0.57365324244679,0.769450656028334,0.834450764008458,127338.25,2,-0.0781855188276669,0.552676970739199,0.51711877617291,140,5.25,0.190363637,17.35000038,0.4,0.308041769567948,0.0754015331211258,"M1",1,TRUE,"Medium",1,"Japan-4",44532.4621192239,0.188005801001991,0.0364970610443509,3050414.25562378,0.0848142902386227,0.26567183221215,0.181648150730459,1.48666093998803,0.221190923978386,0.994627690411662,1220112.93330569,1813894.2403198,0.594638658331627
164,"Japan-4","Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","Medium",1971,89938,1.45364509275174,0.504720941488066,45,0.706292099977815,0.51711877617291,0.623057093999643,0.57365324244679,0.769450656028334,127338.25,2,-0.0781855188276669,0.552676970739199,0.706292099977815,140,5.25,0.190363637,17.35000038,0.4,0.504720941488066,0.07781627523095,"M1",1,TRUE,"Medium",1,"Japan-4",44532.4621192239,0.188005801001991,0.0364970610443509,3050414.25562378,0.0848142902386227,0.26567183221215,0.181648150730459,1.45364509275174,0.221190923978386,1.38933869639823,1220112.93330569,1773611.17810275,0.581432890576385
165,"Japan-4","Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","Medium",1972,95022,1.41238128574695,0.597156454340916,44,0.746217259935644,0.706292099977815,0.51711877617291,0.623057093999643,0.57365324244679,127338.25,2,-0.0781855188276669,0.552676970739199,0.746217259935644,140,5.25,0.190363637,17.35000038,0.4,0.597156454340916,0.074013133352297,"M1",1,TRUE,"Medium",1,"Japan-4",44532.4621192239,0.188005801001991,0.0364970610443509,3050414.25562378,0.0848142902386227,0.26567183221215,0.181648150730459,1.41238128574695,0.221190923978386,1.51076009699323,1220112.93330569,1723264.67349878,0.564928081594736
166,"Japan-4","Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","Medium",1973,95042,1.36756073033067,0.596320792563803,43,0.746374321933904,0.746217259935644,0.706292099977815,0.51711877617291,0.623057093999643,127338.25,2,-0.0781855188276669,0.552676970739199,0.746374321933904,140,5.25,0.190363637,17.35000038,0.4,0.596320792563803,0.0731694342331951,"M1",1,TRUE,"Medium",1,"Japan-4",44532.4621192239,0.188005801001991,0.0364970610443509,3050414.25562378,0.0848142902386227,0.26567183221215,0.181648150730459,1.36756073033067,0.221190923978386,1.56060228368277,1220112.93330569,1668578.53415743,0.547000634776479
167,"Japan-4","Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","Medium",1974,95295,1.32339905907806,0.610498247808442,42,0.7483611562119,0.746374321933904,0.746217259935644,0.706292099977815,0.51711877617291,127338.25,2,-0.0781855188276669,0.552676970739199,0.7483611562119,140,5.25,0.190363637,17.35000038,0.4,0.610498247808442,0.0721416103793427,"M1",1,TRUE,"Medium",1,"Japan-4",44532.4621192239,0.188005801001991,0.0364970610443509,3050414.25562378,0.0848142902386227,0.26567183221215,0.181648150730459,1.32339905907806,0.221190923978386,1.61697232064499,1220112.93330569,1614696.30790572,0.529336730225687
168,"Japan-4","Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","Medium",1975,68075,1.27982727747147,0.321357316497687,41,0.534599776579307,0.7483611562119,0.746374321933904,0.746217259935644,0.706292099977815,127338.25,2,-0.0781855188276669,0.552676970739199,0.534599776579307,140,5.25,0.190363637,17.35000038,0.4,0.321357316497687,0.0721490285749683,"M1",1,TRUE,"Medium",1,"Japan-4",44532.4621192239,0.188005801001991,0.0364970610443509,3050414.25562378,0.0848142902386227,0.26567183221215,0.181648150730459,1.27982727747147,0.221190923978386,1.19442691361573,1220112.93330569,1561533.81364036,0.511908771328843
169,"Japan-4","Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","Medium",1976,105672,1.23654938297049,0.617117671622709,40,0.829852774009381,0.534599776579307,0.7483611562119,0.746374321933904,0.746217259935644,127338.25,2,-0.0781855188276669,0.552676970739199,0.829852774009381,140,5.25,0.190363637,17.35000038,0.4,0.617117671622709,0.0810523032195277,"M1",1,TRUE,"Medium",1,"Japan-4",44532.4621192239,0.188005801001991,0.0364970610443509,3050414.25562378,0.0848142902386227,0.26567183221215,0.181648150730459,1.23654938297049,0.221190923978386,1.91898577289104,1220112.93330569,1508729.89483347,0.4945983621903
170,"Japan-4","Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","Medium",1977,52977,1.21652105425015,0.152156130698649,39,0.416033674092427,0.829852774009381,0.534599776579307,0.7483611562119,0.746374321933904,127338.25,2,-0.0781855188276669,0.552676970739199,0.416033674092427,140,5.25,0.190363637,17.35000038,0.4,0.152156130698649,0.0937725702900725,"M1",1,TRUE,"Medium",1,"Japan-4",44532.4621192239,0.188005801001991,0.0364970610443509,3050414.25562378,0.0848142902386227,0.26567183221215,0.181648150730459,1.21652105425015,0.221190923978386,0.977892295533085,1220112.93330569,1484293.07192928,0.48658737717109
