"Fishery","Country","Species","Scientific.x","Time","N","phi_lower","phi_expected","phi_upper","g_lower","g_expected","g_upper","K_lower","K_expected","K_upper","b0_lower","b0_expected","b0_upper","f0_total_lower","f0_total_expected","f0_total_upper","theta_domestic","theta_legal1_lower","theta_legal1_expected","theta_legal1_upper","theta_legal2_lower","theta_legal2_expected","theta_legal2_upper","p1_lower","p1_expected","p1_upper","p2_lower","p2_expected","p2_upper","beta_lower","beta_expected","beta_upper","c1_lower","c1_expected","c1_upper","c2_lower","c2_expected","c2_upper","disc_lower","disc_expected","disc_upper","gamma_p1","gamma_p2","gamma_c1","gamma_c2","lambda","split"
"Bastard halibut seto_inland_sea_stock","Japan","Bastard halibut","Paralichthys olivaceus",50,1,0.188,0.188,0.188,0.0397533368553597,0.0397533368553597,0.0397533368553597,46428.7949183138,46428.7949183138,46428.7949183138,0.593673639487412,0.593673639487412,0.593673639487412,1.67694408441432,1.67694408441432,1.67694408441432,1,1,1,1,0,0,0,12315.9289335932,14300.6698233223,16731.4440207903,12315.9289335932,14300.6698233223,16731.4440207903,1,1.3,1.5,114362747.737265,300694637.139948,606648774.696604,114362747.737265,300694637.139948,606648774.696604,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Bigeye tuna single_stock","Japan","Bigeye tuna","Thunnus obesus",50,1,0.188,0.188,0.188,0.0397827112882574,0.0397827112882574,0.0397827112882574,4248815.33645287,4248815.33645287,4248815.33645287,0.800047713380924,0.800047713380924,0.800047713380924,0.917135072753084,0.917135072753084,0.917135072753084,0.6,1,1,1,0,0,0,6469.76718375509,8282.203985695,9825.97519847349,6469.76718375509,8282.203985695,9825.97519847349,1,1.3,1.5,5497769206.72361,15933068870.0232,32591144631.5368,5497769206.72361,15933068870.0232,32591144631.5368,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Blackhead seabream, Goldlined seabream single_stock","Japan","Blackhead seabream, Goldlined seabream","Acanthopagrus schlegeli, Rhabdosargus sarba",50,1,0.188,0.188,0.188,0.0398137115413651,0.0398137115413651,0.0398137115413651,169691.883290639,169691.883290639,169691.883290639,0.861261050739578,0.861261050739578,0.861261050739578,1.3639134042457,1.3639134042457,1.3639134042457,1,1,1,1,0,0,0,4683.8465338735,5109.5001114273,5517.34999840909,4683.8465338735,5109.5001114273,5517.34999840909,1,1.3,1.5,158962147.875465,392485530.860206,730598126.980146,158962147.875465,392485530.860206,730598126.980146,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Blue marlin single_stock","Japan","Blue marlin","Makaira nigricans",50,1,0.188,0.188,0.188,0.0352344381178243,0.0352344381178243,0.0352344381178243,792033.656238503,792033.656238503,792033.656238503,0.343702878821704,0.343702878821704,0.343702878821704,0.726151040735626,0.726151040735626,0.726151040735626,0.6,1,1,1,0,0,0,3236.04798118156,3752.24783914363,4265.84251251701,3236.04798118156,3752.24783914363,4265.84251251701,1,1.3,1.5,512611782.859693,1395529160.4787,2802644816.80769,512611782.859693,1395529160.4787,2802644816.80769,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Broadbanded thornyhead hokkaido_east_hokkaido_south","Japan","Broadbanded thornyhead","Sebastolobus macrochir",50,1,0.188,0.188,0.188,0.0345311385609201,0.0345311385609201,0.0345311385609201,102514.018239919,102514.018239919,102514.018239919,0.827122508447631,0.827122508447631,0.827122508447631,0.521695660759079,0.521695660759079,0.521695660759079,1,1,1,1,0,0,0,18775.3623188405,26020.8246838846,30888.7070376432,18775.3623188405,26020.8246838846,30888.7070376432,1,1.3,1.5,384947567.04294,1260187049.18097,2653266174.51212,384947567.04294,1260187049.18097,2653266174.51212,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Broadbanded thornyhead pacific_north","Japan","Broadbanded thornyhead","Sebastolobus macrochir",50,1,0.188,0.188,0.188,0.0325579856090719,0.0325579856090719,0.0325579856090719,130493.178615163,130493.178615163,130493.178615163,0.747197786671334,0.747197786671334,0.747197786671334,0.383520034924366,0.383520034924366,0.383520034924366,1,1,1,1,0,0,0,11959.8583688264,14172.4378049317,17517.111931714,11959.8583688264,14172.4378049317,17517.111931714,1,1.3,1.5,312135986.867063,889260659.528533,1972535529.74309,312135986.867063,889260659.528533,1972535529.74309,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Conger eels nei single_stock","Japan","Conger eels nei","Conger spp",50,1,0.188,0.188,0.188,0.0422660305786365,0.0422660305786365,0.0422660305786365,238814.865251971,238814.865251971,238814.865251971,1.02004097454159,1.02004097454159,1.02004097454159,0.921834539031374,0.921834539031374,0.921834539031374,1,1,1,1,0,0,0,6104.19111598919,7464.87301279412,8879.89235468685,6104.19111598919,7464.87301279412,8879.89235468685,1,1.3,1.5,291554315.767447,792647893.350401,1606114892.17166,291554315.767447,792647893.350401,1606114892.17166,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Crison seabream, Yellowback seabream single_stock","Japan","Crison seabream, Yellowback seabream","Evynnis japonica, Dentex tumifrons",50,1,0.188,0.188,0.188,0.0394938135058877,0.0394938135058877,0.0394938135058877,225216.381498865,225216.381498865,225216.381498865,1.06707139982924,1.06707139982924,1.06707139982924,1.76570885486827,1.76570885486827,1.76570885486827,1,1,1,1,0,0,0,3535.20748482686,4528.56847000382,5953.13702188079,3535.20748482686,4528.56847000382,5953.13702188079,1,1.3,1.5,159237327.516082,462802995.920274,1050472294.33074,159237327.516082,462802995.920274,1050472294.33074,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Cuttlefishes nei single_stock","Japan","Cuttlefishes nei","Sepia spp",50,1,0.188,0.188,0.188,0.0400989523374619,0.0400989523374619,0.0400989523374619,536875.125539446,536875.125539446,536875.125539446,1.34987878207581,1.34987878207581,1.34987878207581,0.602173248619876,0.602173248619876,0.602173248619876,1,1,1,1,0,0,0,4473.66602187613,4939.1038670364,5562.30652146808,4473.66602187613,4939.1038670364,5562.30652146808,1,1.3,1.5,480360001.42326,1197775711.52479,2322014730.31543,480360001.42326,1197775711.52479,2322014730.31543,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Daggertooth pike conger single_stock","Japan","Daggertooth pike conger","Muraenesox cinereus",50,1,0.188,0.188,0.188,0.0366458503961505,0.0366458503961505,0.0366458503961505,444378.121513967,444378.121513967,444378.121513967,0.782955100762121,0.782955100762121,0.782955100762121,0.769698534251229,0.769698534251229,0.769698534251229,1,1,1,1,0,0,0,5739.28144201594,6152.96233760181,6444.90763560193,5739.28144201594,6152.96233760181,6444.90763560193,1,1.3,1.5,510082221.208603,1268888473.42429,2329486764.46575,510082221.208603,1268888473.42429,2329486764.46575,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
