"","IdOrig","Fishery","SciName","stock","EngName"
"4451",60,"Pacific bluefin tuna single_stock_exc_sbf_inc_sml","Thunnus orientalis","single_stock_exc_sbf_inc_sml","Pacific bluefin tuna"
"4429",61,"Pacific bluefin tuna single_stock_inc_sbf_exc_sml","Thunnus orientalis","single_stock_inc_sbf_exc_sml","Pacific bluefin tuna"
"1477",62,"Pacific cod hokkaido","Gadus macrocephalus","hokkaido","Pacific cod"
"1571",63,"Pacific cod pacific_north_stock","Gadus macrocephalus","pacific_north_stock","Pacific cod"
"1442",64,"Pacific cod sea_of_japan_stock","Gadus macrocephalus","sea_of_japan_stock","Pacific cod"
"842",65,"Pacific herring single_stock","Clupea pallasii","single_stock","Pacific herring"
"3703",66,"Pacific ocean perch single_stock","Sebastes alutus","single_stock","Pacific ocean perch"
"2109",67,"Pacific salmons nei single_stock","Oncorhynchus spp","single_stock","Pacific salmons nei"
"900",68,"Pacific saury single_stock","Cololabis saira","single_stock","Pacific saury"
"4027",69,"Pufferfishes nei ise_mikawa_bay_stock","Takifugu spp","ise_mikawa_bay_stock","Pufferfishes nei"
"4056",70,"Pufferfishes nei sea_of_japan_east_china_sea_seto_inland_sea_stock","Takifugu spp","sea_of_japan_east_china_sea_seto_inland_sea_stock","Pufferfishes nei"
"736",71,"Queen crab okhotsk_stock","Chionoecetes opilio","okhotsk_stock","Queen crab"
"779",72,"Queen crab pacific","Chionoecetes opilio","pacific","Queen crab"
"816",73,"Queen crab sea_of_japan_stock","Chionoecetes opilio","sea_of_japan_stock","Queen crab"
"3233",74,"Rays and skates nei single_stock","Rajidae","single_stock","Rays and skates nei"
"666",75,"Red snow crab single_stock","Chionoecetes japonicus","single_stock","Red snow crab"
"1218",76,"Red-eye round herring pacific_stock","Etrumeus teres","pacific_stock","Red-eye round herring"
"1287",77,"Red-eye round herring tsushima_current_stock","Etrumeus teres","tsushima_current_stock","Red-eye round herring"
"2982",78,"Righteye flounders nei hokkaido_north_stock","Pleuronectidae","hokkaido_north_stock","Righteye flounders nei"
"3065",79,"Righteye flounders nei pacific_north","Pleuronectidae","pacific_north","Righteye flounders nei"
"3007",80,"Righteye flounders nei sea_of_japan_stock","Pleuronectidae","sea_of_japan_stock","Righteye flounders nei"
"598",81,"Rudderfish single_stock","Centrolophus niger","single_stock","Rudderfish"
"188",82,"Sandlances nei ise_mikawa_bay_stock","Ammodytidae","ise_mikawa_bay_stock","Sandlances nei"
"240",83,"Sandlances nei sea_of_japan_stock","Ammodytidae","sea_of_japan_stock","Sandlances nei"
"291",84,"Sandlances nei sendai_bay_stock","Ammodytidae","sendai_bay_stock","Sandlances nei"
"327",85,"Sandlances nei seto_inland_sea_east_stock","Ammodytidae","seto_inland_sea_east_stock","Sandlances nei"
"105",86,"Sandlances nei soya_strait","Ammodytidae","soya_strait","Sandlances nei"
"1646",87,"Sea cucumbers nei single_stock","Holothuroidea","single_stock","Sea cucumbers nei"
"3933",88,"Sea urchins nei single_stock","Strongylocentrotus spp","single_stock","Sea urchins nei"
"1697",89,"Skipjack tuna single_stock","Katsuwonus pelamis","single_stock","Skipjack tuna"
"2134",90,"Smelts nei pacific_stock","Osmerus spp, Hypomesus spp","pacific_stock","Smelts nei"
"2183",91,"Smelts nei sea_of_japan_stock","Osmerus spp, Hypomesus spp","sea_of_japan_stock","Smelts nei"
"4348",92,"Southern bluefin tuna single_stock","Thunnus maccoyii","single_stock","Southern bluefin tuna"
"4071",93,"Striped marlin single_stock","Tetrapturus audax","single_stock","Striped marlin"
"3152",94,"Swimming crabs, etc. nei single_stock","Portunidae","single_stock","Swimming crabs, etc. nei"
"4731",95,"Swordfish single_stock","Xiphias gladius","single_stock","Swordfish"
"581",96,"Tilefishes nei single_stock","Branchiostegidae","single_stock","Tilefishes nei"
"3327",97,"Trouts nei single_stock","Salmo spp","single_stock","Trouts nei"
"4665",98,"Turbans nei single_stock","Turbo spp","single_stock","Turbans nei"
"55",99,"Whitebait smelt single_stock","Allosmerus elongatus","single_stock","Whitebait smelt"
"1762",100,"Yellow croaker single_stock","Larimichthys polyactis","single_stock","Yellow croaker"
"4296",101,"Yellowfin tuna single_stock","Thunnus albacares","single_stock","Yellowfin tuna"
"2898",102,"Yesso scallop single_stock","Patinopecten yessoensis","single_stock","Yesso scallop"
