,IdOrig,Fishery,SciName,CommName,SpeciesCat,SpeciesCatName,Res1,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
24,25,Frigate and bullet tunas single_stock,"Auxis thazard, A. rochei",Frigate and bullet tunas,36,"Tunas, bonitos, billfishes",Medium,NA,2700.821558,1361.655068,956.6263176,895.5274285,1490.075602,1509.643795,985.9373192,732.0826787,896.6283726,993.2844371,1088.715994,2100.594165
25,26,Imperial surf clam single_stock,Pseudocardium sybillae,Imperial surf clam,56,"Clams, cockles, arkshells",Medium,3707.283276,2742.58158,2783.446251,3761.769695,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,28,Japanese amberjack single_stock,Seriola quinqueradiata,Japanese amberjack,37,Miscellaneous pelagic fishes,3,5002.932677,4648.119352,3973.420964,4135.081196,4114.149452,3731.995861,3459.197056,3469.085602,3477.027497,3324.469908,3022.700079,3225.078852,3372.380026
27,29,Japanese anchovy pacific_stock,Engraulis japonicus,Japanese anchovy,35,"Herrings, sardines, anchovies",1,557.8278913,588.5893219,566.5463828,471.4266016,560.1030082,628.2333862,488.0557575,487.8990357,541.0413592,601.3743092,542.6904031,535.4897378,524.682211
28,30,Japanese anchovy seto_inland_sea_stock,Engraulis japonicus,Japanese anchovy,35,"Herrings, sardines, anchovies",1,1633.539099,1181.566481,1137.714915,1371.638171,1358.955357,1419.87384,1129.506293,1181.773504,2251.728121,1313.741868,1171.036157,1083.89128,1175.919107
29,31,Japanese anchovy tsushima_current_stock,Engraulis japonicus,Japanese anchovy,35,"Herrings, sardines, anchovies",1,565.4916809,1024.884639,1173.766841,988.3042963,1052.423543,992.2065187,856.3680778,1519.529987,1531.151569,772.3236882,634.9190982,617.2138141,1362.632683
30,32,Japanese carpet shell single_stock,Ruditapes philippinarum,Japanese carpet shell,56,"Clams, cockles, arkshells",Medium,4545.059293,5120.325571,4743.991379,4934.269234,4749.782927,4801.731777,6358.127778,5833.388056,6003.078083,5521.593059,5661.511185,5988.843796,5899.599999
31,33,Japanese flying squid winter_stock,Todarodes pacificus,Japanese flying squid,57,"Squids, cuttlefishes, octopuses",Medium,2408.539991,2595.671126,2935.358384,2888.779165,2584.046904,2401.097169,2152.476894,2477.047077,2561.645965,2566.131249,2507.40486,2905.103644,3193.953113
32,34,Japanese hard clam single_stock,Meretrix lusoria,Japanese hard clam,56,"Clams, cockles, arkshells",Medium,10447.22568,10349.82304,11434.70617,12526.46905,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,35,Japanese jack mackerel pacific_stock,Trachurus japonicus,Japanese jack mackerel,37,Miscellaneous pelagic fishes,3,2215.977439,1959.496779,2162.728469,2363.704887,2126.752439,2251.586681,2535.957308,2772.839923,2309.787614,3037.843265,2900.398198,3342.595036,3474.071662
34,36,Japanese jack mackerel tsushima_current_stock,Trachurus japonicus,Japanese jack mackerel,37,Miscellaneous pelagic fishes,3,1803.572068,1496.957489,1722.373538,1695.427163,1989.367248,2119.018301,1928.052832,2054.398206,2027.226,2151.348483,2032.180964,2304.937499,1740.815271
35,37,Japanese pilchard pacific_stock,Sardinops melanostictus,Japanese pilchard,35,"Herrings, sardines, anchovies",Medium,2419.774812,2297.737189,2445.980275,2120.090336,1258.998869,1311.2469,1768.607195,1844.369701,1525.021385,1554.559062,1368.743631,1311.212304,1066.038838
36,38,Japanese pilchard tsushima_current_stock,Sardinops melanostictus,Japanese pilchard,35,"Herrings, sardines, anchovies",Medium,3395.015611,2979.532609,2786.953939,2377.045714,1734.94809,2183.633556,2364.150914,2568.516938,1493.290394,1673.564767,860.3102958,1600.718214,1039.420953
37,39,Japanese sandfish hokkaido,Arctoscopus japonicus,Japanese sandfish,34,Miscellaneous demersal fishes,3,5397.63002,4854.068594,4493.51585,3517.310253,4434.69657,5774.566474,3825,3422.053232,3654.232425,3354.943274,4441.558442,3505.524862,3285.229202
38,40,Japanese sandfish sea_of_japan_north_stock,Arctoscopus japonicus,Japanese sandfish,34,Miscellaneous demersal fishes,3,3075.383476,2510.679092,2380.965271,2499.735491,3917.955585,1833.477213,1702.52864,2141.027755,2323.156486,2378.869305,2218.188979,2646.910751,2612.351985
