"","IdOrig","Fishery","SciName","CommName","SpeciesCat","SpeciesCatName","Res1","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"29",29,"Japanese anchovy pacific_stock","Engraulis japonicus","Japanese anchovy",35,"Herrings, sardines, anchovies","1",149900,240580,226063.25,173126,113440,156963,155123,158123,158456,141646,133132,89680,59160,52460,40953,49519,63398,41232,45799,48338,80043,56229,60796,61237,62260,84601,234313,209755,185467,100519,102810,140975,210584,137108,313680,310695,213795,199601,305240,386698,386876,236928,289864,238360,211230,229752,227701,153037,148786,145648,137594,66985
"30",30,"Japanese anchovy seto_inland_sea_stock","Engraulis japonicus","Japanese anchovy",35,"Herrings, sardines, anchovies","1",54300,68101,81065,76037,85830,98974,96733,77605,95026,91889,91525,93542,94874,107230,61075,53767,46750.25,77052,82088,90176,84887,103180,94675,38631,63788,44510,38675,44448,33753,27238,30852,23842,25149,22036,22107.25,32201.25,39965.25,39166,44858,36545,38644,40850,45569,44011,41177,49604,41748,39684.25,43131,52872,49944,39341
"31",31,"Japanese anchovy tsushima_current_stock","Engraulis japonicus","Japanese anchovy",35,"Herrings, sardines, anchovies","1",89500.5,97231.25,100536,116077,158399,120864,113615,114964,116206,101888,62859,61942,62630,85243,50397,31292,40458,42188,69564,69087,59139,46415,65399,40641.25,51444.25,53147.25,38439,74667,81672,66754,54372,87141,109785,73970,134831,141333,127262,62399.25,93059,111676,70277,70869,80063,80092,92565,57378,76191.25,66205.25,51019,48170,60531,62420.25
"32",32,"Japanese carpet shell single_stock","Ruditapes philippinarum","Japanese carpet shell",56,"Clams, cockles, arkshells","Medium",108902,121248.25,157510.25,121618.25,120400,116572,141997,126414,115613,114458,137719,122052,135573,155506,153769,132641,127389.25,137114.5,139379.25,160424,128279,133232.25,120682.25,99517,88151.25,80732.5,71199,65353,59038,57356,46597,49466.5,43704.25,39661.5,36808.75,43089.75,35558.75,31024,34818.5,37690.75,36587.75,34262,34985,35822,39219.75,31657.25,27184.5,28792.25,27302.25,23050,19346.75,13812.5
"33",33,"Japanese flying squid winter_stock","Todarodes pacificus","Japanese flying squid",57,"Squids, cuttlefishes, octopuses","Medium",236801.5,396899,382898,477011,668367,478160,412240,364349,464365,346672,335005,385250,312144,264287,257119,212839,331224,196830,181719.25,192060,173732,132586,90997,182517,156444,211887,209390,242002,394365,315934,301651,290276,444190,365978.25,180750,237346,337285.25,298190,273579,253842.25,234604.25,222360.5,190316.25,253494.25,217474.25,218657,199832,242259,168207.25,180092,172703.25,129234.5
"34",34,"Japanese hard clam single_stock","Meretrix lusoria","Japanese hard clam",56,"Clams, cockles, arkshells","Medium",15704.75,13739.5,9972.5,6197.5,6743,7081,4955,4539,3247,5142,10233,4084,4079,4980,5009,4017,1907.75,1904.25,2195.5,1369.75,1456,2182.75,2223.75,3678.75,3357.75,2546.75,2251,2215,2581,2964,2330,2059,1944.25,1897.25,1872,1786.25,1544.75,1246,1300.5,1168.75,976.5,972.5,868,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",35,"Japanese jack mackerel pacific_stock","Trachurus japonicus","Japanese jack mackerel",37,"Miscellaneous pelagic fishes","3",71700.75,60545,43551,64773,88747,83306,79640,58551,48947,38973,51185,51129,36945,32133,23107,20319,18683,19935.25,24011,30836,36160,28549,48799,54385,47391,46958,60796,74773,74326,98250,99321,99732,147168,102740,92103,72416,98294.25,87203,68514,71074,76714,62897,52443,51910,55224,36884,37057,38526,32309,32907,32274,29484
"36",36,"Japanese jack mackerel tsushima_current_stock","Trachurus japonicus","Japanese jack mackerel",37,"Miscellaneous pelagic fishes","3",422300.5,466343,433529,263104,222622,199511,135920,212319,102831,89081,114304,134540,90759,55324,34886,62197,34978,41881.25,81115,99394,99603,124380.25,61692,127037,180379,134498,161178,148232,149086,213699,226809,213262,183240,220405,219204,138662,147694,127228,127531,170846,177572,128443,115053,118479,117096,128282,122381,129890,101633,116238,113492,122222
"37",37,"Japanese pilchard pacific_stock","Sardinops melanostictus","Japanese pilchard",35,"Herrings, sardines, anchovies","Medium",19000.5,6849.25,7414.25,9113.5,16538,14972,14169,52669,43988,249694,264682,429564,770495,1017457,1162351,1099134,1462442,2335027.25,2470567.25,2772125.25,2943150,2719577,2756527,2982683,2933476,2592676,2228663,1780230,1291847,835189,468358,357918,187550,258649,141835,308673,140343,177584,49130,50194,48038,24867,49316.25,68001,26754,48529.25,64829.5,124835.5,92658.5,125594.25,178983.25,268458.25
"38",38,"Japanese pilchard tsushima_current_stock","Sardinops melanostictus","Japanese pilchard",35,"Herrings, sardines, anchovies","Medium",6601.25,2365.25,6052,7688,7841,5589,2598,4760,13895,47170,87002,96483,295197,402369,475028,717901,735300,754283,819388,973023,1236276,1146551,1452991,1378843,1554935,1506313,1449566,1230268,931919,878498,720490,303474,131803,25405,25236,42533,9276,840,1183.5,1857,2115,2736,3185,10732,8060,7944,5332.25,42974,37274.25,77286,15387,71658
"39",39,"Japanese sandfish hokkaido","Arctoscopus japonicus","Japanese sandfish",34,"Miscellaneous demersal fishes","3",5400,3173,4787,4518,7444,7555,7647,7380,4945,5067,3388,2855,2290,2241,2360,2676,2142,1943,3048,2458,1903,1876,1501,1941,1554,3055,2143,1374,1113,2947,2281,2304,1323,2312,2460,1549,888,1588,1598,1519,1487,1388,1502,1516,865,920,1052,697,617,308,362,589
"40",40,"Japanese sandfish sea_of_japan_north_stock","Arctoscopus japonicus","Japanese sandfish",34,"Miscellaneous demersal fishes","3",11900.25,21154,24089,22580,23612,18157,17270,18859,18789,18501,22709,23205,11747,6722,5265,2991,2754,3424,2743,948,208,447,1484,612,466,395,317,159,151,176,118,308,397,828,1073,1157,1583,2674,2971,4401,5442,4187,4284,2601,4876,4786,3398,3416,2221,2962,1821,2812
"41",41,"Japanese sandfish sea_of_japan_west_stock","Arctoscopus japonicus","Japanese sandfish",34,"Miscellaneous demersal fishes","3",4100.75,7984.25,7244,5516.25,6792,5359,6033,5633,5475,6940,7924,7448,8808,5796,4928,4511,7437,5013,6376,8238.5,5900.25,5496.5,8756,5255.5,5753.5,3542.25,2863,6075,4288,2673,3478,2896,5000,3068.25,3261.25,3909.25,4179.25,4491,4680,9475.25,5876.5,8785.25,7433.25,3706.25,9217,4046.25,4372.25,3484,5990.25,3761.25,3614.25,5307
"42",42,"Japanese seabass single_stock","Lateolabrax japonicus","Japanese seabass",33,"Miscellaneous coastal fishes","3",4504.75,6162,6688,7042,7242,6245,5844,6186,6836,6250,8239,9561,10147,11026,11574,9541,9997,9826,8913.25,8102.5,8814.25,7075.25,6245.25,5436.25,5984,5823.25,5532,5904,6414,6906,7302,7713.25,8335.25,9055,9227,9232,9337,10692.25,10736.25,10136,10052.25,10577.25,11440.25,10768.25,10252.25,8433,8968.25,8413.25,8520.25,7802.5,8067.5,7160.25
"43",43,"Japanese seabream pacific_central_stock","Pagrus major","Japanese seabream",33,"Miscellaneous coastal fishes","2",4101.25,4379,2690,3196,2751,2667,2017,1596,1252,947,928,1404,1131,1763,970,712,665,665,584,518,566,626.25,545,626.25,550,855,964,895,1080,1053,1295,1274,1397,1322.25,1236,1149,1306,1280,1617,1399,1358,1217,1277,1320,1300,1460,1447,1990.25,1747,1729,1720.25,1850.25
"44",44,"Japanese seabream pacific_south_stock","Pagrus major","Japanese seabream",33,"Miscellaneous coastal fishes","2",300.25,468,420,483,582,456,326,350,468,479,489,401,425,396,456,442,508,522,514,508,782,660,676,716,623,667,627,668,589,562,657,518,656,572,501,431,416,428,489,416,486,405,504,441,437,434,441,546,507,406,480,529
"45",45,"Japanese seabream sea_of_japan_north_central_stock","Pagrus major","Japanese seabream",33,"Miscellaneous coastal fishes","2",1800.5,2709,2111,2425,2480,2422,2187,1574,2009,1970,1651,1633,2167,1571,2558,2110,1517,1280.25,1725,1581.25,1526.25,1538.25,1280,1284.25,1120,1265,1812,1385,1815,1836,1576,2034,2160,1792,1774,1752,1792,2209,2530,2449,1904,1933,2332,2034,2402,2085,2343,2275,1807,2018,1995,1934
"46",46,"Japanese seabream sea_of_japan_west_east_china_sea_stock","Pagrus major","Japanese seabream",33,"Miscellaneous coastal fishes","2",14800,14301,14607,15611,13602,14856,15661,11068,14922,13144,12462.25,10437,9913,10138,9844,8634,8721,7427,8023,7970,8259,7322,6734,6586.25,6179,5800.25,5611,5813,5986,6129,6161,6494.25,7344,7406,7428,7567.25,6664.25,6060,6086.25,5706,6314,6262,6893,7349,7243,7099,6238,7727.25,7231,6025,6449,6740
"47",47,"Japanese seabream seto_inland_sea_central_west_stock","Pagrus major","Japanese seabream",33,"Miscellaneous coastal fishes","2",2200.25,2457,2326,2482,2200,2213,1915,1967,1992,1931,2137,2707,2998,2844,2574,3074,3345,3387,3612,3445,4013,3843,3674,3732,3760,3865,3987,3712,4055,3918,3834,3660,3963,3602,3351,3263,3417,3136,3144,3245,3026,3157,2891,2942,2798,2869,2782,2714,2511,2452,2296,2325
"48",48,"Japanese seabream seto_inland_sea_east_stock","Pagrus major","Japanese seabream",33,"Miscellaneous coastal fishes","2",200.5,345,402,324,347,415,305,180,233,217,195,359,361,310,391,406,409,428,495,677,810,734,689,760,763,754,733,804,718,662,919,1029,950,916,1087,1569,1449,1520,1662,1328,1440,1659,1931,1524,1539,1797,1713,2079,1599,1525,1700,1599
"49",49,"Japanese Spanish mackerel east_china_sea_stock","Scomberomorus niphonius","Japanese Spanish mackerel",36,"Tunas, bonitos, billfishes","3",804,1590,2416,3710,16841,19162,16695,15463,18596,11992,16891,10179,10264,20234,11946,2369,2154.5,2292.25,2549.25,2529.25,3673.25,4855.25,4874,4729.5,4151,4338,4607,4045,2773,2183,3722,4930.25,2858.5,1732.25,2215.25,4778.25,9703.25,7751.25,7220,6619.25,7471.25,7872.25,11366,14729,12816,11464,10861,10471.25,10151,13399.25,14428.25,15160
"50",50,"Japanese Spanish mackerel seto_inland_sea_stock","Scomberomorus niphonius","Japanese Spanish mackerel",36,"Tunas, bonitos, billfishes","3",3101.75,4166,4187,3238,3074,1979,3175,1981,2261,1967,4258,4454,4940,20387,5830,3770,4891.25,3889,3193.25,3613,4372,6288,6802,4961.25,4012,3710,3158,2764,2561,2017,1337,1451,745.25,618.25,648.25,541.25,1226,1304,1715,1868,2095,2541,2360,3329,2903,2458,3379,2249.25,2712,3087,4094.25,4709
"51",51,"Japanese spiny lobster single_stock","Panulirus japonicus","Japanese spiny lobster",43,"Lobsters, spiny-rock lobsters","Medium",1102.75,1574.5,1565.5,1550.75,1691,1602,1485,1334,1414,1284,1289,1086,1028,971,1001,1065,1066,1061.25,1155.75,1179.75,1119.25,1118.5,1152,1083.5,969,1231.5,1141,1172,1194,1238,1118,1135,1092,1068.25,1085,1155.5,1243.5,1486,1379,1472,1269.25,1300,1254,1301.25,1402.25,1339.25,1193.5,1120.75,1214.25,1186.5,1297.5,1199.5
"52",52,"King crabs single_stock","Paralithodes spp","King crabs",44,"King crabs, squat-lobsters","Medium",31600.25,25931.25,30957,30275,30350,22522,17557,10539,9650,6179,5461,1823,1258,287,129,270,56,26.25,142,152,137,351,123,207,329,623,824,1122,2058,313,472,260,322,153.25,132.5,117.25,89.25,181.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",53,"Largehead hairtail single_stock","Trichiurus lepturus","Largehead hairtail",34,"Miscellaneous demersal fishes","2",46104.25,47682,45411.25,68308.75,59904,63565,54855,45974,49634,41492,39259,32423,30564,28154,28083,30517,37804,35095.25,35946,34851.5,33602.5,32037.5,30194,31881,30912.25,29806.75,31506,32745,31539,31712,31577,28207.25,26643.75,20934.25,22270.25,26200.75,22946.75,16615.75,14404.75,12951.25,16440,16334.25,16100,17894.25,16402,11890.25,10081.75,9503.25,9126,8392.25,8253.75,6955
"54",54,"Lizardfishes nei single_stock","Synodontidae","Lizardfishes nei",33,"Miscellaneous coastal fishes","Medium",15903.75,23126,23234,24910.25,NA,18283,18352,23148,20076,24103,21946,21118,19534,22631,20966,21576,25437,23500.5,18393,15181,14327,13866.5,16521.75,15279,12541,12753.5,10530,11169,10388,9392,9315,9162.75,8144.5,7637.25,7859.25,7716.5,7590.5,6094.5,5650.5,5797.25,5215.5,4446.5,4247,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",55,"Mackerels nei pacific_stock","Scombridae","Mackerels nei",37,"Miscellaneous pelagic fishes","Medium",332800,463600,449232,493407,720619,591246,771497,707666,642459,568862,638126,664282,459299,661464,987471,831622,774402,459895,328471,427989,461050,453649,591890,397137,295554,205505,99242,67351,95968,389675,271937,233736,351254,597445,296908,202581,205866,233355,152546,209419,229639,461369,515063,310369,377953,311898,357104,247733,284222,263957,366609,418205
"56",56,"Mackerels nei tsushima_current_stock","Scombridae","Mackerels nei",37,"Miscellaneous pelagic fishes","Medium",160600.5,204974,175192,194066,294659,420160,530421,546226,547451,565640,692499,653928,519527,693845,638397,582562,526719,448118,389371,376860,352464,319050,352919,304269,353005,321981,173764,187814,173185,275007,361417,236071,409174,251522,214329,179286,140354.25,141915,127086,119857,108457,159024,137333,146183,142374,159007,134712,144777,140150,96256,119109,139025
