stock;yr;ct;et;res
nop-34;2005;1.9;1;Medium
nop-34;2006;46.6;0.26;Medium
nop-34;2007;5.7;0.02;Medium
nop-34;2008;36.1;0.13;Medium
nop-34;2009;54.5;0.23;Medium
ple-celt;1977;757;0.63;Medium
ple-celt;1978;875;0.67;Medium
ple-celt;1979;863;0.66;Medium
ple-celt;1980;1373;0.54;Medium
ple-celt;1981;1377;0.48;Medium
ple-celt;1982;1303;0.63;Medium
ple-celt;1983;1146;0.55;Medium
ple-celt;1984;1210;0.66;Medium
ple-celt;1985;1752;0.5;Medium
ple-celt;1986;1691;0.52;Medium
ple-celt;1987;1901;0.66;Medium
ple-celt;1988;2116;0.63;Medium
ple-celt;1989;2151;0.66;Medium
ple-celt;1990;2082;0.76;Medium
ple-celt;1991;1501;0.6;Medium
ple-celt;1992;1188;0.52;Medium
ple-celt;1993;1114;0.46;Medium
ple-celt;1994;1070;0.53;Medium
ple-celt;1995;1028;0.67;Medium
ple-celt;1996;952;0.55;Medium
ple-celt;1997;1217;0.72;Medium
ple-celt;1998;1067;0.65;Medium
ple-celt;1999;968;0.73;Medium
ple-celt;2000;718;0.6;Medium
ple-celt;2001;714;0.5;Medium
ple-celt;2002;642;0.7;Medium
ple-celt;2003;594;0.63;Medium
ple-celt;2004;510;0.62;Medium
ple-celt;2005;386;0.47;Medium
ple-celt;2006;404;0.43;Medium
ple-celt;2007;410;0.49;Medium
ple-celt;2008;437;0.4;Medium
ple-celt;2009;463;0.4;Medium
ple-eche;1980;2060;0.47;Medium
ple-eche;1981;3706;0.6;Medium
ple-eche;1982;3781;0.62;Medium
ple-eche;1983;3919;0.62;Medium
ple-eche;1984;4010;0.75;Medium
ple-eche;1985;4680;0.58;Medium
ple-eche;1986;5311;0.66;Medium
ple-eche;1987;6502;0.56;Medium
ple-eche;1988;8098;0.6;Medium
ple-eche;1989;6807;0.65;Medium
ple-eche;1990;7031;0.7;Medium
ple-eche;1991;6072;0.73;Medium
ple-eche;1992;4925;0.66;Medium
ple-eche;1993;4143;0.43;Medium
ple-eche;1994;4757;0.64;Medium
ple-eche;1995;3987;0.53;Medium
ple-eche;1996;4191;0.64;Medium
ple-eche;1997;4872;1.19;Medium
ple-eche;1998;4467;0.81;Medium
ple-eche;1999;4951;0.96;Medium
ple-eche;2000;4294;0.75;Medium
ple-eche;2001;4083;0.58;Medium
ple-eche;2002;4256;1.04;Medium
ple-eche;2003;3665;0.92;Medium
ple-eche;2004;3183;0.61;Medium
ple-eche;2005;2722;0.72;Medium
ple-eche;2006;2643;0.62;Medium
ple-eche;2007;2889;0.7;Medium
ple-eche;2008;2763;0.61;Medium
ple-eche;2009;2332;0.53;Medium
ple-echw;1980;1215.2;0.52;Medium
ple-echw;1981;1746.3;0.46;Medium
ple-echw;1982;1938.2;0.56;Medium
ple-echw;1983;1754.3;0.57;Medium
ple-echw;1984;1812.5;0.55;Medium
ple-echw;1985;1750.6;0.51;Medium
ple-echw;1986;2161.4;0.5;Medium
ple-echw;1987;2388.2;0.6;Medium
ple-echw;1988;2993.8;0.48;Medium
ple-echw;1989;2808.3;0.61;Medium
ple-echw;1990;3058.1;0.62;Medium
ple-echw;1991;2249.7;0.61;Medium
ple-echw;1992;1949.9;0.65;Medium
ple-echw;1993;1691.2;0.6;Medium
ple-echw;1994;1470.8;0.62;Medium
ple-echw;1995;1294.7;0.62;Medium
ple-echw;1996;1321.3;0.61;Medium
ple-echw;1997;1654.1;0.67;Medium
ple-echw;1998;1429.9;0.57;Medium
ple-echw;1999;1616.4;0.58;Medium
ple-echw;2000;1678.1;0.57;Medium
ple-echw;2001;1379;0.52;Medium
ple-echw;2002;1608;0.67;Medium
ple-echw;2003;1478;0.6;Medium
ple-echw;2004;1402.2;0.64;Medium
ple-echw;2005;1370.1;0.65;Medium
ple-echw;2006;1465.8;0.65;Medium
ple-echw;2007;1184.1;0.77;Medium
ple-echw;2008;1144;0.71;Medium
ple-echw;2009;1043;0.43;Medium
ple-iris;1964;2879;0.3;Medium
ple-iris;1965;3664;0.36;Medium
ple-iris;1966;4268;0.42;Medium
ple-iris;1967;5059;0.5;Medium
ple-iris;1968;4695;0.47;Medium
ple-iris;1969;4394;0.46;Medium
ple-iris;1970;3583;0.4;Medium
ple-iris;1971;4232;0.63;Medium
ple-iris;1972;5119;0.61;Medium
ple-iris;1973;5060;0.76;Medium
ple-iris;1974;3715;0.76;Medium
ple-iris;1975;4063;0.77;Medium
ple-iris;1976;3473;0.92;Medium
ple-iris;1977;2904;0.83;Medium
ple-iris;1978;3231;0.73;Medium
ple-iris;1979;3428;0.61;Medium
ple-iris;1980;3903;0.69;Medium
ple-iris;1981;3906;0.57;Medium
ple-iris;1982;3237;0.54;Medium
ple-iris;1983;3639;0.7;Medium
ple-iris;1984;4241;0.56;Medium
ple-iris;1985;5075;0.58;Medium
ple-iris;1986;4806;0.57;Medium
ple-iris;1987;6220;0.81;Medium
ple-iris;1988;5005;0.75;Medium
ple-iris;1989;4372;0.57;Medium
ple-iris;1990;3275;0.55;Medium
ple-iris;1991;2554;0.45;Medium
ple-iris;1992;3267;0.72;Medium
ple-iris;1993;1996;0.53;Medium
ple-iris;1994;2066;0.49;Medium
ple-iris;1995;1874;0.43;Medium
ple-iris;1996;1707;0.38;Medium
ple-iris;1997;1871;0.5;Medium
ple-iris;1998;1765;0.44;Medium
ple-iris;1999;1600;0.39;Medium
ple-iris;2000;1371;0.3;Medium
ple-iris;2001;1473;0.33;Medium
ple-iris;2002;1623;0.33;Medium
ple-iris;2003;1559;0.3;Medium
ple-iris;2004;1143;0.19;Medium
ple-iris;2005;1281;0.21;Medium
ple-iris;2006;934;0.14;Medium
ple-iris;2007;805;0.09;Medium
ple-iris;2008;563;0.06;Medium
ple-iris;2009;456;0.04;Medium
ple-nsea;1957;70563;0.27;Medium
ple-nsea;1958;73354;0.32;Medium
ple-nsea;1959;79300;0.37;Medium
ple-nsea;1960;87541;0.37;Medium
ple-nsea;1961;85984;0.35;Medium
ple-nsea;1962;87472;0.39;Medium
ple-nsea;1963;107118;0.42;Medium
ple-nsea;1964;110540;0.47;Medium
ple-nsea;1965;97143;0.39;Medium
ple-nsea;1966;101834;0.4;Medium
ple-nsea;1967;108819;0.43;Medium
ple-nsea;1968;111534;0.34;Medium
ple-nsea;1969;121651;0.34;Medium
ple-nsea;1970;130342;0.48;Medium
ple-nsea;1971;113944;0.38;Medium
ple-nsea;1972;122843;0.41;Medium
ple-nsea;1973;130429;0.47;Medium
ple-nsea;1974;112540;0.49;Medium
ple-nsea;1975;108536;0.56;Medium
ple-nsea;1976;113670;0.42;Medium
ple-nsea;1977;119188;0.51;Medium
ple-nsea;1978;113984;0.47;Medium
ple-nsea;1979;145347;0.67;Medium
ple-nsea;1980;139951;0.56;Medium
ple-nsea;1981;139747;0.54;Medium
ple-nsea;1982;154547;0.6;Medium
ple-nsea;1983;144038;0.59;Medium
ple-nsea;1984;156147;0.58;Medium
ple-nsea;1985;159838;0.53;Medium
ple-nsea;1986;165347;0.66;Medium
ple-nsea;1987;153670;0.69;Medium
ple-nsea;1988;154475;0.67;Medium
ple-nsea;1989;169818;0.61;Medium
ple-nsea;1990;156240;0.57;Medium
ple-nsea;1991;148004;0.65;Medium
ple-nsea;1992;125190;0.63;Medium
ple-nsea;1993;117113;0.64;Medium
ple-nsea;1994;110392;0.62;Medium
ple-nsea;1995;98356;0.64;Medium
ple-nsea;1996;81673;0.67;Medium
ple-nsea;1997;83048;0.8;Medium
ple-nsea;1998;71534;0.73;Medium
ple-nsea;1999;80662;0.66;Medium
ple-nsea;2000;81148;0.47;Medium
ple-nsea;2001;81963;0.77;Medium
ple-nsea;2002;70217;0.57;Medium
ple-nsea;2003;66502;0.61;Medium
ple-nsea;2004;61436;0.48;Medium
ple-nsea;2005;55700;0.4;Medium
ple-nsea;2006;57943;0.37;Medium
ple-nsea;2007;49744;0.31;Medium
ple-nsea;2008;48874;0.24;Medium
ple-nsea;2009;54973;0.24;Medium
sai-3a46;1967;88326;0.32;Medium
sai-3a46;1968;113751;0.29;Medium
sai-3a46;1969;130588;0.26;Medium
sai-3a46;1970;234962;0.4;Medium
sai-3a46;1971;265381;0.32;Medium
sai-3a46;1972;261877;0.39;Medium
sai-3a46;1973;242499;0.41;Medium
sai-3a46;1974;298351;0.55;Medium
sai-3a46;1975;271584;0.48;Medium
sai-3a46;1976;343967;0.76;Medium
sai-3a46;1977;216395;0.61;Medium
sai-3a46;1978;155141;0.47;Medium
sai-3a46;1979;128360;0.39;Medium
sai-3a46;1980;131908;0.44;Medium
sai-3a46;1981;132278;0.3;Medium
sai-3a46;1982;174351;0.46;Medium
sai-3a46;1983;180044;0.54;Medium
sai-3a46;1984;200834;0.67;Medium
sai-3a46;1985;220869;0.71;Medium
sai-3a46;1986;198596;0.82;Medium
sai-3a46;1987;167514;0.65;Medium
sai-3a46;1988;135172;0.63;Medium
sai-3a46;1989;108877;0.68;Medium
sai-3a46;1990;103800;0.61;Medium
sai-3a46;1991;108048;0.58;Medium
sai-3a46;1992;99742;0.62;Medium
sai-3a46;1993;111491;0.51;Medium
sai-3a46;1994;109622;0.51;Medium
sai-3a46;1995;121810;0.42;Medium
sai-3a46;1996;114997;0.42;Medium
sai-3a46;1997;107327;0.29;Medium
sai-3a46;1998;106123;0.35;Medium
sai-3a46;1999;110716;0.36;Medium
sai-3a46;2000;91322;0.31;Medium
sai-3a46;2001;95042;0.28;Medium
sai-3a46;2002;115395;0.25;Medium
sai-3a46;2003;105569;0.23;Medium
sai-3a46;2004;104237;0.2;Medium
sai-3a46;2005;124532;0.27;Medium
sai-3a46;2006;125680;0.29;Medium
sai-3a46;2007;101202;0.26;Medium
sai-3a46;2008;119305;0.3;Medium
sai-arct;1960;133515;0.31;Medium
sai-arct;1961;105951;0.24;Medium
sai-arct;1962;120707;0.25;Medium
sai-arct;1963;148627;0.27;Medium
sai-arct;1964;197426;0.31;Medium
sai-arct;1965;185600;0.26;Medium
sai-arct;1966;203788;0.35;Medium
sai-arct;1967;181326;0.28;Medium
sai-arct;1968;110247;0.15;Medium
sai-arct;1969;140060;0.16;Medium
sai-arct;1970;264924;0.34;Medium
sai-arct;1971;241272;0.29;Medium
sai-arct;1972;214334;0.27;Medium
sai-arct;1973;213859;0.29;Medium
sai-arct;1974;264121;0.51;Medium
sai-arct;1975;233453;0.42;Medium
sai-arct;1976;242486;0.5;Medium
sai-arct;1977;182817;0.43;Medium
sai-arct;1978;155464;0.45;Medium
sai-arct;1979;164680;0.59;Medium
sai-arct;1980;144554;0.5;Medium
sai-arct;1981;175540;0.53;Medium
sai-arct;1982;168034;0.59;Medium
sai-arct;1983;156936;0.61;Medium
sai-arct;1984;158786;0.66;Medium
sai-arct;1985;107183;0.53;Medium
sai-arct;1986;67396;0.47;Medium
sai-arct;1987;92391;0.53;Medium
sai-arct;1988;114242;0.57;Medium
sai-arct;1989;122817;0.58;Medium
sai-arct;1990;95848;0.54;Medium
sai-arct;1991;107327;0.44;Medium
sai-arct;1992;127604;0.59;Medium
sai-arct;1993;154903;0.49;Medium
sai-arct;1994;146950;0.51;Medium
sai-arct;1995;168378;0.41;Medium
sai-arct;1996;171348;0.34;Medium
sai-arct;1997;143629;0.27;Medium
sai-arct;1998;153327;0.26;Medium
sai-arct;1999;150375;0.28;Medium
sai-arct;2000;135928;0.19;Medium
sai-arct;2001;135853;0.2;Medium
sai-arct;2002;154870;0.21;Medium
sai-arct;2003;161592;0.17;Medium
sai-arct;2004;164636;0.16;Medium
sai-arct;2005;178568;0.18;Medium
sai-arct;2006;212822;0.23;Medium
sai-arct;2007;199008;0.22;Medium
sai-arct;2008;184740;0.25;Medium
sai-arct;2009;161462;0.26;Medium
sai-arct;2010;204000;0.32;Medium
sai-faro;1961;9592;0.1;Medium
sai-faro;1962;10454;0.12;Medium
sai-faro;1963;12693;0.11;Medium
sai-faro;1964;21893;0.23;Medium
sai-faro;1965;22181;0.21;Medium
sai-faro;1966;25563;0.25;Medium
sai-faro;1967;21319;0.2;Medium
sai-faro;1968;20387;0.16;Medium
sai-faro;1969;27437;0.19;Medium
sai-faro;1970;29110;0.18;Medium
sai-faro;1971;32706;0.17;Medium
sai-faro;1972;42663;0.23;Medium
sai-faro;1973;57431;0.31;Medium
sai-faro;1974;47188;0.27;Medium
sai-faro;1975;41576;0.29;Medium
sai-faro;1976;33065;0.26;Medium
sai-faro;1977;34835;0.32;Medium
sai-faro;1978;28138;0.24;Medium
sai-faro;1979;27246;0.25;Medium
sai-faro;1980;25230;0.21;Medium
sai-faro;1981;30103;0.38;Medium
sai-faro;1982;30964;0.33;Medium
sai-faro;1983;39176;0.38;Medium
sai-faro;1984;54665;0.47;Medium
sai-faro;1985;44605;0.38;Medium
sai-faro;1986;41716;0.5;Medium
sai-faro;1987;40020;0.39;Medium
sai-faro;1988;45285;0.45;Medium
sai-faro;1989;44477;0.36;Medium
sai-faro;1990;61628;0.56;Medium
sai-faro;1991;54858;0.7;Medium
sai-faro;1992;36487;0.52;Medium
sai-faro;1993;33543;0.45;Medium
sai-faro;1994;33182;0.49;Medium
sai-faro;1995;27209;0.44;Medium
sai-faro;1996;20029;0.34;Medium
sai-faro;1997;22306;0.3;Medium
sai-faro;1998;26421;0.28;Medium
sai-faro;1999;33207;0.33;Medium
sai-faro;2000;39020;0.38;Medium
sai-faro;2001;51786;0.5;Medium
sai-faro;2002;53546;0.48;Medium
sai-faro;2003;46555;0.41;Medium
sai-faro;2004;46355;0.35;Medium
sai-faro;2005;68008;0.36;Medium
sai-faro;2006;67103;0.45;Medium
sai-faro;2007;60819;0.43;Medium
sai-faro;2008;56172;0.44;Medium
sai-faro;2009;59060;0.47;Medium
sai-icel;1980;57659;0.29;Medium
sai-icel;1981;57548;0.26;Medium
sai-icel;1982;67865;0.3;Medium
sai-icel;1983;56504;0.24;Medium
sai-icel;1984;60405;0.23;Medium
sai-icel;1985;53728;0.24;Medium
sai-icel;1986;65230;0.28;Medium
sai-icel;1987;80237;0.35;Medium
sai-icel;1988;77244;0.32;Medium
sai-icel;1989;82339;0.3;Medium
sai-icel;1990;97537;0.34;Medium
sai-icel;1991;102201;0.37;Medium
sai-icel;1992;79568;0.35;Medium
sai-icel;1993;71539;0.38;Medium
sai-icel;1994;63559;0.42;Medium
sai-icel;1995;48296;0.41;Medium
sai-icel;1996;39352;0.35;Medium
sai-icel;1997;36671;0.29;Medium
sai-icel;1998;30657;0.23;Medium
sai-icel;1999;30898;0.25;Medium
sai-icel;2000;32751;0.27;Medium
sai-icel;2001;31570;0.23;Medium
sai-icel;2002;41969;0.26;Medium
sai-icel;2003;51814;0.26;Medium
sai-icel;2004;64668;0.3;Medium
sai-icel;2005;69054;0.34;Medium
sai-icel;2006;75462;0.39;Medium
sai-icel;2007;64261;0.39;Medium
sai-icel;2008;69426;0.48;Medium
sai-icel;2009;60266;0.46;Medium
san-ns1;1983;351177;0.59;Medium
san-ns1;1984;467647;0.67;Medium
san-ns1;1985;437441;0.67;Medium
san-ns1;1986;382736;0.51;Medium
san-ns1;1987;357671;0.36;Medium
san-ns1;1988;401354;0.51;Medium
san-ns1;1989;445920;0.83;Medium
san-ns1;1990;283040;0.75;Medium
san-ns1;1991;347096;0.59;Medium
san-ns1;1992;564301;0.86;Medium
san-ns1;1993;149105;0.35;Medium
san-ns1;1994;234960;0.33;Medium
san-ns1;1995;443229;0.57;Medium
san-ns1;1996;360461;0.59;Medium
san-ns1;1997;444292;0.51;Medium
san-ns1;1998;391882;0.65;Medium
san-ns1;1999;449829;1.19;Medium
san-ns1;2000;417036;0.95;Medium
san-ns1;2001;540121;1.43;Medium
san-ns1;2002;629172;1.13;Medium
san-ns1;2003;167024;0.86;Medium
san-ns1;2004;227313;0.98;Medium
san-ns1;2005;108138;0.41;Medium
san-ns1;2006;251798;0.61;Medium
san-ns1;2007;113149;0.25;Medium
san-ns1;2008;248460;0.42;Medium
san-ns1;2009;357206;0.59;Medium
san-ns1;2010;294118;0.4;Medium
san-ns2;1983;75002;0.38;Medium
san-ns2;1984;63052;0.31;Medium
san-ns2;1985;100057;0.56;Medium
san-ns2;1986;93147;0.34;Medium
san-ns2;1987;53284;0.18;Medium
san-ns2;1988;121511;0.54;Medium
san-ns2;1989;109868;0.54;Medium
san-ns2;1990;100917;0.59;Medium
san-ns2;1991;107795;0.37;Medium
san-ns2;1992;69825;0.3;Medium
san-ns2;1993;61111;0.3;Medium
san-ns2;1994;51064;0.14;Medium
san-ns2;1995;62251;0.19;Medium
san-ns2;1996;83078;0.3;Medium
san-ns2;1997;114080;0.34;Medium
san-ns2;1998;69450;0.3;Medium
san-ns2;1999;33246;0.25;Medium
san-ns2;2000;54998;0.35;Medium
san-ns2;2001;63190;0.43;Medium
san-ns2;2002;37726;0.33;Medium
san-ns2;2003;57871;0.57;Medium
san-ns2;2004;73064;0.67;Medium
san-ns2;2005;42841;0.31;Medium
san-ns2;2006;36439;0.28;Medium
san-ns2;2007;6031;0.03;Medium
san-ns2;2008;14303;0.08;Medium
san-ns2;2009;10510;0.06;Medium
san-ns2;2010;31478;0.14;Medium
san-ns3;1983;100319;0.46;Medium
san-ns3;1984;118660;0.49;Medium
san-ns3;1985;57942;0.27;Medium
san-ns3;1986;414970;0.99;Medium
san-ns3;1987;400412;0.88;Medium
san-ns3;1988;392969;1.35;Medium
san-ns3;1989;492824;1.1;Medium
san-ns3;1990;219103;0.56;Medium
san-ns3;1991;368581;0.72;Medium
san-ns3;1992;195700;0.46;Medium
san-ns3;1993;304880;0.63;Medium
san-ns3;1994;498568;0.71;Medium
san-ns3;1995;283604;0.48;Medium
san-ns3;1996;281281;0.39;Medium
san-ns3;1997;628039;0.93;Medium
san-ns3;1998;521133;0.93;Medium
san-ns3;1999;207622;1.19;Medium
san-ns3;2000;284412;1.42;Medium
san-ns3;2001;215066;1;Medium
san-ns3;2002;223786;1.11;Medium
san-ns3;2003;67104;0.53;Medium
san-ns3;2004;95556;0.72;Medium
san-ns3;2005;30597;0.24;Medium
san-ns3;2006;19490;0.14;Medium
san-ns3;2007;120138;0.56;Medium
san-ns3;2008;98341;0.49;Medium
san-ns3;2009;43481;0.15;Medium
san-ns3;2010;79991;0.55;Medium
sar-soth;1978;145609;0.34;Medium
sar-soth;1979;157241;0.35;Medium
sar-soth;1980;194802;0.25;Medium
sar-soth;1981;216517;0.31;Medium
sar-soth;1982;206946;0.29;Medium
sar-soth;1983;183837;0.25;Medium
sar-soth;1984;206005;0.23;Medium
sar-soth;1985;208439;0.23;Medium
sar-soth;1986;187363;0.29;Medium
sar-soth;1987;177696;0.28;Medium
sar-soth;1988;161531;0.29;Medium
sar-soth;1989;140961;0.32;Medium
sar-soth;1990;149429;0.38;Medium
sar-soth;1991;132587;0.27;Medium
sar-soth;1992;130250;0.25;Medium
sar-soth;1993;142495;0.3;Medium
sar-soth;1994;136582;0.21;Medium
sar-soth;1995;125280;0.22;Medium
sar-soth;1996;116736;0.25;Medium
sar-soth;1997;115814;0.34;Medium
sar-soth;1998;108924;0.39;Medium
sar-soth;1999;94091;0.34;Medium
sar-soth;2000;85786;0.32;Medium
sar-soth;2001;101957;0.25;Medium
sar-soth;2002;99673;0.21;Medium
sar-soth;2003;97831;0.21;Medium
sar-soth;2004;98020;0.22;Medium
sar-soth;2005;97345;0.19;Medium
sar-soth;2006;87023;0.17;Medium
sar-soth;2007;96469;0.18;Medium
sar-soth;2008;101464;0.26;Medium
sar-soth;2009;87740;0.26;Medium
sol-bisc;1984;4038;0.37;Medium
sol-bisc;1985;4251;0.38;Medium
sol-bisc;1986;4805;0.5;Medium
sol-bisc;1987;5086;0.46;Medium
sol-bisc;1988;5382;0.46;Medium
sol-bisc;1989;5845;0.56;Medium
sol-bisc;1990;5916;0.46;Medium
sol-bisc;1991;5569;0.42;Medium
sol-bisc;1992;6550;0.59;Medium
sol-bisc;1993;6420;0.51;Medium
sol-bisc;1994;7229;0.63;Medium
sol-bisc;1995;6205;0.55;Medium
sol-bisc;1996;5854;0.52;Medium
sol-bisc;1997;6259;0.59;Medium
sol-bisc;1998;6027;0.52;Medium
sol-bisc;1999;5249;0.6;Medium
sol-bisc;2000;5760;0.61;Medium
sol-bisc;2001;4836;0.56;Medium
sol-bisc;2002;5486;0.81;Medium
sol-bisc;2003;4108;0.47;Medium
sol-bisc;2004;4002;0.35;Medium
sol-bisc;2005;4539;0.44;Medium
sol-bisc;2006;4793;0.4;Medium
sol-bisc;2007;4363;0.38;Medium
sol-bisc;2008;4299;0.38;Medium
sol-bisc;2009;3600;0.32;Medium
sol-celt;1971;1861;0.36;Medium
sol-celt;1972;1278;0.26;Medium
sol-celt;1973;1391;0.23;Medium
sol-celt;1974;1105;0.23;Medium
sol-celt;1975;919;0.19;Medium
sol-celt;1976;1350;0.36;Medium
sol-celt;1977;961;0.24;Medium
sol-celt;1978;780;0.18;Medium
sol-celt;1979;954;0.26;Medium
sol-celt;1980;1314;0.29;Medium
sol-celt;1981;1212;0.34;Medium
sol-celt;1982;1128;0.33;Medium
sol-celt;1983;1373;0.43;Medium
sol-celt;1984;1266;0.39;Medium
sol-celt;1985;1328;0.42;Medium
sol-celt;1986;1600;0.52;Medium
sol-celt;1987;1222;0.55;Medium
sol-celt;1988;1146;0.53;Medium
sol-celt;1989;992;0.51;Medium
sol-celt;1990;1189;0.62;Medium
sol-celt;1991;1107;0.45;Medium
sol-celt;1992;981;0.38;Medium
sol-celt;1993;928;0.43;Medium
sol-celt;1994;1009;0.5;Medium
sol-celt;1995;1157;0.63;Medium
sol-celt;1996;995;0.56;Medium
sol-celt;1997;927;0.65;Medium
sol-celt;1998;875;0.65;Medium
sol-celt;1999;1012;0.55;Medium
sol-celt;2000;1091;0.35;Medium
sol-celt;2001;1168;0.41;Medium
sol-celt;2002;1345;0.43;Medium
sol-celt;2003;1392;0.53;Medium
sol-celt;2004;1249;0.35;Medium
sol-celt;2005;1044;0.3;Medium
sol-celt;2006;946;0.23;Medium
sol-celt;2007;945;0.28;Medium
sol-celt;2008;800;0.24;Medium
sol-celt;2009;790;0.19;Medium
sol-eche;1982;3190;0.35;Medium
sol-eche;1983;3458;0.4;Medium
sol-eche;1984;3575;0.43;Medium
sol-eche;1985;3837;0.33;Medium
sol-eche;1986;3932;0.39;Medium
sol-eche;1987;4791;0.58;Medium
sol-eche;1988;3853;0.42;Medium
sol-eche;1989;3805;0.56;Medium
sol-eche;1990;3647;0.38;Medium
sol-eche;1991;4351;0.45;Medium
sol-eche;1992;4072;0.37;Medium
sol-eche;1993;4299;0.3;Medium
sol-eche;1994;4383;0.35;Medium
sol-eche;1995;4420;0.36;Medium
sol-eche;1996;4797;0.47;Medium
sol-eche;1997;4764;0.59;Medium
sol-eche;1998;3363;0.45;Medium
sol-eche;1999;4135;0.54;Medium
sol-eche;2000;3476;0.44;Medium
sol-eche;2001;4025;0.39;Medium
sol-eche;2002;4733;0.37;Medium
sol-eche;2003;5038;0.37;Medium
sol-eche;2004;4826;0.4;Medium
sol-eche;2005;4383;0.38;Medium
sol-eche;2006;4833;0.44;Medium
sol-eche;2007;5166;0.49;Medium
sol-eche;2008;4517;0.43;Medium
sol-eche;2009;4969;0.5;Medium
sol-echw;1969;353;0.11;Medium
sol-echw;1970;391;0.12;Medium
sol-echw;1971;432;0.15;Medium
sol-echw;1972;437;0.12;Medium
sol-echw;1973;459;0.14;Medium
sol-echw;1974;427;0.13;Medium
sol-echw;1975;491;0.11;Medium
sol-echw;1976;616;0.15;Medium
sol-echw;1977;606;0.12;Medium
sol-echw;1978;861;0.17;Medium
sol-echw;1979;1181;0.22;Medium
sol-echw;1980;1269;0.22;Medium
sol-echw;1981;1215;0.26;Medium
sol-echw;1982;1446;0.31;Medium
sol-echw;1983;1498;0.36;Medium
sol-echw;1984;1370;0.31;Medium
sol-echw;1985;1409;0.34;Medium
sol-echw;1986;1419;0.32;Medium
sol-echw;1987;1280;0.29;Medium
sol-echw;1988;1444;0.33;Medium
sol-echw;1989;1390;0.41;Medium
sol-echw;1990;1315;0.41;Medium
sol-echw;1991;852;0.27;Medium
sol-echw;1992;895;0.23;Medium
sol-echw;1993;904;0.3;Medium
sol-echw;1994;800;0.23;Medium
sol-echw;1995;856;0.29;Medium
sol-echw;1996;833;0.26;Medium
sol-echw;1997;949;0.31;Medium
sol-echw;1998;880;0.29;Medium
sol-echw;1999;957;0.31;Medium
sol-echw;2000;914;0.3;Medium
sol-echw;2001;1069;0.36;Medium
sol-echw;2002;1106;0.36;Medium
sol-echw;2003;1078;0.26;Medium
sol-echw;2004;1075;0.32;Medium
sol-echw;2005;1039;0.36;Medium
sol-echw;2006;1023;0.39;Medium
sol-echw;2007;1015;0.41;Medium
sol-echw;2008;908;0.39;Medium
sol-echw;2009;626;0.25;Medium
sol-iris;1970;1785;0.39;Medium
sol-iris;1971;1882;0.44;Medium
sol-iris;1972;1450;0.45;Medium
sol-iris;1973;1428;0.43;Medium
sol-iris;1974;1307;0.44;Medium
sol-iris;1975;1441;0.39;Medium
sol-iris;1976;1463;0.42;Medium
sol-iris;1977;1147;0.36;Medium
sol-iris;1978;1106;0.35;Medium
sol-iris;1979;1614;0.47;Medium
sol-iris;1980;1941;0.63;Medium
sol-iris;1981;1667;0.47;Medium
sol-iris;1982;1338;0.43;Medium
sol-iris;1983;1169;0.42;Medium
sol-iris;1984;1058;0.33;Medium
sol-iris;1985;1146;0.31;Medium
sol-iris;1986;1995;0.4;Medium
sol-iris;1987;2808;0.73;Medium
sol-iris;1988;1999;0.52;Medium
sol-iris;1989;1833;0.53;Medium
sol-iris;1990;1583;0.64;Medium
sol-iris;1991;1212;0.5;Medium
sol-iris;1992;1259;0.53;Medium
sol-iris;1993;1023;0.54;Medium
sol-iris;1994;1374;0.5;Medium
sol-iris;1995;1266;0.53;Medium
sol-iris;1996;1002;0.56;Medium
sol-iris;1997;1003;0.64;Medium
sol-iris;1998;911;0.49;Medium
sol-iris;1999;863;0.46;Medium
sol-iris;2000;818;0.57;Medium
sol-iris;2001;1053;0.34;Medium
sol-iris;2002;1090;0.43;Medium
sol-iris;2003;1013.9;0.38;Medium
sol-iris;2004;709;0.29;Medium
sol-iris;2005;855;0.56;Medium
sol-iris;2006;569;0.51;Medium
sol-iris;2007;492;0.35;Medium
sol-iris;2008;332;0.32;Medium
sol-iris;2009;324;0.28;Medium
sol-kask;1984;337;0.39;Medium
sol-kask;1985;397;0.33;Medium
sol-kask;1986;643;0.36;Medium
sol-kask;1987;722;0.42;Medium
sol-kask;1988;706;0.38;Medium
sol-kask;1989;824;0.42;Medium
sol-kask;1990;1050;0.4;Medium
sol-kask;1991;1011;0.47;Medium
sol-kask;1992;1294;0.53;Medium
sol-kask;1993;1439;0.54;Medium
sol-kask;1994;1198;0.47;Medium
sol-kask;1995;1297;0.49;Medium
sol-kask;1996;1059;0.42;Medium
sol-kask;1997;814;0.39;Medium
sol-kask;1998;605;0.37;Medium
sol-kask;1999;638;0.34;Medium
sol-kask;2000;646;0.32;Medium
sol-kask;2001;476;0.27;Medium
sol-kask;2002;862;0.3;Medium
sol-kask;2003;619;0.28;Medium
sol-kask;2004;824;0.31;Medium
sol-kask;2005;990;0.36;Medium
sol-kask;2006;836;0.34;Medium
sol-kask;2007;633;0.32;Medium
sol-kask;2008;656;0.36;Medium
sol-kask;2009;640;0.28;Medium
sol-nsea;1957;12067;0.18;Medium
sol-nsea;1958;14287;0.21;Medium
sol-nsea;1959;13832;0.17;Medium
sol-nsea;1960;18620;0.2;Medium
sol-nsea;1961;23566;0.19;Medium
sol-nsea;1962;26877;0.21;Medium
sol-nsea;1963;26164;0.31;Medium
sol-nsea;1964;11342;0.29;Medium
sol-nsea;1965;17043;0.32;Medium
