"X","IdOrig","Fishery","SciName","CommName","SpeciesCat","SpeciesCatName","Res1","year","catch","BvBmsy","LogBvBmsy","YearsBack","ScaledCatch","ScaledCatch1Back","ScaledCatch2Back","ScaledCatch3Back","ScaledCatch4Back","MaxCatch","TimeToMaxCatch","InitialScaledCatchSlope","MeanScaledCatch","CatchToRollingMax","MaxLength","AgeMat","VonBertK","Temp","b_to_k_ratio","regression_LogBvBmsy","BvBmsySD","model","model_number","model_worked","res","Value","id","MSY","phi","r","k","MSYLogSd","gLogSd","KLogSd","CatchMSYBvBmsy","CatchMSYBvBmsy_LogSd","FvFmsy","Biomass","BMSY","B_over_K"
5004,"Japan-97","Trouts nei single_stock","Salmo spp","Trouts nei",23,"Salmons, trouts, smelts","Medium",1975,49386,1.24147658943569,0.443344288454936,41,0.66421885087153,0.475225952227243,0.730350225952227,0.476772649020874,0.81220411017861,74352,6,0.0560764049002428,0.3678695467299,0.66421885087153,NA,NA,NA,NA,0.4,0.443344288454936,0.0815861478359226,"M6",6,TRUE,"Medium",1,"Japan-97",16013.6144642762,0.188005801001991,0.0391770510932682,1021874.67008127,0.121732376574237,0.317695540289201,0.196512747771647,1.24147658943569,0.298844330883867,2.48413932051851,507431.446078404,408732.190680338,0.496569159540913
5005,"Japan-97","Trouts nei single_stock","Salmo spp","Trouts nei",23,"Salmons, trouts, smelts","Medium",1976,33184,1.1929362811283,0.318337500638736,40,0.446309446955025,0.66421885087153,0.475225952227243,0.730350225952227,0.476772649020874,74352,6,0.0560764049002428,0.3678695467299,0.446309446955025,NA,NA,NA,NA,0.4,0.318337500638736,0.079502138584559,"M6",6,TRUE,"Medium",1,"Japan-97",16013.6144642762,0.188005801001991,0.0391770510932682,1021874.67008127,0.121732376574237,0.317695540289201,0.196512747771647,1.1929362811283,0.298844330883867,1.73708919598425,487591.459527627,408732.190680338,0.477153875914009
5006,"Japan-97","Trouts nei single_stock","Salmo spp","Trouts nei",23,"Salmons, trouts, smelts","Medium",1977,38891,1.13564593019147,0.304585446970857,39,0.523065956531095,0.446309446955025,0.66421885087153,0.475225952227243,0.730350225952227,74352,6,0.0560764049002428,0.3678695467299,0.523065956531095,NA,NA,NA,NA,0.4,0.304585446970857,0.0789480646140664,"M6",6,TRUE,"Medium",1,"Japan-97",16013.6144642762,0.188005801001991,0.0391770510932682,1021874.67008127,0.121732376574237,0.317695540289201,0.196512747771647,1.13564593019147,0.298844330883867,2.13853711979145,464175.048884371,408732.190680338,0.454238726601821
5007,"Japan-97","Trouts nei single_stock","Salmo spp","Trouts nei",23,"Salmons, trouts, smelts","Medium",1978,20644,1.09318149579252,0.117630602493381,38,0.277652248762643,0.523065956531095,0.446309446955025,0.66421885087153,0.475225952227243,74352,6,0.0560764049002428,0.3678695467299,0.277652248762643,NA,NA,NA,NA,0.4,0.117630602493381,0.0783142388542083,"M6",6,TRUE,"Medium",1,"Japan-97",16013.6144642762,0.188005801001991,0.0391770510932682,1021874.67008127,0.121732376574237,0.317695540289201,0.196512747771647,1.09318149579252,0.298844330883867,1.17926717516608,446818.467586484,408732.190680338,0.437253687432089
5008,"Japan-97","Trouts nei single_stock","Salmo spp","Trouts nei",23,"Salmons, trouts, smelts","Medium",1979,26353,1.06832438998808,0.108036306185766,37,0.354435657413385,0.277652248762643,0.523065956531095,0.446309446955025,0.66421885087153,74352,6,0.0560764049002428,0.3678695467299,0.354435657413385,NA,NA,NA,NA,0.4,0.108036306185766,0.0779680730437983,"M6",6,TRUE,"Medium",1,"Japan-97",16013.6144642762,0.188005801001991,0.0391770510932682,1021874.67008127,0.121732376574237,0.317695540289201,0.196512747771647,1.06832438998808,0.298844330883867,1.54041432999748,436658.568277064,408732.190680338,0.427311275111983
5009,"Japan-97","Trouts nei single_stock","Salmo spp","Trouts nei",23,"Salmons, trouts, smelts","Medium",1980,22998.5,1.05211227474985,0.109915477423945,36,0.309319184420056,0.354435657413385,0.277652248762643,0.523065956531095,0.446309446955025,74352,6,0.0560764049002428,0.3678695467299,0.309319184420056,NA,NA,NA,NA,0.4,0.109915477423945,0.0767973813309429,"M6",6,TRUE,"Medium",1,"Japan-97",16013.6144642762,0.188005801001991,0.0391770510932682,1021874.67008127,0.121732376574237,0.317695540289201,0.196512747771647,1.05211227474985,0.298844330883867,1.36504841694802,430032.154900179,408732.190680338,0.420826709469155
5010,"Japan-97","Trouts nei single_stock","Salmo spp","Trouts nei",23,"Salmons, trouts, smelts","Medium",1981,27714.5,1.02732734934223,0.150037194771099,35,0.372747202496234,0.309319184420056,0.354435657413385,0.277652248762643,0.523065956531095,74352,6,0.0560764049002428,0.3678695467299,0.372747202496234,NA,NA,NA,NA,0.4,0.150037194771099,0.0768127863028134,"M6",6,TRUE,"Medium",1,"Japan-97",16013.6144642762,0.188005801001991,0.0391770510932682,1021874.67008127,0.121732376574237,0.317695540289201,0.196512747771647,1.02732734934223,0.298844330883867,1.68464667613156,419901.758042474,408732.190680338,0.410913168059131
5011,"Japan-97","Trouts nei single_stock","Salmo spp","Trouts nei",23,"Salmons, trouts, smelts","Medium",1982,23483.5,1.00989486995573,0.14762720755829,34,0.315842210027975,0.372747202496234,0.309319184420056,0.354435657413385,0.277652248762643,74352,6,0.0560764049002428,0.3678695467299,0.315842210027975,NA,NA,NA,NA,0.4,0.14762720755829,0.0757743409314349,"M6",6,TRUE,"Medium",1,"Japan-97",16013.6144642762,0.188005801001991,0.0391770510932682,1021874.67008127,0.121732376574237,0.317695540289201,0.196512747771647,1.00989486995573,0.298844330883867,1.45210255802552,412776.542553842,408732.190680338,0.403940477868009
5012,"Japan-97","Trouts nei single_stock","Salmo spp","Trouts nei",23,"Salmons, trouts, smelts","Medium",1983,27834.25,0.981597585874831,0.174322279304298,33,0.37435778459221,0.315842210027975,0.372747202496234,0.309319184420056,0.354435657413385,74352,6,0.0560764049002428,0.3678695467299,0.37435778459221,NA,NA,NA,NA,0.4,0.174322279304298,0.0756766968103162,"M6",6,TRUE,"Medium",1,"Japan-97",16013.6144642762,0.188005801001991,0.0391770510932682,1021874.67008127,0.121732376574237,0.317695540289201,0.196512747771647,0.981597585874831,0.298844330883867,1.77074764782448,401210.531641151,408732.190680338,0.392622053748767
5013,"Japan-97","Trouts nei single_stock","Salmo spp","Trouts nei",23,"Salmons, trouts, smelts","Medium",1984,21730.25,0.964078047422668,0.106492509721617,32,0.292261808693781,0.37435778459221,0.315842210027975,0.372747202496234,0.309319184420056,74352,6,0.0560764049002428,0.3678695467299,0.292261808693781,NA,NA,NA,NA,0.4,0.106492509721617,0.0757225319443699,"M6",6,TRUE,"Medium",1,"Japan-97",16013.6144642762,0.188005801001991,0.0391770510932682,1021874.67008127,0.121732376574237,0.317695540289201,0.196512747771647,0.964078047422668,0.298844330883867,1.4075478264678,394049.73230989,408732.190680338,0.385614541437407
